ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
rjp-11906,A,Rosaceae,,Acaena,,"acrobyssina",,"","Bitter",Unresolved,,L,RJP,11906,719920-1,"","; 1910","51","1910",
rjp-11907,A,Rosaceae,,Acaena,,"acroglochin",,"","Bitter",Synonym,,H,RJP,11907,779-2,"","; 1910","163, f.34","1910",rjp-12128
rjp-11908,A,Rosaceae,,Acaena,,"aculeata",,"","Meyen",Unresolved,,L,RJP,11908,,"Reise um die Erde","Reise um die Erde; 1834","348","1834",
rjp-11909,A,Rosaceae,,Acaena,,"acutifida",,"","Bitter",Synonym,,H,RJP,11909,292899-2,"","; 1910","186, f.42","1910",rjp-12128
rjp-11910,A,Rosaceae,,Acaena,,"adenocarpa",,"","Bitter",Synonym,,H,RJP,11910,719924-1,"","; 1910","86","1910",rjp-12289
rjp-11911,A,Rosaceae,,Acaena,,"adenocarpa",var.,"basiinermis","Bitter",Synonym,,L,RJP,11911,,"","; 1910","87","1910",rjp-12289
rjp-11912,A,Rosaceae,,Acaena,,"adenocarpa",var.,"microphylla","Bitter",Synonym,,L,RJP,11912,,"","; 1910","87","1910",rjp-12289
rjp-11915,A,Rosaceae,,Acaena,,"adenocarpa",var.,"undiquearmata","Bitter",Synonym,,L,RJP,11915,,"","; 1910","87","1910",rjp-12289
rjp-11917,A,Rosaceae,,Acaena,,"adscendens",,"","Vahl",Synonym,,H,RJP,11917,,"Enumeratio plantarum","Enumeratio plantarum; 1804","297","1804",rjp-12128
rjp-11919,A,Rosaceae,,Acaena,,"adscendens",subsp.,"georgiae-australis","Bitter",Synonym,,L,RJP,11919,788-2,"","; 1910","180, f.39","1910",rjp-12128
rjp-12376,A,Rosaceae,,Acaena,,"adscendens",var.,"glabriscapa","Bitter",Synonym,,L,RJP,12376,,"","; 1910","178","1910",rjp-12128
rjp-11921,A,Rosaceae,,Acaena,,"adscendens",var.,"luxurians","Bitter",Synonym,,L,RJP,11921,790-2,"","; 1910","178, t.18","1910",rjp-12128
rjp-11952,A,Rosaceae,,Acaena,,"adscendens",var.,"macrochaeta","Franch.",Synonym,,L,RJP,11952,,"Mission scientifique du Cap Horn, Botanique","Mission scientifique du Cap Horn, Botanique; 1889","332","1889",rjp-12128
rjp-11924,A,Rosaceae,,Acaena,,"adscendens",var.,"semperpilosa","Bitter",Synonym,,L,RJP,11924,,"","; 1910","177","1910",rjp-12128
rjp-11925,A,Rosaceae,,Acaena,,"adscendens",var.,"utrinqueglabrescens","Bitter",Synonym,,L,RJP,11925,,"","; 1910","177","1910",rjp-12128
rjp-12539,A,Rosaceae,,Acaena,,"affinis",,"","Hook.f.",Synonym,,H,RJP,12539,719926-1,"Flora Antarctica","Flora Antarctica; 1844","268, t.96","1846",rjp-12128
rjp-11980,A,Rosaceae,,Acaena,,"agnipila",,"","Gand.",Unresolved,,L,RJP,11980,719927-1,"","; 1913","707","1913",
rjp-11954,A,Rosaceae,,Acaena,,"agrimonioides",,"","Kunth",Synonym,,L,RJP,11954,,"Nova genera et species plantarum (Quarto)","Nova genera et species plantarum (Quarto); 1815","231","1824",rjp-3416
rjp-11926,A,Rosaceae,,Acaena,,"alboffii",,"","Macloskie",Synonym,,H,RJP,11926,,"Reports of the Princeton University Expeditions to Patagonia, Botany","Reports of the Princeton University Expeditions to Patagonia, Botany; 1903","477","1905",rjp-12128
rjp-12540,A,Rosaceae,,Acaena,,"alpina",,"","Poepp. ex Walp.",Accepted,,H,RJP,12540,,"","; 1843","326","1843",
rjp-12541,A,Rosaceae,,Acaena,,"andicola",,"","Gillies ex Walp.",Unresolved,,L,RJP,12541,,"Repertorium botanices systematicae","Repertorium botanices systematicae; 1842","43","1843",
rjp-12542,A,Rosaceae,,Acaena,,"andina",,"","Phil.",Unresolved,,L,RJP,12542,,"","; 1856","636","1856",
rjp-12473,A,Rosaceae,,Acaena,×,"anserinacea",,"","Bitter",Unresolved,,L,RJP,12473,,"","; 1910","302, t.32,33;f.91","1911",
rjp-11927,A,Rosaceae,,Acaena,,"anserinella",,"","Bitter",Synonym,,H,RJP,11927,719934-1,"","; 1910","76, f.13","1910",rjp-12296
rjp-11928,A,Rosaceae,,Acaena,,"anserinella",var.,"elatissima","Bitter",Synonym,,L,RJP,11928,795-2,"","; 1914","346","1914",rjp-12296
rjp-11929,A,Rosaceae,,Acaena,,"anserinella",var.,"stuckertii","Bitter",Synonym,,L,RJP,11929,796-2,"","; 1914","346","1914",rjp-12296
rjp-1196,A,Rosaceae,,Acaena,,"anserinifolia",,"","auct.",Synonym,,H,RJP,1196,,"","; ","","",rjp-36
rjp-17727,A,Rosaceae,,Acaena,,"anserinifolia",,"","(J.R.Forst. & G.Forst.) Domin",Unresolved,,L,RJP,17727,,"","; 1926","718","1926",
rjp-56114,A,Rosaceae,,Acaena,,"anserinifolia",,"","(J.R.Forst. & G.Forst.) J.B.Armstr.",Accepted,,H,RJP,56114,,"","; 1880","338","1880",
