ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-217641,A,Orchidaceae,,Acianthopsis,,"aegeridantennata",,"","(N.Hallé) Szlach.",Synonym,,H,WCSP,217641,,"Polish Bot. J.","46: 143","","2001",kew-1849
kew-217642,A,Orchidaceae,,Acianthopsis,,"amplexicaulis",,"","(F.M.Bailey) Szlach.",Synonym,,H,WCSP,217642,,"Polish Bot. J.","46: 143","","2001",kew-1850
kew-217643,A,Orchidaceae,,Acianthopsis,,"bracteata",,"","(Rendle) Szlach.",Synonym,,H,WCSP,217643,,"Polish Bot. J.","46: 144","","2001",kew-1855
kew-217644,A,Orchidaceae,,Acianthopsis,,"bracteata",,"","(Rendle) M.A.Clem. & D.L.Jones",Synonym,,H,WCSP,217644,20004359-1,"Orchadian","13: 440","","2002",kew-1855
kew-217645,A,Orchidaceae,,Acianthopsis,,"confusa",,"","(Guillaumin) Szlach.",Synonym,,H,WCSP,217645,,"Polish Bot. J.","46: 143","","2001",kew-1861
kew-217646,A,Orchidaceae,,Acianthopsis,,"corniculata",,"","(Rendle) Szlach.",Synonym,,H,WCSP,217646,,"Polish Bot. J.","46: 144","","2001",kew-1862
kew-217647,A,Orchidaceae,,Acianthopsis,,"corniculata",,"","(Rendle) M.A.Clem. & D.L.Jones",Synonym,,H,WCSP,217647,20004360-1,"Orchadian","13: 440","","2002",kew-1862
kew-217648,A,Orchidaceae,,Acianthopsis,,"cymbalariifolia",,"","(F.Muell. & Kraenzl.) M.A.Clem. & D.L.Jones",Synonym,,H,WCSP,217648,20004361-1,"Orchadian","13: 440","","2002",kew-1865
kew-217649,A,Orchidaceae,,Acianthopsis,,"cymbalariifolia",,"","(F.Muell. & Kraenzl.) Szlach.",Synonym,,H,WCSP,217649,,"Polish Bot. J.","46: 144","","2001",kew-1865
kew-217650,A,Orchidaceae,,Acianthopsis,,"elegans",,"","(Rchb.f.) Szlach.",Synonym,,H,WCSP,217650,,"Polish Bot. J.","46: 143","","2001",kew-1866
kew-217651,A,Orchidaceae,,Acianthopsis,,"grandiflora",,"","(Schltr.) M.A.Clem. & D.L.Jones",Synonym,,H,WCSP,217651,20004362-1,"Orchadian","13: 440","","2002",kew-1872
kew-217652,A,Orchidaceae,,Acianthopsis,,"grandiflora",,"","(Schltr.) Szlach.",Synonym,,H,WCSP,217652,,"Polish Bot. J.","46: 144","","2001",kew-1872
kew-217653,A,Orchidaceae,,Acianthopsis,,"halleana",,"","(Kores) Szlach.",Synonym,,H,WCSP,217653,,"Polish Bot. J.","46: 144","","2001",kew-1873
kew-217654,A,Orchidaceae,,Acianthopsis,,"halleana",,"","(Kores) M.A.Clem. & D.L.Jones",Synonym,,H,WCSP,217654,20004363-1,"Orchadian","13: 440","","2002",kew-1873
kew-217655,A,Orchidaceae,,Acianthopsis,,"heptadactyla",,"","(Kraenzl.) Szlach.",Synonym,,H,WCSP,217655,,"Polish Bot. J.","46: 143","","2001",kew-1874
kew-217656,A,Orchidaceae,,Acianthopsis,,"macroglossa",,"","(Schltr.) Szlach.",Synonym,,H,WCSP,217656,,"Polish Bot. J.","46: 143","","2001",kew-1877
kew-217657,A,Orchidaceae,,Acianthopsis,,"oxyglossa",,"","(Schltr.) M.A.Clem. & D.L.Jones",Synonym,,H,WCSP,217657,20004364-1,"Orchadian","13: 440","","2002",kew-1880
kew-217658,A,Orchidaceae,,Acianthopsis,,"oxyglossa",,"","(Schltr.) Szlach.",Synonym,,H,WCSP,217658,,"Polish Bot. J.","46: 143","","2001",kew-1880
kew-217659,A,Orchidaceae,,Acianthopsis,,"sublesta",,"","(Dockrill) Szlach.",Synonym,,H,WCSP,217659,20011807-1,"Richardiana","3: 97","","2003",kew-1850
kew-217660,A,Orchidaceae,,Acianthopsis,,"tenuilabris",,"","(Schltr.) M.A.Clem. & D.L.Jones",Synonym,,H,WCSP,217660,20004365-1,"Orchadian","13: 440","","2002",kew-1892
kew-217661,A,Orchidaceae,,Acianthopsis,,"tenuilabris",,"","(Schltr.) Szlach.",Synonym,,H,WCSP,217661,,"Polish Bot. J.","46: 144","","2001",kew-1892
kew-217662,A,Orchidaceae,,Acianthopsis,,"veillonis",,"","(N.Hallé) M.A.Clem. & D.L.Jones",Synonym,,H,WCSP,217662,20004366-1,"Orchadian","13: 440","","2002",kew-1896
kew-217663,A,Orchidaceae,,Acianthopsis,,"veillonis",,"","(N.Hallé) Szlach.",Synonym,,H,WCSP,217663,,"Polish Bot. J.","46: 143","","2001",kew-1896
