ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35190612,B,Aneuraceae,,Acrostolia,,"alata",,"","(Gottsche & Rabenh.) Trevis.",Accepted,,M,TRO,35190612,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877",
tro-35190616,B,Aneuraceae,,Acrostolia,,"algoides",,"","(Taylor) Trevis.",Synonym,,M,TRO,35190616,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877",tro-35202194
tro-35190618,B,Aneuraceae,,Acrostolia,,"bogotensis",,"","(Gottsche) Trevis.",Synonym,,M,TRO,35190618,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877",tro-35206659
tro-35190619,B,Aneuraceae,,Acrostolia,,"brevifolia",,"","(Gottsche) Trevis.",Accepted,,M,TRO,35190619,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877",
tro-35190628,B,Aneuraceae,,Acrostolia,,"eriocaula",,"","(Hook.) Dumort.",Synonym,,M,TRO,35190628,,"Recueil Observ. Jungerm.","26","26","1835",tro-35192086
tro-35190629,B,Aneuraceae,,Acrostolia,,"fucoides",,"","(Sw.) Dumort.",Synonym,,M,TRO,35190629,,"Recueil Observ. Jungerm.","26","26","1835",tro-35204561
tro-35190630,B,Aneuraceae,,Acrostolia,,"humilis",,"","(Gottsche) Trevis.",Synonym,,M,TRO,35190630,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877",tro-35202370
tro-35190631,B,Aneuraceae,,Acrostolia,,"javanica",,"","Gottsche ex Trevis.",Unresolved,,L,TRO,35190631,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877",
tro-35190632,B,Aneuraceae,,Acrostolia,,"papillata",,"","(Gottsche) Trevis.",Synonym,,M,TRO,35190632,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877",tro-35211448
tro-35190627,B,Aneuraceae,,Acrostolia,,"poeppigiana",,"","(Lehm. & Lindenb.) Trevis.",Synonym,,M,TRO,35190627,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877",tro-35202766
tro-35190626,B,Aneuraceae,,Acrostolia,,"prehensilis",,"","(Hook. f. & Taylor) Trevis.",Synonym,,M,TRO,35190626,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877",tro-35212025
tro-35190625,B,Aneuraceae,,Acrostolia,,"virgata",,"","(Gottsche) Trevis.",Accepted,,M,TRO,35190625,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877",
