ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2621174,A,Boraginaceae,,Adelocaryum,,"anchusoides",,"","(Lindl.) Brand",Unresolved,,L,WCSP (in review),,112663-1,"Repert. Spec. Nov. Regni Veg.","13: 548","","1915",
kew-2621175,A,Boraginaceae,,Adelocaryum,,"capusii",,"","(Franch.) Brand",Synonym,,L,WCSP (in review),,112664-1,"Repert. Spec. Nov. Regni Veg.","13: 548","","1915",kew-2342824
kew-2621176,A,Boraginaceae,,Adelocaryum,,"coelestinum",,"","(Lindl.) Brand",Accepted,,M,WCSP (in review),,112665-1,"Repert. Spec. Nov. Regni Veg.","13: 549","","1915",
kew-2621177,A,Boraginaceae,,Adelocaryum,,"erythraeum",,"","Brand",Synonym,,M,WCSP (in review),,112666-1,"Pflanzenr.","IV, 225(78): 78","","1921",kew-2681871
kew-2899359,A,Boraginaceae,,Adelocaryum,,"erythraeum",f.,"subexalatum","Riedl",Synonym,,L,WCSP (in review),,77104059-1,"Linzer Biol. Beitr.","24(1): 26","","1992",kew-2681871
kew-2621178,A,Boraginaceae,,Adelocaryum,,"flexuosum",,"","Brand",Synonym,,L,WCSP (in review),,112667-1,"Repert. Spec. Nov. Regni Veg.","14: 149","","1915",kew-2751956
kew-2899349,A,Boraginaceae,,Adelocaryum,,"lambertianum",,"","(C.B.Clarke) R.R.Mill",Accepted,,M,WCSP (in review),,77104062-1,"Edinburgh J. Bot.","67: 152","","2010",
kew-2621179,A,Boraginaceae,,Adelocaryum,,"malabaricum",,"","(C.B.Clarke) Brand",Accepted,,M,WCSP (in review),,112668-1,"Repert. Spec. Nov. Regni Veg.","13: 549","","1915",
kew-2899348,A,Boraginaceae,,Adelocaryum,,"nebulicola",,"","R.R.Mill",Accepted,,M,WCSP (in review),,,"Edinburgh J. Bot.","67: 148","","2010",
kew-2621180,A,Boraginaceae,,Adelocaryum,,"schlagintweitii",,"","Brand",Synonym,,L,WCSP (in review),,112669-1,"Repert. Spec. Nov. Regni Veg.","13: 548","","1915",kew-2752145
