ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
ild-31189,A,Leguminosae,,Adenanthera,,"abrosperma",,"","F.Muell.",Accepted,,H,ILDIS,31189,,"","","","",
ild-50544,A,Leguminosae,,Adenanthera,,"aculeata",,"","Roxb.",Synonym,,H,ILDIS,50544,,"","","","",ild-31185
ild-50511,A,Leguminosae,,Adenanthera,,"aglaosperma",,"","Alston",Accepted,,H,ILDIS,50511,,"","","","",
ild-50512,A,Leguminosae,,Adenanthera,,"bicolor",,"","sensu auct.",Misapplied,,H,ILDIS,50512,,"","","","",ild-50511
ild-22613,A,Leguminosae,,Adenanthera,,"bonplandiana",,"","Kunth",Synonym,,H,ILDIS,22613,,"","","","",ild-20216
ild-53078,A,Leguminosae,,Adenanthera,,"borneensis",,"","Prain",Accepted,,H,ILDIS,53078,,"","","","",
ild-42469,A,Leguminosae,,Adenanthera,,"chrysostachys",,"","Benth.",Synonym,,H,ILDIS,42469,,"","","","",ild-65
kew-2621312,A,Leguminosae,,Adenanthera,,"circinalis",,"","DC.",Unresolved,,L,WCSP (in review),,472149-1,"Prodr.","2: 446","","1825",
ild-39482,A,Leguminosae,,Adenanthera,,"falcata",,"","L.",Synonym,,H,ILDIS,39482,,"","","","",ild-42690
ild-39483,A,Leguminosae,,Adenanthera,,"falcataria",,"","L.",Synonym,,H,ILDIS,39483,,"","","","",ild-42690
ild-39520,A,Leguminosae,,Adenanthera,,"falcatoria",,"","L.",Synonym,Spelling variant,H,ILDIS,39520,,"","","","",ild-42690
ild-53079,A,Leguminosae,,Adenanthera,,"forbesii",,"","Gagnep.",Accepted,,H,ILDIS,53079,,"","","","",
ild-53093,A,Leguminosae,,Adenanthera,,"gersenii",,"","Scheff.",Synonym,,H,ILDIS,53093,,"","","","",ild-2
ild-167,A,Leguminosae,,Adenanthera,,"gilletii",,"","De Wild.",Synonym,,H,ILDIS,167,,"","","","",ild-166
tro-13024737,A,Leguminosae,,Adenanthera,,"glauca",,"","Span.",Unresolved,,L,TRO,13024737,472156-1,"Companion Bot. Mag.","1: 347","347","1835",
ild-53102,A,Leguminosae,,Adenanthera,,"gogo",,"","Blanco",Synonym,,H,ILDIS,53102,,"","","","",ild-32599
ild-53081,A,Leguminosae,,Adenanthera,,"intermedia",,"","Merr.",Accepted,,H,ILDIS,53081,,"","","","",
tro-13054991,A,Leguminosae,,Adenanthera,,"klainei",,"","Pierre ex Baker f.",Accepted,,M,TRO,13054991,472159-1,"Legum. Trop. Africa","3: 798","798","1930",
ild-53086,A,Leguminosae,,Adenanthera,,"kostermansii",,"","I.C.Nielsen",Accepted,,H,ILDIS,53086,,"","","","",
ild-53087,A,Leguminosae,,Adenanthera,,"malayana",,"","Kosterm.",Accepted,,H,ILDIS,53087,,"","","","",
ild-53089,A,Leguminosae,,Adenanthera,,"malayana",subsp.,"malayana","",Synonym,,L,ILDIS,53089,,"","","","",ild-53087
ild-42468,A,Leguminosae,,Adenanthera,,"mantaroa",,"","Villiers",Accepted,,H,ILDIS,42468,,"","","","",
ild-53090,A,Leguminosae,,Adenanthera,,"marina",,"","I.C.Nielsen",Accepted,,H,ILDIS,53090,,"","","","",
ild-33896,A,Leguminosae,,Adenanthera,,"microsperma",,"","Teijsm. & Binn.",Accepted,,H,ILDIS,33896,,"","","","",
ild-53092,A,Leguminosae,,Adenanthera,,"microsperma",,"","""sensu auct.,  non Teijsm. & Bi""",Misapplied,,H,ILDIS,53092,,"","","","",ild-53091
tro-50298780,A,Leguminosae,,Adenanthera,,"microsperma",var.,"luteosemiralis","G.A. Fu & Y.K. Yang",Synonym,,L,TRO,50298780,77076374-1,"Bull. Bot. Res., Harbin","26(3): 257–258, f. 1","257","2006",tro-100002127
ild-53091,A,Leguminosae,,Adenanthera,,"novo-guineensis",,"","Baker f.",Accepted,,H,ILDIS,53091,,"","","","",
ild-50527,A,Leguminosae,,Adenanthera,,"oudhensis",,"","sensu Kanjilal",Misapplied,,H,ILDIS,50527,,"","","","",ild-39817
ild-2,A,Leguminosae,,Adenanthera,,"pavonina",,"","L.",Accepted,,H,ILDIS,2,,"","","","",
ild-43360,A,Leguminosae,,Adenanthera,,"pavonina",,"","auct.",Misapplied,,H,ILDIS,43360,,"","","","",ild-33896
ild-53082,A,Leguminosae,,Adenanthera,,"pavonina",,"","sensu auct. non L.",Misapplied,,H,ILDIS,53082,,"","","","",ild-53081
tro-100002127,A,Leguminosae,,Adenanthera,,"pavonina",var.,"luteosemiralis","(G.A. Fu & Y.K. Yang) X.Y. Zhu",Accepted,,L,TRO,100002127,77092748-1,"Legumes of China","83","83","2007",
ild-55692,A,Leguminosae,,Adenanthera,,"pavonina",var.,"pavonina","",Synonym,,L,ILDIS,55692,,"","","","",ild-2
ild-53094,A,Leguminosae,,Adenanthera,,"polita",,"","Miq.",Synonym,,L,ILDIS,53094,,"","","","",ild-2
kew-2621333,A,Leguminosae,,Adenanthera,,"scandens",,"","(L.) G.Forst.",Unresolved,,L,WCSP (in review),,472167-1,"Fl. Ins. Austr.","33","","1786",
kew-2621334,A,Leguminosae,,Adenanthera,,"scandens",,"","Veill.",Unresolved,,L,WCSP (in review),,,"Bull. Soc. Linn. Normandie","9: 340","","1865",kew-2789427
ild-43359,A,Leguminosae,,Adenanthera,,"tamarindifolia",,"","Pierre",Synonym,,H,ILDIS,43359,472169-1,"","","","",ild-33896
ild-53080,A,Leguminosae,,Adenanthera,,"tamarindifolia",,"","""sensu auct.,  non Pierre""",Misapplied,,H,ILDIS,53080,,"","","","",ild-53079
ild-50548,A,Leguminosae,,Adenanthera,,"tetraptera",,"","Schum. & Thonn.",Synonym,,H,ILDIS,50548,,"","","","",ild-176
tro-13024745,A,Leguminosae,,Adenanthera,,"tetraptera",,"","Schumach. & Thonn.",Synonym,,M,TRO,13024745,472170-1,"Beskr. Guin. Pl.","213–214","213","1827",ild-176
tro-50333017,A,Leguminosae,,Adenanthera,,"trigona",,"","Eckl. & Zeyh.",Unresolved,,L,TRO,50333017,,"","","","",
