ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2622394,A,Acanthaceae,,Adhatoda,,"acuminata",,"","Nees",Unresolved,,L,WCSP (in review),,44974-1,"Prodr.","11: 400","","1847",
kew-2622395,A,Acanthaceae,,Adhatoda,,"adenostachya",,"","Nees",Unresolved,,L,WCSP (in review),,44975-1,"Prodr.","11: 408","","1847",
kew-2622396,A,Acanthaceae,,Adhatoda,,"adhatoda",,"","(L.) Huth",Synonym,Invalid,M,WCSP (in review),,44976-1,"Helios","11: 132","","1893",kew-2330223
kew-2622397,A,Acanthaceae,,Adhatoda,,"amaranthoides",,"","Nees",Synonym,,L,WCSP (in review),,44977-1,"Prodr.","11: 400","","1847",kew-2330810
kew-2622398,A,Acanthaceae,,Adhatoda,,"anagalloides",,"","Nees",Unresolved,,L,WCSP (in review),,44978-1,"Prodr.","11: 403","","1847",tro-102156
kew-2622399,A,Acanthaceae,,Adhatoda,,"andromeda",,"","(Lindau) C.B.Clarke",Synonym,,L,WCSP (in review),,44979-1,"Fl. Cap.","5(1): 76","","1901",kew-2779595
kew-2622400,A,Acanthaceae,,Adhatoda,,"anselliana",,"","Nees",Synonym,,M,WCSP (in review),,44981-1,"Prodr.","11: 403","","1847",kew-2330242
kew-2622401,A,Acanthaceae,,Adhatoda,,"arborea",,"","Raf.",Synonym,,M,WCSP (in review),,,"Fl. Tellur.","4: 61","","1838",kew-2330223
kew-2622402,A,Acanthaceae,,Adhatoda,,"arenaria",,"","Nees",Unresolved,,L,WCSP (in review),,44982-1,"Pl. Asiat. Rar.","3: 103","","1832",
kew-2622403,A,Acanthaceae,,Adhatoda,,"argyrostachya",,"","Nees",Synonym,,L,WCSP (in review),,44983-1,"Pl. Asiat. Rar.","3: 102","","1832",kew-2330196
