ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2606131,A,Apiaceae,,Afroligusticum,,"aculeolatum",,"","(Engl.) P.J.D.Winter",Accepted,,M,WCSP (in review),,77090155-1,"Taxon","57: 359","","2008",
kew-2624913,A,Apiaceae,,Afroligusticum,,"chaerophylloides",,"","C.Norman",Synonym,,M,WCSP (in review),,837360-1,"Pl. Bequaert.","4: 302","","1927",kew-2624914
kew-2606132,A,Apiaceae,,Afroligusticum,,"claessensii",,"","(C.Norman) P.J.D.Winter",Accepted,,M,WCSP (in review),,77090156-1,"Taxon","57: 359","","2008",
kew-2606133,A,Apiaceae,,Afroligusticum,,"elgonense",,"","(H.Wolff) P.J.D.Winter",Accepted,,M,WCSP (in review),,77090157-1,"Taxon","57: 359","","2008",
kew-2624914,A,Apiaceae,,Afroligusticum,,"elliotii",,"","(Engl.) C.Norman",Accepted,,M,WCSP (in review),,837361-1,"J. Linn. Soc., Bot.","49: 516","","1934",
kew-2606134,A,Apiaceae,,Afroligusticum,,"linderi",,"","(C.Norman) P.J.D.Winter",Accepted,,M,WCSP (in review),,77090158-1,"Taxon","57: 359","","2008",
kew-2606135,A,Apiaceae,,Afroligusticum,,"mattirolii",,"","(Chiov.) P.J.D.Winter",Accepted,,L,WCSP (in review),,77090159-1,"Taxon","57: 359","","2008",
kew-2606136,A,Apiaceae,,Afroligusticum,,"petitianum",,"","(A.Rich.) P.J.D.Winter",Accepted,,M,WCSP (in review),,77090160-1,"Taxon","57: 359","","2008",
kew-2606137,A,Apiaceae,,Afroligusticum,,"runssoricum",,"","(Engl.) P.J.D.Winter",Accepted,,M,WCSP (in review),,77090161-1,"Taxon","57: 359","","2008",
kew-2606138,A,Apiaceae,,Afroligusticum,,"scottianum",,"","(Engl.) P.J.D.Winter",Accepted,,M,WCSP (in review),,77090162-1,"Taxon","57: 359","","2008",
kew-2606139,A,Apiaceae,,Afroligusticum,,"thodei",,"","(T.H.Arnold) P.J.D.Winter",Accepted,,L,WCSP (in review),,77090163-1,"Taxon","57: 359","","2008",
kew-2606140,A,Apiaceae,,Afroligusticum,,"townsendii",,"","(Charpin & Fern.Casas) P.J.D.Winter",Accepted,,L,WCSP (in review),,77090164-1,"Taxon","57: 359","","2008",
kew-2606141,A,Apiaceae,,Afroligusticum,,"volkensii",,"","(Engl.) P.J.D.Winter",Accepted,,M,WCSP (in review),,77090165-1,"Taxon","57: 359","","2008",
kew-2606142,A,Apiaceae,,Afroligusticum,,"wilmsianum",,"","(H.Wolff) P.J.D.Winter",Accepted,,M,WCSP (in review),,77090166-1,"Taxon","57: 359","","2008",
