ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
gcc-45444,A,Compositae,,Agoseris,,"agrestis",,"","Osterh.",Synonym,,M,TICA,7A94F11B-DE41-4A20-BBF8-5434E7C909A0,7190-2,"Bull. Torrey Bot. Club 28","","645","1901",gcc-135689
tro-50244282,A,Compositae,,Agoseris,×,"agrestis",,"","Osterhout (pro sp.)",Unresolved,,L,TRO,50244282,,"Bull. Torrey Bot. Club","28: 645","645","1901",
gcc-3318,A,Compositae,,Agoseris,,"alpestris",,"","(A.Gray) Greene",Synonym,,M,TICA,33061418-677E-444F-8BA7-062238E19B3B,7191-2,"Pittonia 2","","177","1891",gcc-20624
gcc-125241,A,Compositae,,Agoseris,,"altissima",,"","Rydb.",Synonym,,M,TICA,68F7204E-848D-4A8B-BF30-D2982D54DA41,7192-2,"Mem. New York Bot. Gard. 1","","458","1900",gcc-135689
gcc-82853,A,Compositae,,Agoseris,,"angustissima",,"","Greene",Synonym,,M,TICA,29403D52-B6B1-4C63-997B-72FCBF3BEB70,7193-2,"Leafl. Bot. Observ. Crit. 2","","129","1911",gcc-140203
gcc-97397,A,Compositae,,Agoseris,,"apargiodes",,"","(Less.) Kuntze",Unresolved,,L,TICA,8F9E16C0-BB44-4B7D-90D3-93C61C072144,1079812-2,"Revis. Gen. Pl. 1: 304","","304","1891",
gcc-112429,A,Compositae,,Agoseris,,"apargioides",,"","(Less.) Greene",Accepted,,M,TICA,EEB035DE-DED8-4A9D-9BA4-B56DF6BB9521,175587-1,"Pittonia 2","","177","1891",
gcc-13565,A,Compositae,,Agoseris,,"apargioides",var.,"apargioides","",Synonym,,L,TICA,DC6DCB57-2C33-4764-9824-193CB426964B,,"","","","",gcc-112429
gcc-42152,A,Compositae,,Agoseris,,"apargioides",subsp.,"apargioides","",Synonym,,L,TICA,BCA85EEE-1037-4350-9B25-4E1ABC0FC657,,"","","","",gcc-112429
gcc-58139,A,Compositae,,Agoseris,,"apargioides",subsp.,"maritima","(E.Sheld.) Q.Jones",Synonym,,L,TICA,36E602CE-3CDB-42AE-AFB6-8C12F9784D9D,7196-2,"Vasc. Pl. Pacific NorthW. 5","","24","1955",gcc-112429
