ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-6968,A,Rubiaceae,,Alseis,,"blackiana",,"","Hemsl.",Accepted,,H,WCSP,6968,743041-1,"Diagn. Pl. Nov. Mexic.","30","","1879",
kew-216341,A,Rubiaceae,,Alseis,,"costaricensis",,"","C.M.Taylor",Accepted,,H,WCSP,216341,20009931-1,"Novon","12: 572","","2002",
kew-6969,A,Rubiaceae,,Alseis,,"darienensis",,"","Dwyer",Synonym,,H,WCSP,6969,9713-2,"Ann. Missouri Bot. Gard.","67: 26","","1980",kew-214812
kew-6970,A,Rubiaceae,,Alseis,,"eggersii",,"","Standl.",Accepted,,H,WCSP,6970,9714-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","4: 264","","1929",
kew-6971,A,Rubiaceae,,Alseis,,"floribunda",,"","Schott",Accepted,,H,WCSP,6971,743044-1,"Syst. Veg.","4(2): 404","","1827",
kew-329696,A,Rubiaceae,,Alseis,,"floribunda",var.,"burchelliana","K.Schum.",Synonym,,L,WCSP,329696,9715-2,"Fl. Bras.","6(6): 189","","1889",kew-6971
kew-329697,A,Rubiaceae,,Alseis,,"floribunda",var.,"selloana","K.Schum.",Synonym,,L,WCSP,329697,9716-2,"Fl. Bras.","6(6): 188","","1889",kew-6971
kew-329698,A,Rubiaceae,,Alseis,,"floribunda",var.,"tomentosa","K.Schum.",Synonym,,L,WCSP,329698,9717-2,"Fl. Bras.","6(6): 188","","1889",kew-6971
kew-6972,A,Rubiaceae,,Alseis,,"gardneri",,"","Wernham",Accepted,,H,WCSP,6972,9718-2,"J. Bot.","51: 321","","1913",
kew-6973,A,Rubiaceae,,Alseis,,"hondurensis",,"","Standl.",Accepted,,H,WCSP,6973,9719-2,"Trop. Woods","16: 48","","1928",
kew-6974,A,Rubiaceae,,Alseis,,"involuta",,"","K.Schum.",Accepted,,H,WCSP,6974,9720-2,"Fl. Bras.","6(6): 189","","1889",
kew-6975,A,Rubiaceae,,Alseis,,"labatioides",,"","H.Karst. ex K.Schum.",Accepted,,H,WCSP,6975,743048-1,"Fl. Bras.","6(6): 180","","1889",
kew-6976,A,Rubiaceae,,Alseis,,"latifolia",,"","Gleason",Accepted,,H,WCSP,6976,9722-2,"Phytologia","1: 137","","1935",
kew-6977,A,Rubiaceae,,Alseis,,"leiantha",,"","S.F.Blake",Synonym,,H,WCSP,6977,9723-2,"Contr. U. S. Natl. Herb.","20: 531","","1924",kew-6975
kew-6978,A,Rubiaceae,,Alseis,,"longifolia",,"","Ducke",Accepted,,H,WCSP,6978,9724-2,"Arch. Jard. Bot. Rio de Janeiro","3: 256","","1922",
kew-329699,A,Rubiaceae,,Alseis,,"longifolia",var.,"pentamera","Bremek.",Synonym,,L,WCSP,329699,9725-2,"Recueil Trav. Bot. Néerl.","33: 707","","1936",kew-6978
kew-6979,A,Rubiaceae,,Alseis,,"lugonis",,"","L.Andessson",Accepted,,H,WCSP,6979,,"in Fl. Ecuador","50(162: 1-4): 87","","1994",
kew-6980,A,Rubiaceae,,Alseis,,"microcarpa",,"","Standl. & Steyerm.",Accepted,,H,WCSP,6980,9726-2,"Fieldiana, Bot.","28: 565","","1953",
kew-6981,A,Rubiaceae,,Alseis,,"mutisii",,"","Moldenke",Accepted,,H,WCSP,6981,9727-2,"Phytologia","1: 95","","1934",
kew-6982,A,Rubiaceae,,Alseis,,"peruviana",,"","Standl.",Accepted,,H,WCSP,6982,9728-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","11: 179","","1936",
kew-6983,A,Rubiaceae,,Alseis,,"pickelii",,"","Pilg. & Schmale",Accepted,,H,WCSP,6983,9729-2,"Repert. Spec. Nov. Regni Veg.","41: 222","","1937",
kew-6984,A,Rubiaceae,,Alseis,,"reticulata",,"","Pilg. & Schmale",Accepted,,H,WCSP,6984,9730-2,"Repert. Spec. Nov. Regni Veg.","41: 223","","1937",
kew-6985,A,Rubiaceae,,Alseis,,"schippii",,"","Lundell",Synonym,,H,WCSP,6985,9731-2,"Lloydia","4: 56","","1941",kew-6973
kew-6986,A,Rubiaceae,,Alseis,,"smithii",,"","Standl.",Accepted,,H,WCSP,6986,9732-2,"Lloydia","2: 214","","1939",
kew-6987,A,Rubiaceae,,Alseis,,"tichocarpa",,"","Standl. & Steyerm.",Synonym,,H,WCSP,6987,9733-2,"Fieldiana, Bot.","28: 566","","1953",kew-6975
kew-6988,A,Rubiaceae,,Alseis,,"yucatanensis",,"","Standl.",Accepted,,H,WCSP,6988,9734-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","8: 50","","1930",
