ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2630988,A,Crassulaceae,,Altamiranoa,,"albiflora",,"","(Hemsl.) E.Walther",Unresolved,,L,WCSP (in review),,10219-2,"Cact. Succ. J. (Los Angeles)","10: 24","","1938",tro-8901568
kew-2630989,A,Crassulaceae,,Altamiranoa,,"alpina",,"","Fröd.",Unresolved,,L,WCSP (in review),,272319-1,"Acta Horti Gothob.","10(App.): 148","","1935 publ. 1936",tro-8902667
kew-2630990,A,Crassulaceae,,Altamiranoa,,"batesii",,"","(Hemsl.) Rose",Unresolved,,L,WCSP (in review),,10220-2,"Bull. New York Bot. Gard.","3: 32","","1903",tro-8902554
kew-2630991,A,Crassulaceae,,Altamiranoa,,"batesii",var.,"subalpina","Fröd.",Unresolved,,L,WCSP (in review),,,"Acta Horti Gothob.","10(6 App.): 147","","1935 publ. 1936",kew-2878964
kew-2630992,A,Crassulaceae,,Altamiranoa,,"berillonana",,"","(Raym.-Hamet) A.Berger",Unresolved,,L,WCSP (in review),,10222-2,"Nat. Pflanzenfam. ed. 2","18a: 470","","1930",
kew-2630993,A,Crassulaceae,,Altamiranoa,,"calcicola",,"","(B.L.Rob. & Greenm.) Rose",Unresolved,,L,WCSP (in review),,10223-2,"Bull. New York Bot. Gard.","3: 32","","1903",
kew-2630994,A,Crassulaceae,,Altamiranoa,,"chihuahuensis",,"","(S.Watson) Rose",Unresolved,,L,WCSP (in review),,10224-2,"Bull. New York Bot. Gard.","3: 33","","1903",
kew-2630995,A,Crassulaceae,,Altamiranoa,,"cucullata",,"","(Rose) E.Walther",Unresolved,,L,WCSP (in review),,10225-2,"Cact. Succ. J. (Los Angeles)","10: 24","","1938",
kew-2630996,A,Crassulaceae,,Altamiranoa,,"decipiens",,"","(Baker) Fröd.",Unresolved,,L,WCSP (in review),,10226-2,"Acta Horti Gothob.","10(App.): 145","","1935 publ. 1936",kew-2781120
kew-2630997,A,Crassulaceae,,Altamiranoa,,"diffusa",,"","(Rose) E.Walther",Unresolved,,L,WCSP (in review),,10227-2,"Cact. Succ. J. (Los Angeles)","10: 24","","1938",
