ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-7136,A,Orchidaceae,,Altensteinia,,"argyrolepis",,"","(Rchb.f.) Rchb.f.",Synonym,,H,WCSP,7136,615581-1,"Bonplandia (Hannover)","3: 239","","1855",kew-3
kew-7137,A,Orchidaceae,,Altensteinia,,"boliviensis",,"","Rolfe ex Rusby",Accepted,,H,WCSP,7137,615582-1,"Mem. Torrey Bot. Club","4: 265","","1895",
kew-7138,A,Orchidaceae,,Altensteinia,,"calceata",,"","Rchb.f.",Synonym,,H,WCSP,7138,305725-2,"Xenia Orchid.","3: 19","","1878",kew-5
kew-7139,A,Orchidaceae,,Altensteinia,,"chiogena",,"","(Schltr.) C.Schweinf.",Synonym,,H,WCSP,7139,1169410-2,"Bot. Mus. Leafl.","16: 2","","1953",kew-132067
kew-7140,A,Orchidaceae,,Altensteinia,,"citrina",,"","Garay",Accepted,,H,WCSP,7140,615585-1,"Opera Bot., B","9(225; 1): 155","","1978",
kew-7141,A,Orchidaceae,,Altensteinia,,"columbiana",,"","(Schltr.) Garay",Synonym,,H,WCSP,7141,615586-1,"Svensk Bot. Tidskr.","47: 195","","1953",kew-7
kew-7142,A,Orchidaceae,,Altensteinia,,"elliptica",,"","C.Schweinf.",Accepted,,H,WCSP,7142,615587-1,"Bot. Mus. Leafl.","15: 3","","1951",
kew-7143,A,Orchidaceae,,Altensteinia,,"erosa",,"","Rchb.f.",Synonym,,H,WCSP,7143,302525-2,"Otia Bot. Hamburg.","51","","1878",kew-9
kew-7144,A,Orchidaceae,,Altensteinia,,"fiebrigii",,"","Schltr.",Synonym,,H,WCSP,7144,300543-2,"Repert. Spec. Nov. Regni Veg.","10: 415","","1912",kew-10
kew-7145,A,Orchidaceae,,Altensteinia,,"fimbriata",,"","Kunth",Accepted,,H,WCSP,7145,615590-1,"Nov. Gen. Sp.","1: 333","","1816",
kew-7146,A,Orchidaceae,,Altensteinia,,"fragosa",,"","Løjtnant",Synonym,,H,WCSP,7146,615591-1,"Bot. Not.","130: 163","","1977",kew-20
kew-7147,A,Orchidaceae,,Altensteinia,,"gymnandra",,"","Rchb.f.",Synonym,,H,WCSP,7147,301768-2,"Xenia Orchid.","3: 18","","1878",kew-467599
kew-7148,A,Orchidaceae,,Altensteinia,,"hieronymi",,"","Cogn.",Synonym,,H,WCSP,7148,302123-2,"Fl. Bras.","3(3): 245","","1895",kew-14
kew-7149,A,Orchidaceae,,Altensteinia,,"inaequalis",,"","Rchb.f.",Synonym,,H,WCSP,7149,305532-2,"Xenia Orchid.","3: 19","","1878",kew-467590
kew-7150,A,Orchidaceae,,Altensteinia,,"leucantha",,"","Rchb.f.",Synonym,,H,WCSP,7150,615595-1,"Flora","69: 548","","1886",kew-17
kew-7151,A,Orchidaceae,,Altensteinia,,"longispicata",,"","C.Schweinf.",Accepted,,H,WCSP,7151,615596-1,"Bot. Mus. Leafl.","9: 223","","1941",
kew-7152,A,Orchidaceae,,Altensteinia,,"macra",,"","(Schltr.) A.D.Hawkes",Synonym,,H,WCSP,7152,615597-1,"Phytologia","3: 248","","1950",kew-19
kew-7153,A,Orchidaceae,,Altensteinia,,"mandonii",,"","Rchb.f.",Synonym,,H,WCSP,7153,615598-1,"Xenia Orchid.","3: 19","","1878",kew-21
kew-7154,A,Orchidaceae,,Altensteinia,,"marginata",,"","Rchb.f.",Accepted,,H,WCSP,7154,615599-1,"Xenia Orchid.","3: 20","","1878",
tro-23505907,A,Orchidaceae,,Altensteinia,,"mathewsii",,"","Rchb. f.",Synonym,,M,TRO,23505907,,"Xenia Orchid.","3: 19","19","1900",kew-22
kew-7155,A,Orchidaceae,,Altensteinia,,"matthewsii",,"","Rchb.f.",Synonym,,H,WCSP,7155,300841-2,"Xenia Orchid.","3: 19","","1878",kew-22
kew-7156,A,Orchidaceae,,Altensteinia,,"nervosa",,"","Kraenzl.",Synonym,,H,WCSP,7156,302485-2,"Bot. Jahrb. Syst.","36(80): 8","","1905",kew-24
kew-7157,A,Orchidaceae,,Altensteinia,,"nigrescens",,"","(Schltr.) Løjtnant",Synonym,,H,WCSP,7157,1011860-2,"Bot. Not.","130: 164","","1977",kew-17
kew-7158,A,Orchidaceae,,Altensteinia,,"nubigena",,"","(Rchb.f.) Rchb.f.",Synonym,,H,WCSP,7158,615603-1,"Xenia Orchid.","3: 18","","1878",kew-132070
kew-7159,A,Orchidaceae,,Altensteinia,,"paleacea",,"","(Kunth) Kunth",Synonym,,H,WCSP,7159,615604-1,"Syn. Pl.","1: 325","","1822",kew-27
kew-7160,A,Orchidaceae,,Altensteinia,,"paludosa",,"","Rchb.f.",Synonym,,H,WCSP,7160,312460-2,"Xenia Orchid.","3: 19","","1878",kew-132071
kew-7161,A,Orchidaceae,,Altensteinia,,"pilifera",,"","Kunth",Synonym,,H,WCSP,7161,615606-1,"Nov. Gen. Sp.","1: 333","","1816",kew-163455
kew-7162,A,Orchidaceae,,Altensteinia,,"pterostyloides",,"","(Kraenzl.) Schltr.",Synonym,,H,WCSP,7162,615607-1,"Repert. Spec. Nov. Regni Veg. Beih.","9: 126","","1921",kew-7154
kew-7163,A,Orchidaceae,,Altensteinia,,"rhynchocarpa",,"","(Schltr.) Hawkens",Synonym,,H,WCSP,7163,,"Phytologia","3: 248","","1950",kew-132073
kew-7164,A,Orchidaceae,,Altensteinia,,"riobambae",,"","(Schltr.) Hawkens",Synonym,,H,WCSP,7164,,"Phytologia","3: 248","","1950",kew-31
kew-7165,A,Orchidaceae,,Altensteinia,,"rosei",,"","(Ames) L.O.Williams",Synonym,,H,WCSP,7165,615610-1,"Bot. Mus. Leafl.","7: 137","","1939",kew-32
kew-7166,A,Orchidaceae,,Altensteinia,,"rostrata",,"","Rchb.f.",Synonym,,H,WCSP,7166,302136-2,"Xenia Orchid.","3: 18","","1878",kew-132074
kew-7167,A,Orchidaceae,,Altensteinia,,"sceptrum",,"","Rchb.f.",Synonym,,H,WCSP,7167,615612-1,"Xenia Orchid.","1: 18","","1858",kew-7145
kew-7168,A,Orchidaceae,,Altensteinia,,"ustulata",,"","(Schltr.) Hawkens",Synonym,,H,WCSP,7168,,"Phytologia","3: 248","","1950",kew-132075
kew-7169,A,Orchidaceae,,Altensteinia,,"virescens",,"","Lindl.",Accepted,,H,WCSP,7169,615614-1,"Ann. Mag. Nat. Hist.","15: 385","","1845",
kew-7170,A,Orchidaceae,,Altensteinia,,"weberbaueri",,"","(Schltr.) C.Schweinf.",Synonym,,H,WCSP,7170,615615-1,"Bot. Mus. Leafl.","16: 2","","1953",kew-132076
kew-7171,A,Orchidaceae,,Altensteinia,,"weddelliana",,"","Rchb.f.",Synonym,,H,WCSP,7171,615616-1,"Xenia Orchid.","3: 19","","1878",kew-39
