ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-393706,A,Poaceae,,Anisantha,,"diandra",,"","(Roth) Tutin ex Tzvelev",Synonym,,H,WCSP,393706,388810-1,"Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R.","22: 4","","1963",kew-400915
tro-25509280,A,Poaceae,,Anisantha,,"diandra",,"","(Roth) Tutin",Synonym,,M,TRO,25509280,,"Fl. Brit. Isles (ed. 2)","1149","1149","1962",kew-400915
kew-393707,A,Poaceae,,Anisantha,,"diandra",subsp.,"rigida","(Roth) Tzvelev",Synonym,,L,WCSP,393707,,"Zlaki SSSR","223","","1976",kew-401784
kew-393708,A,Poaceae,,Anisantha,,"diandra",var.,"rigida","(Roth) Spalton",Synonym,,L,WCSP,393708,77062964-1,"B.S.B.I. News","95: 25","","2004",kew-401784
kew-393709,A,Poaceae,,Anisantha,,"fasciculata",,"","(C.Presl) Nevski",Synonym,,H,WCSP,393709,388811-1,"Trudy Sredne-Aziatsk. Gosud. Univ., Ser. 8b, Bot.","17: 2","","1934",kew-401033
kew-450725,A,Poaceae,,Anisantha,,"fasciculata",subsp.,"delilei","(Boiss.) H.Scholz & Valdés",Synonym,,L,WCSP,450725,77075347-1,"Willdenowia","36: 659","","2006",kew-401033
kew-393711,A,Poaceae,,Anisantha,,"flabellata",,"","(Hack. ex Boiss.) Holub",Synonym,,H,WCSP,393711,388812-1,"Folia Geobot. Phytotax.","8: 176","","1973",kew-401033
kew-451796,A,Poaceae,,Anisantha,×,"granatensis",,"","(A.Camus) Valdés",Synonym,,H,WCSP,451796,77094216-1,"Lagascalia","27: 317","","2007",kew-400578
kew-393712,A,Poaceae,,Anisantha,,"gussonei",,"","(Parl.) Nevski",Synonym,,H,WCSP,393712,388813-1,"Trudy Sredne-Aziatsk. Gosud. Univ., Ser. 8b, Bot.","17: 20","","1934",kew-400915
kew-393713,A,Poaceae,,Anisantha,,"haussknechtii",,"","(Boiss.) Holub",Synonym,,H,WCSP,393713,388814-1,"Folia Geobot. Phytotax.","8: 176","","1973",kew-401119
kew-393714,A,Poaceae,,Anisantha,,"hispanica",,"","(Rivas Ponce) Holub",Synonym,,H,WCSP,393714,388815-1,"Folia Geobot. Phytotax.","11: 82","","1976",kew-401784
kew-393715,A,Poaceae,,Anisantha,,"macranthera",,"","(Hack. ex Trab.) P.Silva",Synonym,,H,WCSP,393715,388816-1,"Agron. Lusit.","29: 7","","1968",kew-400915
