ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
ild-7196,A,Leguminosae,,Anthyllis,,"abyssinica",,"","(Sagorski) W.Becker",Synonym,,H,ILDIS,7196,,"","","","",ild-7195
kew-2641896,A,Leguminosae,,Anthyllis,,"adriatica",,"","Beck",Unresolved,,L,WCSP (in review),,,"Ann. K. K. Naturhist. Hofmus.","11: 62","","1896",
ild-8578,A,Leguminosae,,Anthyllis,,"aegaea",,"","Turrill",Accepted,,H,ILDIS,8578,,"","","","",
ild-29465,A,Leguminosae,,Anthyllis,,"affinis",,"","sensu auct.fl.URSS",Synonym,,H,ILDIS,29465,,"","","","",ild-29451
ild-29473,A,Leguminosae,,Anthyllis,,"affinis",,"","""A.Kern., p.p.C""",Synonym,,H,ILDIS,29473,,"","","","",ild-29454
kew-2641899,A,Leguminosae,,Anthyllis,,"ajmasiana",,"","(Pau) Rothm.",Unresolved,,L,WCSP (in review),,474625-1,"Repert. Spec. Nov. Regni Veg.","50: 236","","1941",
ild-10006,A,Leguminosae,,Anthyllis,,"albana",,"","Wettst.",Synonym,,H,ILDIS,10006,,"","","","",ild-9148
tro-100289700,A,Leguminosae,,Anthyllis,,"albana",var.,"macedonica","Degen & Dörfl.",Synonym,,L,TRO,100289700,60426791-2,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.","64: 17","17","1897",tro-100289809
ild-9992,A,Leguminosae,,Anthyllis,,"alpestris",,"","Rchb.",Synonym,,H,ILDIS,9992,,"","","","",ild-9137
tro-100289701,A,Leguminosae,,Anthyllis,,"alpestris",,"","(Schult.) Kit.",Accepted,,M,TRO,100289701,,"Linnaea","32: 612","612","1863",
tro-13048937,A,Leguminosae,,Anthyllis,,"alpestris",,"","Hegetschweiler-Bodmer",Synonym,,M,TRO,13048937,,"Fl. Schweiz","693","693","1839",ild-7194
ild-55328,A,Leguminosae,,Anthyllis,,"alpicola",,"","Brugger",Synonym,,H,ILDIS,55328,,"","","","",ild-9137
tro-13055977,A,Leguminosae,,Anthyllis,,"alpicola",,"","Brugg.",Synonym,,M,TRO,13055977,,"Jahresb. Nat. Ges. Graub.","29: 25","25","1886",tro-100289758
kew-2641906,A,Leguminosae,,Anthyllis,,"alpina",,"","G.Don",Unresolved,,L,WCSP (in review),,474630-1,"Hort. Brit.","283","","1830",
ild-29475,A,Leguminosae,,Anthyllis,,"arenaria",,"","(Rupr.) Juz.",Synonym,,H,ILDIS,29475,,"","","","",ild-29454
tro-100289702,A,Leguminosae,,Anthyllis,,"arenaria",var.,"fennica","(Jalas) Z.V.Klochkova",Synonym,,L,TRO,100289702,884611-1,"Novosti Sist. Vyss. Rast. (New Delhi)","14: 142","142","1977",tro-100289712
kew-2641909,A,Leguminosae,,Anthyllis,,"argentea",,"","Salisb.",Unresolved,,L,WCSP (in review),,474633-1,"Prodr. Stirp. Chap. Allerton","332","","1796",
kew-2641910,A,Leguminosae,,Anthyllis,,"argentea",,"","Desv.",Unresolved,,L,WCSP (in review),,474632-1,"Ann. Sci. Nat. (Paris)","9: 408","","1826",
ild-9995,A,Leguminosae,,Anthyllis,,"argyrophylla",,"","Rothm.",Synonym,,H,ILDIS,9995,,"","","","",ild-9138
ild-9996,A,Leguminosae,,Anthyllis,,"arundana",,"","Boiss. & Reut.",Synonym,,H,ILDIS,9996,,"","","","",ild-9139
kew-2641913,A,Leguminosae,,Anthyllis,,"aspalathi",,"","Ser.",Unresolved,,L,WCSP (in review),,,"Prodr.","2: 169","","1825",kew-2655443
kew-2606213,A,Leguminosae,,Anthyllis,,"aspalathoides",,"","L.",Unresolved,,L,WCSP (in review),,77093318-1,"Syst. Nat., ed. 10.","2: 1160","","1759",
tro-13046725,A,Leguminosae,,Anthyllis,,"asphaltoides",,"","L.",Unresolved,,L,TRO,13046725,,"Cent. Pl. II","?","","1756",
ild-10001,A,Leguminosae,,Anthyllis,,"asturiae",,"","W.Becker",Synonym,,H,ILDIS,10001,,"","","","",ild-9144
kew-2641915,A,Leguminosae,,Anthyllis,,"atropurpurea",,"","(Vuk.) Schloss. & Vuk.",Unresolved,,L,WCSP (in review),,474639-1,"Syll. Fl. Croat.","122","","1857",
ild-8579,A,Leguminosae,,Anthyllis,,"aurea",,"","Welden",Accepted,,H,ILDIS,8579,,"","","","",
kew-2641918,A,Leguminosae,,Anthyllis,,"baldensis",,"","A.Kern. ex Sagorski",Unresolved,,L,WCSP (in review),,474641-1,"Allg. Bot. Z. Syst.","14: 58","","1908",
kew-2641919,A,Leguminosae,,Anthyllis,,"balearica",,"","Coss. ex Marès & Vigin.",Unresolved,,L,WCSP (in review),,,"Cat. Pl. Vasc. Baléares","75","","1880",kew-2642116
ild-55329,A,Leguminosae,,Anthyllis,,"baltica",,"","Klotzsch",Accepted,,H,ILDIS,55329,,"","","","",
kew-2641920,A,Leguminosae,,Anthyllis,×,"baltica",,"","Juz. ex Z.V.Klochkova",Unresolved,,L,WCSP (in review),,474644-1,"Novosti Sist. Vyssh. Rast.","14: 152","","1977",
ild-7183,A,Leguminosae,,Anthyllis,,"barba-jovis",,"","L.",Accepted,,H,ILDIS,7183,,"","","","",
ild-32738,A,Leguminosae,,Anthyllis,,"barva-jovis",,"","L.",Synonym,Spelling variant,H,ILDIS,32738,,"","","","",ild-7183
kew-2641922,A,Leguminosae,,Anthyllis,,"bicephalos",,"","Gilib.",Unresolved,,L,WCSP (in review),,474646-1,"Fl. Lit. Inch.","2: 96","","1782",
kew-2641923,A,Leguminosae,,Anthyllis,,"bicolor",,"","Bertol. ex Colla",Unresolved,,L,WCSP (in review),,474649-1,"Herb. Pedem.","2: 86","","1834",
kew-2641924,A,Leguminosae,,Anthyllis,,"bicolor",,"","Bertol.",Unresolved,,L,WCSP (in review),,474647-1,"Fl. Ital.","7: 401","","1850",
kew-2641925,A,Leguminosae,,Anthyllis,,"bicolor",,"","Dalla Torre & Sarnth.",Unresolved,,L,WCSP (in review),,474648-1,"Fl. Tirol","6(2): 676","","1909",
kew-2641926,A,Leguminosae,,Anthyllis,,"bidentata",,"","Munby",Unresolved,,L,WCSP (in review),,474650-1,"Fl. Algérie Cat. Pl.","76","","1847",
ild-10009,A,Leguminosae,,Anthyllis,,"biebersteiniana",,"","Popl.",Synonym,,H,ILDIS,10009,,"","","","",ild-9148
kew-2641928,A,Leguminosae,,Anthyllis,,"biflora",,"","Sol.",Unresolved,,L,WCSP (in review),,,"Nat. Hist. Aleppo","ed. 2, 2: 259","","1794",
tro-13055988,A,Leguminosae,,Anthyllis,,"boisseri",,"","Sagorski",Unresolved,,L,TRO,13055988,474652-1,"Allg. Bot. Z. Syst.","14: 155","155","1908",
ild-9997,A,Leguminosae,,Anthyllis,,"boissieri",,"","(Sagorski) ""Grossh., p.p.""",Synonym,,H,ILDIS,9997,,"","","","",ild-9140
ild-10011,A,Leguminosae,,Anthyllis,,"bonjeanii",,"","Beck",Synonym,,H,ILDIS,10011,,"","","","",ild-9149
kew-2641930,A,Leguminosae,,Anthyllis,,"calcicola",,"","Schur",Unresolved,,L,WCSP (in review),,474653-1,"Enum. Pl. Transsilv.","150","","1866",
