ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-14409,A,Arecaceae,,Archontophoenix,,"alexandrae",,"","(F.Muell.) H.Wendl. & Drude",Accepted,,H,WCSP,14409,664083-1,"Linnaea","39: 212","","1875",
kew-316874,A,Arecaceae,,Archontophoenix,,"alexandrae",var.,"beatriceae","(F.Muell.) C.T.White ex L.H.Bailey",Synonym,,L,WCSP,316874,,"Gentes Herb.","3: 409","","1935",kew-14409
kew-14410,A,Arecaceae,,Archontophoenix,,"alexandrae",var.,"schizanthera","H.Wendl. & Drude",Synonym,,L,WCSP,14410,,"Linnaea","39: 212","","1875",kew-14409
kew-14411,A,Arecaceae,,Archontophoenix,,"beatriceae",,"","(F.Muell.) F.M.Bailey",Synonym,,H,WCSP,14411,,"Queensl. Fl.","5: 1675","","1902",kew-14409
kew-14412,A,Arecaceae,,Archontophoenix,,"cunninghamiana",,"","(H.Wendl.) H.Wendl. & Drude",Accepted,,H,WCSP,14412,,"Linnaea","39: 214","","1875",
tro-2401641,A,Arecaceae,,Archontophoenix,,"cunninghamii",,"","H. Wendl. & Drude",Unresolved,,L,TRO,2401641,664085-1,"Linnaea","39: 214","214","1875",
kew-316875,A,Arecaceae,,Archontophoenix,,"elegans",,"","(R.Br.) F.M.Bailey",Synonym,,H,WCSP,316875,,"Cat. Pl. Queensland","50","","1890",kew-170832
kew-14413,A,Arecaceae,,Archontophoenix,,"jardinei",,"","F.M.Bailey",Synonym,,H,WCSP,14413,664086-1,"Queensland Agric. J.","2: 129","","1898",kew-170832
kew-14414,A,Arecaceae,,Archontophoenix,,"maxima",,"","Dowe",Accepted,,H,WCSP,14414,979671-1,"Austrobaileya","4: 235","","1994",
kew-14415,A,Arecaceae,,Archontophoenix,,"myolensis",,"","Dowe",Accepted,,H,WCSP,14415,979672-1,"Austrobaileya","4: 237","","1994",
kew-14416,A,Arecaceae,,Archontophoenix,,"purpurea",,"","Hodel & Dowe",Accepted,,H,WCSP,14416,979673-1,"Austrobaileya","4: 238","","1994",
kew-14417,A,Arecaceae,,Archontophoenix,,"tuckeri",,"","Dowe",Accepted,,H,WCSP,14417,979674-1,"Austrobaileya","4: 240","","1994",
kew-14418,A,Arecaceae,,Archontophoenix,,"veitchii",,"","H.Wendl. & Drude",Synonym,,H,WCSP,14418,664087-1,"Linnaea","39: 214","","1875",kew-170832
