ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2647115,A,Ericaceae,,Arctostaphylos,,"acuta",,"","Nutt.",Synonym,,M,WCSP (in review),,326537-1,"Trans. Amer. Philos. Soc.","n.s., 8: 258","","1843",kew-2647230
kew-2647116,A,Ericaceae,,Arctostaphylos,,"acutifolia",,"","Eastw.",Accepted,,M,WCSP (in review),,272491-2,"Leafl. W. Bot.","3: 125","","1942",
kew-2647117,A,Ericaceae,,Arctostaphylos,,"adenotricha",,"","(Fernald & J.F.Macbr.) Á.Löve, D.Löve & B.M.Kapoor",Synonym,,M,WCSP (in review),,326539-1,"Arctic Alpine Res.","3(2): 154","","1972",kew-2647407
kew-2647118,A,Ericaceae,,Arctostaphylos,,"alpina",,"","(L.) Spreng.",Synonym,,M,WCSP (in review),,17730-2,"Syst. Veg.","2: 287","","1825",kew-2647463
kew-2647119,A,Ericaceae,,Arctostaphylos,,"alpina",,"","Payot",Synonym,Illegitimate,M,WCSP (in review),,326540-1,"Bull. Soc. Bot. France","29: 43","","1882",kew-2732287
kew-2647122,A,Ericaceae,,Arctostaphylos,,"andersonii",,"","A.Gray",Accepted,,M,WCSP (in review),,17733-2,"Proc. Amer. Acad. Arts","12: 83","","1876",
tro-12302555,A,Ericaceae,,Arctostaphylos,,"andersonii",var.,"andersonii","",Synonym,,L,TRO,12302555,,"","","","",kew-2647122
kew-2647123,A,Ericaceae,,Arctostaphylos,,"andersonii",var.,"auriculata","(Eastw.) Jeps.",Synonym,,L,WCSP (in review),,17734-2,"Madroño","1: 88","","1922",kew-2647138
kew-2647124,A,Ericaceae,,Arctostaphylos,,"andersonii",var.,"imbricata","(Eastw.) J.E.Adams ex McMinn",Synonym,,L,WCSP (in review),,17735-2,"Man. Calif. Shrubs","418","","1939",kew-2647237
kew-2647125,A,Ericaceae,,Arctostaphylos,,"andersonii",var.,"pajaroensis","J.E.Adams ex McMinn",Synonym,,L,WCSP (in review),,,"Man. Calif. Shrubs","418","","1939",kew-2647122
kew-2647126,A,Ericaceae,,Arctostaphylos,,"andersonii",var.,"pallida","(Eastw.) J.E.Adams ex McMinn",Synonym,,L,WCSP (in review),,17737-2,"Man. Calif. Shrubs","418","","1939",kew-2647305
kew-2647127,A,Ericaceae,,Arctostaphylos,,"andersonii",var.,"pechoensis","(Abrams) Jeps.",Synonym,,L,WCSP (in review),,17738-2,"Madroño","1: 89","","1922",kew-2647319
kew-2647128,A,Ericaceae,,Arctostaphylos,,"andersonii",var.,"viridissima","(Eastw.) Jeps.",Synonym,,L,WCSP (in review),,17739-2,"Fl. Calif.","3: 50","","1939",kew-2647449
kew-2647129,A,Ericaceae,,Arctostaphylos,,"angustifolia",,"","(Klotzsch) Hemsl.",Synonym,Illegitimate,M,WCSP (in review),,326543-1,"Biol. Cent.-Amer., Bot.","2: 278","","1881",kew-2732287
kew-2647130,A,Ericaceae,,Arctostaphylos,,"angustifolia",,"","Payot",Synonym,,M,WCSP (in review),,326544-1,"Fl. Mont-Blanc, Phan.","174","","1882",kew-2647407
kew-2647131,A,Ericaceae,,Arctostaphylos,,"arbutoides",,"","(Lindl.) Hemsl.",Synonym,,M,WCSP (in review),,326545-1,"Biol. Cent.-Amer., Bot.","2: 278","","1881",kew-2732253
kew-2647132,A,Ericaceae,,Arctostaphylos,,"arbutoides",var.,"costaricensis","(Small) Wilbur & Luteyn",Synonym,,L,WCSP (in review),,17740-2,"Ann. Missouri Bot. Gard.","65: 36","","1978",kew-2732254
kew-2647133,A,Ericaceae,,Arctostaphylos,,"arguta",,"","Zucc.",Synonym,,M,WCSP (in review),,326546-1,"Linnaea","12(Litt.): 86","","1838",kew-2732262
tro-12303434,A,Ericaceae,,Arctostaphylos,,"arguta",,"","(Zucc.) DC.",Synonym,,M,TRO,12303434,,"Prodr.","7: 585","585","1839",kew-2732262
kew-2647134,A,Ericaceae,,Arctostaphylos,,"arguta",var.,"diversifolia","Parry",Synonym,,L,WCSP (in review),,307416-2,"Proc. Davenport Acad. Nat. Sci.","4: 35","","1884",kew-2732266
kew-2647135,A,Ericaceae,,Arctostaphylos,,"arguta",var.,"pyrifolia","Donn.Sm. ex Loes.",Synonym,,L,WCSP (in review),,309724-2,"Bull. Herb. Boissier","II, 3: 219","","1903",kew-2732262
kew-2647136,A,Ericaceae,,Arctostaphylos,,"attenuata",,"","(Klotzsch) Hemsl.",Synonym,,L,WCSP (in review),,326547-1,"Biol. Cent.-Amer., Bot.","2: 278","","1881",kew-2732272
kew-2647137,A,Ericaceae,,Arctostaphylos,,"attenuata",var.,"brachymischa","Loes.",Synonym,,L,WCSP (in review),,310505-2,"Bull. Herb. Boissier","II, 3: 220","","1903",kew-2732272
kew-2647138,A,Ericaceae,,Arctostaphylos,,"auriculata",,"","Eastw.",Accepted,,M,WCSP (in review),,17744-2,"Bull. Torrey Bot. Club","32: 202","","1905",
kew-2647139,A,Ericaceae,,Arctostaphylos,,"australis",,"","Eastw.",Accepted,,M,WCSP (in review),,17745-2,"Leafl. W. Bot.","4: 4","","1944",
kew-2647140,A,Ericaceae,,Arctostaphylos,,"australis",var.,"sericea","W.Knight",Synonym,,L,WCSP (in review),,17746-2,"Four Seasons","7(1): 16","","1984",kew-2647139
kew-2647141,A,Ericaceae,,Arctostaphylos,,"bakeri",,"","Eastw.",Accepted,,M,WCSP (in review),,17747-2,"Leafl. W. Bot.","1: 115","","1934",
tro-50074067,A,Ericaceae,,Arctostaphylos,,"bakeri",subsp.,"bakeri","",Synonym,,L,TRO,50074067,,"","","","1988",kew-2647141
kew-2647143,A,Ericaceae,,Arctostaphylos,×,"benitoensis",,"","Roof",Accepted,,M,WCSP (in review),,17748-2,"Four Seasons","5(4): 5","","1978",
kew-2647144,A,Ericaceae,,Arctostaphylos,,"bicolor",,"","(Nutt.) A.Gray",Unresolved,,L,WCSP (in review),,326552-1,"Proc. Amer. Acad. Arts","7: 366","","1868",
kew-2647145,A,Ericaceae,,Arctostaphylos,,"bolensis",,"","P.V.Wells",Accepted,,M,WCSP (in review),,318624-2,"Four Seasons","9: 50","","1992",
kew-2647146,A,Ericaceae,,Arctostaphylos,,"bowermaniae",,"","Roof",Synonym,,M,WCSP (in review),,17749-2,"Four Seasons","5(4): 15","","1978",kew-2647257
kew-2647147,A,Ericaceae,,Arctostaphylos,×,"bracteata",,"","Howell",Synonym,,M,WCSP (in review),,17750-2,"Fl. N. W. Amer.","1: 417","","1901",kew-2647163
tro-50311011,A,Ericaceae,,Arctostaphylos,,"bracteata",,"","Howell",Synonym,,M,TRO,50311011,,"Fl. N.W. Amer.","4: 417","417","1901",tro-50325845
kew-2647148,A,Ericaceae,,Arctostaphylos,,"bracteosa",,"","(DC.) Abrams",Synonym,,M,WCSP (in review),,17751-2,"Leafl. W. Bot.","1: 84","","1934",kew-2647388
kew-2647149,A,Ericaceae,,Arctostaphylos,,"bracteosa",var.,"hebeclada","(DC.) Eastw.",Synonym,,L,WCSP (in review),,17752-2,"Leafl. W. Bot.","1: 122","","1934",kew-2647388
kew-2647150,A,Ericaceae,,Arctostaphylos,,"caeciliana",,"","Loes.",Synonym,,M,WCSP (in review),,310268-2,"Bull. Herb. Boissier","2: 553","","1894",kew-2732287
