ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2654547,A,Apocynaceae,,Asclepias,,"abyssinica",,"","(Decne.) N.E.Br.",Synonym,,M,WCSP (in review),,94058-1,"Fl. Trop. Afr.","4(1): 333","","1902",kew-2828733
kew-2654548,A,Apocynaceae,,Asclepias,,"acanthocarpus",,"","J.F.Gmel. ex Decne.",Synonym,,L,WCSP (in review),,94059-1,"Prodr.","8: 571","","1844",kew-2830061
kew-2654549,A,Apocynaceae,,Asclepias,,"acerateoides",,"","(Schltr.) Schltr.",Unresolved,,L,WCSP (in review),,94060-1,"J. Bot.","34: 454","","1896",tro-2606240
kew-2654550,A,Apocynaceae,,Asclepias,,"aceratoides",,"","M.A.Curtis",Unresolved,,L,WCSP (in review),,,"Amer. J. Sci. Arts","II, 7: 4407","","1849",
kew-2654551,A,Apocynaceae,,Asclepias,,"acida",,"","Roxb.",Unresolved,,L,WCSP (in review),,,"Fl. Ind. ed. 1832","2: 31","","1832",
kew-2654552,A,Apocynaceae,,Asclepias,,"acornuta",,"","Kellogg",Unresolved,,L,WCSP (in review),,94065-1,"Proc. Calif. Acad. Sci.","1: 54","","1855",
kew-2654553,A,Apocynaceae,,Asclepias,,"acuminata",,"","Pursh",Synonym,,M,WCSP (in review),,94068-1,"Fl. Amer. Sept.","1: 182","","1813",kew-2655149
kew-2654554,A,Apocynaceae,,Asclepias,,"acuminata",,"","Willd. ex Schult.",Synonym,,L,WCSP (in review),,94067-1,"Syst. Veg.","6: 82","","1820",kew-2654885
kew-2654555,A,Apocynaceae,,Asclepias,,"acuminata",,"","(Wall.) Roxb.",Synonym,Illegitimate,M,WCSP (in review),,94066-1,"Fl. Ind. ed. 1832","2: 55","","1832",kew-2835370
kew-2654556,A,Apocynaceae,,Asclepias,,"adscendens",,"","(Schltr.) Schltr.",Accepted,,M,WCSP (in review),,94069-1,"J. Bot.","34: 455","","1896",
kew-2654557,A,Apocynaceae,,Asclepias,×,"aequicornu",,"","E.Fourn.",Accepted,,M,WCSP (in review),,94070-1,"Fl. Bras.","6(4): 201","","1885",
kew-2654558,A,Apocynaceae,,Asclepias,,"affinis",,"","(Schltr.) Schltr.",Accepted,,M,WCSP (in review),,94071-1,"J. Bot.","34: 455","","1896",
kew-2654559,A,Apocynaceae,,Asclepias,,"affinis",,"","De Wild.",Synonym,Illegitimate,M,WCSP (in review),,94072-1,"Ann. Mus. Congo Belge, Bot.","V, 1: 184","","1904",kew-2654636
kew-2654560,A,Apocynaceae,,Asclepias,,"ageratoides",,"","M.A.Curtis",Accepted,,M,WCSP (in review),,,"Amer. J. Sci. Arts","II, 7: 407","","1849",
tro-50332069,A,Apocynaceae,,Asclepias,,"alatas",,"","Schltr.",Unresolved,,L,TRO,50332069,,"","","","",
kew-2654561,A,Apocynaceae,,Asclepias,,"alba",,"","Mill.",Synonym,,M,WCSP (in review),,,"Gard. Dict. ed. 8","1","","1768",kew-2456889
kew-2654562,A,Apocynaceae,,Asclepias,,"alba",,"","Cav.",Unresolved,Illegitimate,L,WCSP (in review),,94074-1,"Icon.","4: 5","","1797",
kew-2654563,A,Apocynaceae,,Asclepias,,"albens",,"","(E.Mey.) Schltr.",Accepted,,M,WCSP (in review),,94076-1,"Bot. Jahrb. Syst.","21(54): 5","","1896",
kew-2654564,A,Apocynaceae,,Asclepias,,"albicans",,"","S.Watson",Accepted,,M,WCSP (in review),,21135-2,"Proc. Amer. Acad. Arts","24: 59","","1889",
kew-2654565,A,Apocynaceae,,Asclepias,,"albida",,"","N.E.Br.",Synonym,,M,WCSP (in review),,94078-1,"Bull. Misc. Inform. Kew","1895: 254","","1895",kew-2828857
kew-2654566,A,Apocynaceae,,Asclepias,,"albiflora",,"","Raf.",Synonym,,M,WCSP (in review),,94079-1,"New Fl.","4: 62","","1838",kew-2654856
kew-2654567,A,Apocynaceae,,Asclepias,,"alboaurantiaca",,"","Jacq.",Synonym,,M,WCSP (in review),,94080-1,"Fragm. Bot.","86","","1809",kew-2655003
