ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-19120,A,Arecaceae,,Bacularia,,"aequisegmentosa",,"","Domin",Synonym,,H,WCSP,19120,664790-1,"Biblioth. Bot.","85: 500","","1915",kew-112596
kew-19121,A,Arecaceae,,Bacularia,,"albertisiana",,"","Becc.",Synonym,,H,WCSP,19121,664791-1,"Malesia","3: 108","","1886",kew-112572
kew-19122,A,Arecaceae,,Bacularia,,"angustisecta",,"","Becc.",Synonym,,H,WCSP,19122,,"Webbia","1: 294","","1905",kew-112572
kew-19123,A,Arecaceae,,Bacularia,,"arfakiana",,"","(Becc.) F.Muell.",Synonym,,H,WCSP,19123,664793-1,"Fragm.","11: 58","","1878",kew-32659
kew-19124,A,Arecaceae,,Bacularia,,"canina",,"","Becc.",Synonym,,H,WCSP,19124,664794-1,"Nova Guinea","8: 209","","1909",kew-112576
kew-19125,A,Arecaceae,,Bacularia,,"flabellata",,"","(Becc.) F.Muell.",Synonym,,H,WCSP,19125,,"Fragm.","11: 58","","1978",kew-32667
kew-19126,A,Arecaceae,,Bacularia,,"intermedia",,"","C.T.White",Synonym,,H,WCSP,19126,664796-1,"Proc. Roy. Soc. Queensland","47: 83","","1935 publ. 1936",kew-112592
kew-19127,A,Arecaceae,,Bacularia,,"longicruris",,"","Becc.",Synonym,,H,WCSP,19127,664797-1,"Bot. Jahrb. Syst.","52: 35","","1914",kew-112572
kew-19128,A,Arecaceae,,Bacularia,,"microcarya",,"","Domin",Synonym,,H,WCSP,19128,664798-1,"Biblioth. Bot.","85: 499","","1915",kew-112590
kew-19129,A,Arecaceae,,Bacularia,,"minor",,"","(W.Hill) F.Muell.",Synonym,,H,WCSP,19129,664799-1,"Fragm.","11: 58","","1878",kew-112592
kew-19130,A,Arecaceae,,Bacularia,,"monostachya",,"","(Mart.) F.Muell.",Synonym,,H,WCSP,19130,,"Fragm.","7: 103","","1870",kew-112593
kew-19131,A,Arecaceae,,Bacularia,,"palmeriana",,"","F.M.Bailey",Synonym,,H,WCSP,19131,664801-1,"Rep. Exped. Bellenden-Ker","61","","1889",kew-112596
kew-19132,A,Arecaceae,,Bacularia,,"sessilifolia",,"","Becc.",Synonym,,H,WCSP,19132,664802-1,"Atti Soc. Tosc. Sci. Nat. Pisa, Mem.","44: 133","","1934",kew-112590
kew-316876,A,Arecaceae,,Bacularia,,"sessilifolia",var.,"multisecta","Becc. ex Martelli",Synonym,,L,WCSP,316876,,"Nuovo Giorn. Bot. Ital.","n.s., 42: 30","","1935",kew-112590
