ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35214350,B,Balantiopsaceae,,Balantiopsis,,"aequifolia",,"","Mitt.",Synonym,,M,TRO,35214350,,"Rep. Challenger, Bot.","1(3): 87","87","1884",tro-35204175
tro-35214336,B,Balantiopsaceae,,Balantiopsis,,"aequiloba",,"","Berggr.",Synonym,,M,TRO,35214336,,"New Zealand Hepat.","1: 46. f. 3: h–o","46","1898",tro-35214335
tro-35214342,B,Balantiopsaceae,,Balantiopsis,,"angustifolia",,"","Stephani",Synonym,,M,TRO,35214342,,"Sp. Hepat.","4: 104","104","1910",tro-35200955
tro-35208236,B,Balantiopsaceae,,Balantiopsis,,"asymmetrica",,"","(Herzog) J.J. Engel",Accepted,,M,TRO,35208236,,"Nova Hedwigia","16: 93","93","1968",
tro-35190209,B,Balantiopsaceae,,Balantiopsis,,"bisbifida",,"","(Stephani) Stephani",Accepted,,M,TRO,35190209,,"Sp. Hepat.","4: 101","101","1910",
tro-35208678,B,Balantiopsaceae,,Balantiopsis,,"brasiliensis",,"","Stephani",Accepted,,M,TRO,35208678,,"Sp. Hepat.","4: 104","104","1910",
tro-35214351,B,Balantiopsaceae,,Balantiopsis,,"brotheri",,"","Stephani",Synonym,,M,TRO,35214351,,"Sp. Hepat.","4: 107","107","1910",tro-35207707
tro-35214354,B,Balantiopsaceae,,Balantiopsis,,"caledonica",,"","Stephani",Synonym,,M,TRO,35214354,,"Sp. Hepat.","6: 497","497","1924",tro-35207707
tro-35204175,B,Balantiopsaceae,,Balantiopsis,,"cancellata",,"","(Nees) Stephani",Accepted,,M,TRO,35204175,,"Hedwigia","32: 145","145","1899",
tro-35214349,B,Balantiopsaceae,,Balantiopsis,,"chilensis",,"","Herzog",Synonym,,M,TRO,35214349,,"Hedwigia","32: 145","145","1893",tro-35204175
tro-35214337,B,Balantiopsaceae,,Balantiopsis,,"ciliaris",,"","S. Hatt.",Accepted,,M,TRO,35214337,,"J. Jap. Bot.","41: 129. f. 1–2","129","1966",
tro-35214335,B,Balantiopsaceae,,Balantiopsis,,"convexiuscula",,"","Berggr.",Accepted,,M,TRO,35214335,,"New Zealand Hepat.","1: 44. f. 29","44","1898",
tro-35214355,B,Balantiopsaceae,,Balantiopsis,,"corticola",,"","Stephani",Synonym,,M,TRO,35214355,,"Sp. Hepat.","6: 498","498","1924",tro-35207707
tro-35208735,B,Balantiopsaceae,,Balantiopsis,,"crocea",,"","Herzog",Accepted,,M,TRO,35208735,,"Beih. Bot. Centralbl., Abt. 2","60: 12","12","1939",
tro-35214352,B,Balantiopsaceae,,Balantiopsis,,"decurrens",,"","Stephani",Synonym,,M,TRO,35214352,,"J. & Proc. Roy. Soc. New South Wales","48: 98","98","1914",tro-35207707
tro-35207707,B,Balantiopsaceae,,Balantiopsis,,"diplophylla",,"","(Hook. f. & Taylor) Mitt.",Accepted,,M,TRO,35207707,,"Rep. Challenger, Bot.","1(3): 87","87","1855",
tro-35214332,B,Balantiopsaceae,,Balantiopsis,,"diplophylla",var.,"diplophylla","",Synonym,,L,TRO,35214332,,"","","","",tro-35207707
