ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2675156,A,Brassicaceae,,Berteroa,,"ascendens",,"","K.Koch",Synonym,,M,WCSP (in review),,278921-1,"Linnaea","15: 257","","1841",kew-2675161
kew-2675157,A,Brassicaceae,,Berteroa,,"gintlii",,"","Rohlena",Accepted,,M,WCSP (in review),,278922-1,"Magyar Bot. Lapok","3: 232","","1904",
kew-2675158,A,Brassicaceae,,Berteroa,,"graeca",,"","Boiss. & Heldr.",Synonym,,M,WCSP (in review),,278923-1,"Diagn. Pl. Orient.","II, 1: 35","","1854",kew-2675162
kew-2675159,A,Brassicaceae,,Berteroa,,"incana",,"","(L.) DC.",Accepted,,M,WCSP (in review),,278924-1,"Syst. Nat.","2: 291","","1821",
tro-100361321,A,Brassicaceae,,Berteroa,,"incana",var.,"bulgarica","Degen & Urum.",Synonym,,L,TRO,100361321,,"Magyar Bot. Lapok","10: 111.","111.","1911",kew-2675159
tro-50194734,A,Brassicaceae,,Berteroa,,"incana",subsp.,"stricta","Stoj. & Stef.",Synonym,,L,TRO,50194734,,"","","","",kew-2675159
tro-100361314,A,Brassicaceae,,Berteroa,,"incana",var.,"trichocarpa","Rohlena",Synonym,,L,TRO,100361314,,"Magyar Bot. Lapok","6: 51.","51.","1907",kew-2675159
kew-2675160,A,Brassicaceae,,Berteroa,,"macrocarpa",,"","Ikonn.-Gal.",Unresolved,,L,WCSP (in review),,278925-1,"Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast.","3: 189","","1937",kew-2816452
tro-100360944,A,Brassicaceae,,Berteroa,,"moesiaca",,"","Velen.",Synonym,,M,TRO,100360944,,"Fl. Bulg.","1: 23.","23.","1898",kew-2675162
kew-2675161,A,Brassicaceae,,Berteroa,,"mutabilis",,"","(Vent.) DC.",Accepted,,M,WCSP (in review),,278926-1,"Syst. Nat.","2: 292","","1821",
kew-2675162,A,Brassicaceae,,Berteroa,,"obliqua",,"","(Sm.) DC.",Accepted,,M,WCSP (in review),,278927-1,"Syst. Nat.","2: 292","","1821",
kew-2675163,A,Brassicaceae,,Berteroa,,"obliqua",subsp.,"pindicola","(Halácsy) Kit Tan",Accepted,,L,WCSP (in review),,20011106-1,"in Fl. Hellenica","2: 226","","2002",
tro-100361873,A,Brassicaceae,,Berteroa,,"obliqua",var.,"pindicola","(Halácsy) Contandr. & Quézel",Synonym,,L,TRO,100361873,,"Candollea","20: 59.","59.","1965",kew-2675162
kew-2675164,A,Brassicaceae,,Berteroa,,"orbiculata",,"","DC.",Accepted,,M,WCSP (in review),,278928-1,"Syst. Nat.","2: 293","","1821",
kew-2675165,A,Brassicaceae,,Berteroa,,"peruviana",,"","DC.",Synonym,,M,WCSP (in review),,278929-1,"Syst. Nat.","2: 293","","1821",kew-2777191
kew-2675166,A,Brassicaceae,,Berteroa,,"potaninii",,"","Maxim.",Unresolved,,L,WCSP (in review),,278930-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","III, 26: 422","","1880",kew-2816453
kew-2675168,A,Brassicaceae,,Berteroa,,"procumbens",,"","Port.",Synonym,,M,WCSP (in review),,278931-1,"Enum. Pl. Dalmatia","15","","1824",kew-2675161
kew-2675169,A,Brassicaceae,,Berteroa,,"samolifolia",,"","(Desf.) Hayek",Unresolved,,L,WCSP (in review),,278932-1,"Repert. Spec. Nov. Regni Veg. Beih.","30(1): 427","","1925",
kew-2675170,A,Brassicaceae,,Berteroa,,"spathulata",,"","(Stephan ex Willd.) C.A.Mey.",Synonym,,M,WCSP (in review),,278933-1,"Fl. Altaic.","3: 48","","1831",kew-2816454
kew-2675171,A,Brassicaceae,,Berteroa,,"stricta",,"","Boiss.",Synonym,,M,WCSP (in review),,278934-1,"Diagn. Pl. Orient.","II, 1: 35","","1854",kew-2675159
kew-2675172,A,Brassicaceae,,Berteroa,,"stricta",var.,"pindicola","Halácsy",Synonym,,L,WCSP (in review),,,"Consp. Fl. Graec.","1: 86","","1900",kew-2675163
kew-2675173,A,Brassicaceae,,Berteroa,,"thessala",,"","Heldr. ex Nyman",Synonym,,M,WCSP (in review),,278935-1,"Consp. Fl. Eur.","51","","1878",kew-2675164
kew-2675174,A,Brassicaceae,,Berteroa,,"viridis",,"","Tausch",Synonym,,M,WCSP (in review),,278936-1,"Syll. Ratisb.","2: 245","","1828",kew-2675159
