ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-363463,A,Oleaceae,,Bigelovia,,"acuminata",,"","(Michx.) Sm.",Synonym,,H,WCSP,363463,608633-1,"Cycl.","39: s.p.","","1819",kew-369346
kew-22111,A,Rubiaceae,,Bigelovia,,"angustifolia",,"","Span.",Synonym,,H,WCSP,22111,744504-1,"Linnaea","15: 320","","1841",kew-193382
kew-4675878,A,Salicaceae,,Bigelovia,,"brasiliensis",,"","Spreng.",Synonym,,M,WCSP (in review),,779420-1,"Neue Entdeck. Pflanzenk.","2: 150","","1821",kew-4702282
kew-363464,A,Oleaceae,,Bigelovia,,"cassinoides",,"","(Willd.) Sm.",Synonym,,H,WCSP,363464,608634-1,"Cycl.","39: s.p.","","1819",kew-369393
kew-22112,A,Rubiaceae,,Bigelovia,,"commutata",,"","Spreng.",Synonym,,H,WCSP,22112,744505-1,"Syst. Veg.","1: 404","","1824",kew-346708
kew-22113,A,Rubiaceae,,Bigelovia,,"cornifolia",,"","Heynh.",Synonym,,H,WCSP,22113,744506-1,"Nom. Bot. Hort.","121","","1840",kew-193449
kew-22114,A,Rubiaceae,,Bigelovia,,"discolor",,"","Bartl. ex DC.",Synonym,Invalid,H,WCSP,22114,744508-1,"Prodr.","4: 545","","1830",kew-193694
kew-22115,A,Rubiaceae,,Bigelovia,,"distans",,"","(Kunth) Hook. & Arn.",Synonym,,H,WCSP,22115,744509-1,"Bot. Beechey Voy.","295","","1838",kew-332572
kew-22116,A,Rubiaceae,,Bigelovia,,"elata",,"","Bartl. ex DC.",Synonym,Invalid,H,WCSP,22116,,"Prodr.","4: 544","","1830",kew-193377
kew-22117,A,Rubiaceae,,Bigelovia,,"eryngioides",,"","(Cham. & Schltdl.) Hook. & Arn.",Synonym,,H,WCSP,22117,744511-1,"Bot. Misc.","3: 360","","1833",kew-193535
kew-22118,A,Rubiaceae,,Bigelovia,,"gracilis",,"","Miq.",Unresolved,,L,WCSP,22118,744512-1,"Verh. Nederl. Inst.","3(5): 13","","1852",
kew-22119,A,Rubiaceae,,Bigelovia,,"gracilis",,"","Spreng.",Synonym,,H,WCSP,22119,744513-1,"Syst. Veg.","1: 404","","1824",kew-193742
kew-22120,A,Rubiaceae,,Bigelovia,,"kleinii",,"","Wight & Arn.",Synonym,,H,WCSP,22120,744514-1,"Prodr. Fl. Ind. Orient.","437","","1834",kew-138815
kew-22121,A,Rubiaceae,,Bigelovia,,"laevicaulis",,"","Miq.",Synonym,,H,WCSP,22121,744515-1,"Fl. Ned. Ind.","2: 335","","1857",kew-193742
kew-22122,A,Rubiaceae,,Bigelovia,,"lasiocarpa",,"","Wight & Arn.",Synonym,,H,WCSP,22122,744516-1,"Prodr. Fl. Ind. Orient.","437","","1834",kew-138815
kew-363465,A,Oleaceae,,Bigelovia,,"ligustrina",,"","(Michx.) Sm.",Synonym,,H,WCSP,363465,608635-1,"Cycl.","39: s.p.","","1819",kew-369367
kew-22123,A,Rubiaceae,,Bigelovia,,"linearis",,"","Spreng.",Synonym,,H,WCSP,22123,744517-1,"Syst. Veg.","1: 405","","1824",kew-193668
kew-22124,A,Rubiaceae,,Bigelovia,,"linifolia",,"","(Vahl) Spreng.",Synonym,,H,WCSP,22124,744518-1,"Syst. Veg.","1: 404","","1824",kew-193908
kew-22125,A,Rubiaceae,,Bigelovia,,"mitracarpoides",,"","Miq.",Synonym,,H,WCSP,22125,744519-1,"Fl. Ned. Ind.","2: 334","","1857",kew-138815
kew-22126,A,Rubiaceae,,Bigelovia,,"myriantha",,"","Miq.",Synonym,,H,WCSP,22126,744520-1,"Fl. Ned. Ind.","2: 334","","1857",kew-138815
kew-22127,A,Rubiaceae,,Bigelovia,,"ocymoides",,"","(Burm.f.) Miq.",Synonym,,H,WCSP,22127,744521-1,"Fl. Ned. Ind.","2: 335","","1857",kew-193742
kew-22128,A,Rubiaceae,,Bigelovia,,"parviflora",,"","Spreng.",Synonym,,H,WCSP,22128,744523-1,"Syst. Veg.","1: 405","","1824",kew-193742
kew-363466,A,Oleaceae,,Bigelovia,,"porulosa",,"","(Michx.) Sm.",Synonym,,H,WCSP,363466,608636-1,"Cycl.","39: s.p.","","1819",kew-369393
kew-22129,A,Rubiaceae,,Bigelovia,,"pumila",,"","Span.",Synonym,,H,WCSP,22129,744525-1,"Linnaea","15: 320","","1841",kew-193797
kew-22130,A,Rubiaceae,,Bigelovia,,"pusilla",,"","(Wall.) Spreng.",Synonym,,H,WCSP,22130,744526-1,"Syst. Veg.","1: 405","","1824",kew-193800
kew-22131,A,Rubiaceae,,Bigelovia,,"ramulosa",,"","Mart. ex Colla",Unresolved,,L,WCSP,22131,744527-1,"Herb. Pedem.","3: 147","","1835",
kew-22132,A,Rubiaceae,,Bigelovia,,"roxburghiana",,"","Wight & Arn.",Synonym,,H,WCSP,22132,744528-1,"Prodr. Fl. Ind. Orient.","437","","1834",kew-138815
kew-22133,A,Rubiaceae,,Bigelovia,,"rubescens",,"","Colla",Unresolved,,L,WCSP,22133,744530-1,"Herb. Pedem.","3: 147","","1835",
kew-22134,A,Rubiaceae,,Bigelovia,,"setidens",,"","Miq.",Synonym,,H,WCSP,22134,744531-1,"Fl. Ned. Ind.","2: 336","","1857",kew-193857
kew-274148,A,Rubiaceae,,Bigelovia,,"setidens",var.,"linearifolia","Miq.",Synonym,,L,WCSP,274148,,"Fl. Ned. Ind.","2: 336","","1857",kew-193857
kew-274147,A,Rubiaceae,,Bigelovia,,"setidens",var.,"minor","Miq.",Synonym,,L,WCSP,274147,,"Fl. Ned. Ind.","2: 336","","1857",kew-193857
kew-22135,A,Rubiaceae,,Bigelovia,,"sociata",,"","Span.",Synonym,,H,WCSP,22135,744532-1,"Linnaea","15: 320","","1841",kew-193866
kew-22136,A,Rubiaceae,,Bigelovia,,"striata",,"","Span.",Synonym,,H,WCSP,22136,744533-1,"Linnaea","15: 321","","1841",kew-138815
kew-22137,A,Rubiaceae,,Bigelovia,,"stricta",,"","(L.f.) Blume",Synonym,,H,WCSP,22137,744534-1,"Bijdr.","945","","1826",kew-138815
kew-22138,A,Rubiaceae,,Bigelovia,,"suaveolens",,"","(G.Mey.) Spreng.",Synonym,,H,WCSP,22138,744535-1,"Syst. Veg.","1: 404","","1824",kew-193890
kew-22139,A,Rubiaceae,,Bigelovia,,"tenera",,"","(R.Br. ex G.Don) Heynh.",Synonym,,H,WCSP,22139,744536-1,"Nom. Bot. Hort.","122","","1840",kew-193742
kew-22140,A,Rubiaceae,,Bigelovia,,"tenuis",,"","Heynh.",Synonym,,H,WCSP,22140,744537-1,"Nom. Bot. Hort.","122","","1840",kew-193890
kew-22141,A,Rubiaceae,,Bigelovia,,"umbellata",,"","(Spreng.) Spreng.",Synonym,,H,WCSP,22141,744538-1,"Syst. Veg.","1: 405","","1824",kew-66896
kew-22142,A,Rubiaceae,,Bigelovia,,"vaginata",,"","(Willd. ex Roem. & Schult.) Spreng.",Synonym,,H,WCSP,22142,744539-1,"Syst. Veg.","1: 405","","1824",kew-193816
kew-22143,A,Rubiaceae,,Bigelovia,,"verticillata",,"","(L.) Spreng.",Synonym,,H,WCSP,22143,744540-1,"Syst. Veg.","1: 404","","1824",kew-193935
kew-22144,A,Rubiaceae,,Bigelovia,,"zollingeriana",,"","Miq.",Synonym,,H,WCSP,22144,744541-1,"Fl. Ned. Ind.","2: 336","","1857",kew-193948
