ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2680387,A,Rutaceae,,Bosistoa,,"brassii",,"","T.G.Hartley",Accepted,,M,WCSP (in review),,771720-1,"J. Arnold Arbor.","58: 433","","1977",
kew-2680389,A,Rutaceae,,Bosistoa,,"connaricarpa",,"","Domin",Unresolved,,L,WCSP (in review),,771721-1,"Repert. Spec. Nov. Regni Veg.","12: 390","","1913",kew-2680395
kew-2680390,A,Rutaceae,,Bosistoa,,"euodiformis",,"","F.Muell.",Synonym,,M,WCSP (in review),,771722-1,"Fragm.","9: 174","","1875",kew-2619952
kew-2680391,A,Rutaceae,,Bosistoa,,"floydii",,"","T.G.Hartley",Accepted,,M,WCSP (in review),,771723-1,"J. Arnold Arbor.","58: 428","","1977",
kew-2680392,A,Rutaceae,,Bosistoa,,"medicinalis",,"","(F.Muell.) T.G.Hartley",Accepted,,M,WCSP (in review),,771724-1,"J. Arnold Arbor.","58: 431","","1977",
kew-2680393,A,Rutaceae,,Bosistoa,,"monostylis",,"","(Bailey) T.G.Hartley",Accepted,,M,WCSP (in review),,771725-1,"J. Arnold Arbor.","58: 430","","1977",
kew-2680394,A,Rutaceae,,Bosistoa,,"pentacocca",,"","(F.Muell.) Baill.",Accepted,,M,WCSP (in review),,771726-1,"Hist. Pl.","4: 470","","1873",
kew-2680395,A,Rutaceae,,Bosistoa,,"pentacocca",var.,"connaricarpa","(Domin) T.G.Hartley",Accepted,,L,WCSP (in review),,890748-1,"J. Arnold Arbor.","58: 424","","1977",
kew-2680397,A,Rutaceae,,Bosistoa,,"sapindiformis",,"","F.Muell. ex Benth.",Synonym,Invalid,M,WCSP (in review),,771727-1,"Fl. Austral.","1: 359","","1863",kew-2680394
kew-2680398,A,Rutaceae,,Bosistoa,,"selwynii",,"","T.G.Hartley",Accepted,,M,WCSP (in review),,771728-1,"J. Arnold Arbor.","58: 428","","1977",
kew-2680399,A,Rutaceae,,Bosistoa,,"transversa",,"","J.F.Bailey & C.T.White",Accepted,,M,WCSP (in review),,771729-1,"Queensland Dep. Agric. Bot. Bull.","19: 6","","1917",
