ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-26610819,P,Ophioglossaceae,,Botrychium,,"acuminatum",,"","W.H. Wagner",Accepted,,M,TRO,26610819,273430-2,"Contr. Univ. Michigan Herb.","17: 321","321","1990",
tro-26602170,P,Ophioglossaceae,,Botrychium,,"alabamense",,"","Maxon",Synonym,,M,TRO,26602170,35224-2,"Proc. Biol. Soc. Wash.","19(5): 23–24","23","1906",tro-26602175
tro-100367914,P,Ophioglossaceae,,Botrychium,,"alaskense",,"","W.H. Wagner & J.R. Grant",Unresolved,,L,TRO,100367914,324229-2,"Amer. Fern J.","92(2): 166–165, fig. 1, 2","166","2002",
tro-26605094,P,Ophioglossaceae,,Botrychium,,"angustisegmentum",,"","(Pease & A.H. Moore) Fernald",Synonym,,M,TRO,26605094,35225-2,"Rhodora","17(196): 87","87","1915",tro-26602177
ifn-35865,P,Ophioglossaceae,,Botrychium,,"anthemoides",,"","C.Presl",Unresolved,,L,IPNI,17060930-1,17060930-1,"Abh. Boehm. Ges. Wiss.","V. 5. 323. 1848","","1848",
tro-26623400,P,Ophioglossaceae,,Botrychium,,"arisanense",,"","Masam.",Unresolved,,L,TRO,26623400,,"Short Fl. Form","1","1","1936",
tro-26604467,P,Ophioglossaceae,,Botrychium,,"ascendens",,"","W.H. Wagner",Accepted,,M,TRO,26604467,273431-2,"Amer. Fern J.","76(2): 36, f. 1, 2","36","1986",
ifn-35867,P,Ophioglossaceae,,Botrychium,,"atrovirens",,"","M.Kato",Unresolved,,L,IPNI,17566710-1,17566710-1,"Fl. Jap. (Iwatsuki et al., eds.)","1: 26","","1995",
tro-26605576,P,Ophioglossaceae,,Botrychium,,"australe",,"","R. Br.",Accepted,,M,TRO,26605576,35226-2,"","","","",
tro-26605577,P,Ophioglossaceae,,Botrychium,,"australe",subsp.,"negeri","(Christ) R.T. Clausen",Accepted,,L,TRO,26605577,35227-2,"Mem. Torrey Bot. Club","19(2): 40","40","1938",
ifn-35871,P,Ophioglossaceae,,Botrychium,,"baeckeanum",,"","Brockmuller",Unresolved,,L,IPNI,17060950-1,17060950-1,"Arch. Ver. Fr. Nat. Mecklb.","1863. 170","","1863",
ifn-35872,P,Ophioglossaceae,,Botrychium,,"biforme",,"","Colenso",Unresolved,,L,IPNI,17060960-1,17060960-1,"Trans. New Zealand Inst.","18. 223. 1886","","1886",
tro-26602171,P,Ophioglossaceae,,Botrychium,,"biternatum",,"","(Savigny) Underw.",Accepted,,M,TRO,26602171,35230-2,"Bot. Gaz.","22(5): 407","407","1896",
tro-26602172,P,Ophioglossaceae,,Botrychium,,"boreale",,"","J. Milde",Accepted,,M,TRO,26602172,,"Bot. Zeitung (Berlin)","15: 880","880","1857",
tro-26605355,P,Ophioglossaceae,,Botrychium,,"boreale",var.,"boreale","",Synonym,,L,TRO,26605355,,"","","","",tro-26602172
tro-26603070,P,Ophioglossaceae,,Botrychium,,"boreale",subsp.,"obtusilobum","(Rupr.) R.T. Clausen",Synonym,,L,TRO,26603070,35231-2,"Mem. Torrey Bot. Club","19(2): 81","81","1938",tro-26603632
ifn-36165,P,Ophioglossaceae,,Botrychium,,"boreale x lunaria",,"","Holmberg",Unresolved,,L,IPNI,17308900-1,17308900-1,"Skandinaviens Flora","33. 1922.","","1922",
tro-26608303,P,Ophioglossaceae,,Botrychium,,"brachystachys",,"","Kunze",Synonym,,M,TRO,26608303,17060990-1,"Linnaea","18: 305","305","1844",tro-26602189
ifn-35879,P,Ophioglossaceae,,Botrychium,,"brevifolium",,"","Ångstr.",Unresolved,,L,IPNI,17061000-1,17061000-1,"Bot. Not.","1866: 40","","1866",
ifn-35880,P,Ophioglossaceae,,Botrychium,,"breynii",,"","Fr.",Unresolved,,L,IPNI,17061010-1,17061010-1,"Summ. Veg.","1. 252. 1845","","1845",
tro-26604599,P,Ophioglossaceae,,Botrychium,,"californicum",,"","Underw.",Synonym,,M,TRO,26604599,35234-2,"Torreya","5(6): 107","107","1905",tro-26610816
tro-26604468,P,Ophioglossaceae,,Botrychium,,"campestre",,"","W.H. Wagner & Farrar",Accepted,,M,TRO,26604468,273432-2,"Amer. Fern J.","76(2): 39, f. 2, 4, 5","39","1986",
tro-26605833,P,Ophioglossaceae,,Botrychium,,"chamaeconium",,"","Bitter & Hieron.",Accepted,,M,TRO,26605833,17061020-1,"Nat. Pflanzenfam.","1(4): 471","471","1900",
tro-26613476,P,Ophioglossaceae,,Botrychium,,"charcoviense",,"","Port.",Synonym,,M,TRO,26613476,,"","","","",tro-26602189
