ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2681841,A,Aristolochiaceae,,Bragantia,,"affinis",,"","Planch. ex Rolfe",Synonym,,L,WCSP (in review),,93599-1,"Bull. Misc. Inform. Kew","1913: 265","","1913",kew-2438229
kew-2681842,A,Aristolochiaceae,,Bragantia,,"blumei",,"","Lindl.",Synonym,Illegitimate,L,WCSP (in review),,,"Edwards's Bot. Reg.","18: t. 1543","","1832",kew-2438229
kew-2681843,A,Aristolochiaceae,,Bragantia,,"brevipes",,"","Merr.",Synonym,,L,WCSP (in review),,93600-1,"Philipp. J. Sci.","17: 248","","1920 publ. 1921",kew-2438229
kew-2681844,A,Aristolochiaceae,,Bragantia,,"corymbosa",,"","Griff.",Synonym,,L,WCSP (in review),,93601-1,"Trans. Linn. Soc. London","19: 335","","1845",kew-2438193
kew-2681845,A,Aristolochiaceae,,Bragantia,,"dalzellii",,"","Hook.f.",Unresolved,,L,WCSP (in review),,93602-1,"Fl. Brit. India","5: 73","","1886",kew-2899055
kew-2681846,A,Aristolochiaceae,,Bragantia,,"hispida",,"","Thwaites ex Duch.",Synonym,,L,WCSP (in review),,93603-1,"Prodr.","15(1): 430","","1864",kew-2681854
kew-2681847,A,Aristolochiaceae,,Bragantia,,"khasiyana",,"","Griff.",Synonym,,L,WCSP (in review),,93604-1,"Trans. Linn. Soc. London","19: 336","","1845",kew-2438229
kew-2681848,A,Aristolochiaceae,,Bragantia,,"latifolia",,"","Lindl.",Synonym,,L,WCSP (in review),,93605-1,"Edwards's Bot. Reg.","18: t. 1543","","1832",kew-2438229
kew-2681849,A,Aristolochiaceae,,Bragantia,,"macrantha",,"","Boerl.",Synonym,,L,WCSP (in review),,93606-1,"Handl. Fl. Ned. Ind.","3: 64","","1900",kew-2438202
kew-2681850,A,Aristolochiaceae,,Bragantia,,"melastomifolia",,"","(C.Presl) Duch.",Synonym,,L,WCSP (in review),,,"Prodr.","15(1): 429","","1864",kew-2438193
kew-2681851,A,Aristolochiaceae,,Bragantia,,"racemosa",,"","Lour.",Synonym,,L,WCSP (in review),,93608-1,"Fl. Cochinch.","528","","1790",kew-2438253
kew-2681852,A,Aristolochiaceae,,Bragantia,,"tomentosa",,"","(Blume) Blume",Synonym,,L,WCSP (in review),,93609-1,"Enum. Pl. Javae","82","","1827",kew-2438229
kew-2899398,A,Aristolochiaceae,,Bragantia,,"tomentosa",var.,"lanuginosa","Hook.f.",Synonym,,L,WCSP (in review),,77108576-1,"Fl. Brit. India","5: 73","","1886",kew-2438229
kew-2681853,A,Amaranthaceae,,Bragantia,,"vandellii",,"","Steud.",Synonym,,M,WCSP (in review),,59771-1,"Nomencl. Bot.","ed. 2, 1: 222","","1840",kew-2829036
kew-2681854,A,Aristolochiaceae,,Bragantia,,"wallichii",,"","Wight & Arn.",Unresolved,,L,WCSP (in review),,20008227-1,"Cat. Ind. Pl.","57","","1833",
kew-2681855,A,Aristolochiaceae,,Bragantia,,"wallichii",,"","R.Br. ex Duchart",Unresolved,,L,WCSP (in review),,,"Prodr.","15(1): 430","","1864",
