ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35115647,B,Bruchiaceae,,Bruchia,,"acuminata",,"","Broth.",Synonym,,M,TRO,35115647,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","26 Afd. 3(7): 5","5","1900",tro-35115649
tro-35115648,B,Bruchiaceae,,Bruchia,,"amoena",,"","Müll. Hal.",Synonym,,M,TRO,35115648,,"Flora","71: 11","11","1888",tro-35183615
tro-35115649,B,Bruchiaceae,,Bruchia,,"aurea",,"","Besch.",Accepted,,M,TRO,35115649,,"Mém. Soc. Sci. Nat. Cherbourg","21: 259","259","1877",
tro-35115650,B,Bruchiaceae,,Bruchia,,"beyrichiana",,"","(Hampe) Müll. Hal.",Accepted,,M,TRO,35115650,,"Bot. Zeitung (Berlin)","5: 99","99","1847",
tro-35115651,B,Bruchiaceae,,Bruchia,,"bolanderi",,"","Lesq.",Accepted,,M,TRO,35115651,,"Mem. Calif. Acad. Sci.","1: 5","5","1868",
tro-35115652,B,Bruchiaceae,,Bruchia,,"brevicollis",,"","Lesq. & James",Synonym,,M,TRO,35115652,,"Proc. Amer. Acad. Arts","14: 135","135","1879",tro-35115665
tro-35115653,B,Bruchiaceae,,Bruchia,,"brevifolia",,"","Sull.",Accepted,,M,TRO,35115653,,"Manual (ed. 2)","617","617","1856",
tro-35115654,B,Bruchiaceae,,Bruchia,,"brevipes",,"","Harv. ex Hook.",Accepted,,M,TRO,35115654,,"Icon. Pl.","3: pl. 231","231","1840",
tro-35188814,B,Bruchiaceae,,Bruchia,,"carinata",,"","(Hampe) R.H. Zander",Accepted,,M,TRO,35188814,,"Bull. Buffalo Soc. Nat. Sci.","32: 278","278","1993",
tro-35115655,B,Bruchiaceae,,Bruchia,,"carolinae",,"","Austin",Accepted,,M,TRO,35115655,,"Bull. Torrey Bot. Club","6: 144","144","1877",
tro-35115656,B,Bruchiaceae,,Bruchia,,"curviseta",,"","Lesq. & James",Synonym,,M,TRO,35115656,,"Man. Mosses N. America","47","47","1884",tro-35115703
tro-35115658,B,Bruchiaceae,,Bruchia,,"czermakii",,"","Broth.",Synonym,,M,TRO,35115658,,"Aussereur. Laubm.","140. 13 f. 1","140","1911",tro-35115709
tro-35115659,B,Bruchiaceae,,Bruchia,,"donnellii",,"","Austin",Synonym,,M,TRO,35115659,,"Bull. Torrey Bot. Club","6: 144","144","1877",tro-35115665
tro-35115660,B,Bruchiaceae,,Bruchia,,"drummondii",,"","Hampe ex E. Britton",Accepted,,M,TRO,35115660,,"Bull. Torrey Bot. Club","21: 361","361","1894",
tro-35115661,B,Bruchiaceae,,Bruchia,,"eckloniana",,"","Müll. Hal.",Accepted,,M,TRO,35115661,,"Syn. Musc. Frond.","1: 19","19","1848",
tro-35115662,B,Bruchiaceae,,Bruchia,,"elegans",,"","(Hornsch.) Müll. Hal.",Accepted,,M,TRO,35115662,,"Bot. Zeitung (Berlin)","5: 99","99","1847",
tro-35115663,B,Bruchiaceae,,Bruchia,,"exigua",,"","(Hook. f. & Wilson) Müll. Hal.",Accepted,,M,TRO,35115663,,"Bot. Zeitung (Berlin)","5: 99","99","1847",
tro-35115714,B,Hylocomiaceae,,Bruchia,,"filiforme",,"","(Hedw.) Hornsch.",Synonym,,M,TRO,35115714,,"Flora","8(2) Erg.: 10","10","1825",tro-35139094
tro-35115665,B,Bruchiaceae,,Bruchia,,"flexuosa",,"","(Schwägr.) Müll. Hal.",Accepted,,M,TRO,35115665,,"Bot. Zeitung (Berlin)","5: 99","99","1847",
tro-35100022,B,Bruchiaceae,,Bruchia,,"foveolata",,"","Magill",Synonym,,M,TRO,35100022,,"Fl. S. Africa, Bryophyta","1: 108. f. 28: 1–12","108","1981",tro-35100368
tro-35115670,B,Bruchiaceae,,Bruchia,,"fusca",,"","E. Britton",Accepted,,M,TRO,35115670,,"Bull. Torrey Bot. Club","21: 361. 216","361","1894",
tro-35115671,B,Bruchiaceae,,Bruchia,,"hallii",,"","Austin",Accepted,,M,TRO,35115671,,"Bull. Torrey Bot. Club","5: 21","21","1874",
tro-35115672,B,Bruchiaceae,,Bruchia,,"hampeana",,"","Müll. Hal.",Accepted,,M,TRO,35115672,,"Syn. Musc. Frond.","1: 18","18","1848",
