ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-31067,A,Orchidaceae,,Callista,,"acerosa",,"","(Lindl.) Kuntze",Synonym,,H,WCSP,31067,621136-1,"Revis. Gen. Pl.","2: 654","","1891",kew-56973
kew-31068,A,Orchidaceae,,Callista,,"acicularis",,"","(Lindl.) Kuntze",Synonym,,H,WCSP,31068,621137-1,"Revis. Gen. Pl.","2: 654","","1891",kew-56976
kew-31069,A,Orchidaceae,,Callista,,"acinaciformis",,"","(Roxb.) Kuntze",Synonym,,H,WCSP,31069,621138-1,"Revis. Gen. Pl.","2: 654","","1891",kew-56977
kew-31070,A,Orchidaceae,,Callista,,"acrobatica",,"","(Rchb.f.) Kuntze",Synonym,,H,WCSP,31070,621139-1,"Revis. Gen. Pl.","2: 654","","1891",kew-57318
kew-2692704,A,Ericaceae,,Callista,,"acuminata",,"","G.Don",Synonym,,M,WCSP (in review),,327241-1,"Gen. Hist.","3: 813","","1834",kew-2793802
kew-31071,A,Orchidaceae,,Callista,,"acuminatissima",,"","(Blume) Kuntze",Synonym,,H,WCSP,31071,621140-1,"Revis. Gen. Pl.","2: 654","","1891",kew-56983
kew-31072,A,Orchidaceae,,Callista,,"adae",,"","(F.M.Bailey) Kuntze",Synonym,,H,WCSP,31072,621141-1,"Revis. Gen. Pl.","2: 654","","1891",kew-56992
kew-31073,A,Orchidaceae,,Callista,,"adunca",,"","(Lindl.) Kuntze",Synonym,,H,WCSP,31073,621142-1,"Revis. Gen. Pl.","2: 654","","1891",kew-56998
kew-31074,A,Orchidaceae,,Callista,,"aemula",,"","(R.Br.) Kuntze",Synonym,,H,WCSP,31074,621143-1,"Revis. Gen. Pl.","2: 654","","1891",kew-57002
kew-31075,A,Orchidaceae,,Callista,,"affinis",,"","(Decne.) Kuntze",Synonym,,H,WCSP,31075,621144-1,"Revis. Gen. Pl.","2: 654","","1891",kew-57005
kew-31076,A,Orchidaceae,,Callista,,"aggregata",,"","Kuntze",Synonym,,H,WCSP,31076,621145-1,"Revis. Gen. Pl.","2: 654","","1891",kew-58243
tro-50035414,A,Orchidaceae,,Callista,,"aggregata",,"","(Roxb.) Brieger",Synonym,,M,TRO,50035414,908475-1,"Orchideen","1(11–12): 704","704","1981",kew-58243
tro-100352526,A,Orchidaceae,,Callista,,"aggregata",var.,"jenkinsii","(Wall. ex Lindl.) Brieger",Synonym,,L,TRO,100352526,,"","","","",kew-58084
kew-31077,A,Orchidaceae,,Callista,,"agrostophylla",,"","(F.Muell.) Kuntze",Synonym,,H,WCSP,31077,621146-1,"Revis. Gen. Pl.","2: 654","","1891",kew-57012
kew-31078,A,Orchidaceae,,Callista,,"albosanguinea",,"","(Lindl. & Paxton) Kuntze",Synonym,,H,WCSP,31078,621147-1,"Revis. Gen. Pl.","2: 654","","1891",kew-57026
kew-31079,A,Orchidaceae,,Callista,,"aloifolia",,"","(Blume) Kuntze",Synonym,,H,WCSP,31079,621148-1,"Revis. Gen. Pl.","2: 653","","1891",kew-57036
kew-31080,A,Orchidaceae,,Callista,,"alpestris",,"","Kuntze",Synonym,,H,WCSP,31080,621149-1,"Revis. Gen. Pl.","2: 654","","1891",kew-58437
kew-31081,A,Orchidaceae,,Callista,,"amabilis",,"","Lour.",Synonym,,H,WCSP,31081,621150-1,"Fl. Cochinch.","519","","1790",kew-57045
kew-31082,A,Orchidaceae,,Callista,,"amboinensis",,"","(Hook.) Kuntze",Synonym,,H,WCSP,31082,621151-1,"Revis. Gen. Pl.","2: 654","","1891",kew-57048
kew-31083,A,Orchidaceae,,Callista,,"amethystoglossa",,"","(Rchb.f.) Kuntze",Synonym,,H,WCSP,31083,621152-1,"Revis. Gen. Pl.","2: 654","","1891",kew-57051
kew-31084,A,Orchidaceae,,Callista,,"amoena",,"","(Wall. ex Lindl.) Kuntze",Synonym,,H,WCSP,31084,621153-1,"Revis. Gen. Pl.","2: 654","","1891",kew-57052
