ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-32654,A,Arecaceae,,Calyptrocalyx,,"albertisianus",,"","Becc.",Accepted,,H,WCSP,32654,,"Webbia","1: 305","","1905",
kew-32655,A,Arecaceae,,Calyptrocalyx,,"albertisianus",var.,"minor","Burret",Synonym,,L,WCSP,32655,,"Notizbl. Bot. Gart. Berlin-Dahlem","13: 71","","1936",kew-32654
kew-32656,A,Arecaceae,,Calyptrocalyx,,"amoenus",,"","Dowe & M.D.Ferrero",Accepted,,H,WCSP,32656,1021591-1,"Blumea","46: 215","","2001",
kew-32657,A,Arecaceae,,Calyptrocalyx,,"angustifrons",,"","Becc.",Synonym,,H,WCSP,32657,665531-1,"Bot. Jahrb. Syst.","58: 449","","1923",kew-32682
kew-32658,A,Arecaceae,,Calyptrocalyx,,"archboldianus",,"","Burret",Synonym,,H,WCSP,32658,,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 323","","1935",kew-32672
kew-32659,A,Arecaceae,,Calyptrocalyx,,"arfakianus",,"","(Becc.) Dowe & M.D.Ferrero",Accepted,,H,WCSP,32659,1021592-1,"Blumea","46: 217","","2001",
kew-32660,A,Arecaceae,,Calyptrocalyx,,"australasicus",,"","(H.Wendl. & Drude) Hook.f.",Synonym,,H,WCSP,32660,,"Gen. Pl.","3: 903","","1883",kew-106702
kew-32661,A,Arecaceae,,Calyptrocalyx,,"awa",,"","Dowe & M.D.Ferrero",Accepted,,H,WCSP,32661,1021593-1,"Blumea","46: 218","","2001",
kew-32662,A,Arecaceae,,Calyptrocalyx,,"bifurcatus",,"","Becc.",Synonym,,H,WCSP,32662,665534-1,"Bot. Jahrb. Syst.","58: 450","","1923",kew-32666
kew-32663,A,Arecaceae,,Calyptrocalyx,,"caudiculatus",,"","(Becc.) Dowe & M.D.Ferrero",Accepted,,H,WCSP,32663,1021594-1,"Blumea","46: 220","","2001",
kew-32664,A,Arecaceae,,Calyptrocalyx,,"clemensiae",,"","Burret",Synonym,,H,WCSP,32664,665535-1,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 9","","1940",kew-32654
kew-32665,A,Arecaceae,,Calyptrocalyx,,"doxanthus",,"","Dowe & M.D.Ferrero",Accepted,,H,WCSP,32665,20002044-1,"Wodyetia","4(3): 9","","1999",
kew-32666,A,Arecaceae,,Calyptrocalyx,,"elegans",,"","Becc.",Accepted,,H,WCSP,32666,,"Fl. Kais. Wilh. Land","16","","1889",
kew-32667,A,Arecaceae,,Calyptrocalyx,,"flabellatus",,"","(Becc.) Dowe & M.D.Ferrero",Accepted,,H,WCSP,32667,1021595-1,"Blumea","46: 224","","2001",
kew-32668,A,Arecaceae,,Calyptrocalyx,,"forbesii",,"","(Ridl.) Dowe & M.D.Ferrero",Accepted,,H,WCSP,32668,20002043-1,"Wodyetia","4(3): 10","","1999",
