ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2714574,A,Polygalaceae,,Chamaebuxus,,"alpestris",,"","Spach",Synonym,,M,WCSP (in review),,690184-1,"Hist. Nat. Vég.","7: 127","","1838",kew-2566629
kew-2714575,A,Polygalaceae,,Chamaebuxus,,"arillata",,"","(Buch.-Ham. ex D.Don) Hassk.",Unresolved,,L,WCSP (in review),,690185-1,"Ann. Mus. Bot. Lugduno-Batavi","1: 153","","1863",
kew-2714576,A,Polygalaceae,,Chamaebuxus,,"balansae",,"","(Coss.) Stapf",Synonym,,M,WCSP (in review),,690186-1,"Bot. Mag.","149: t. 9009","","1924",kew-2566460
kew-2714577,A,Polygalaceae,,Chamaebuxus,,"coriacea",,"","Opiz",Synonym,,M,WCSP (in review),,690187-1,"Seznam","28","","1852",kew-2566629
kew-2714578,A,Polygalaceae,,Chamaebuxus,,"karensium",,"","Kurz",Unresolved,,L,WCSP (in review),,690188-1,"Forest Fl. Burma","1: 79","","1877",
kew-2714579,A,Polygalaceae,,Chamaebuxus,,"munbyana",,"","(Boiss. & Reut.) Stapf",Synonym,,L,WCSP (in review),,690189-1,"Bot. Mag.","149: t. 9009","","1924",kew-2572840
kew-2714580,A,Polygalaceae,,Chamaebuxus,,"paniculata",,"","Hassk.",Unresolved,,L,WCSP (in review),,690190-1,"Ann. Mus. Bot. Lugduno-Batavi","1: 154","","1863",
kew-2714581,A,Polygalaceae,,Chamaebuxus,,"polygaleoides",,"","Schur",Synonym,,M,WCSP (in review),,690191-1,"Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt","4: 11","","1853",kew-2566629
kew-2714582,A,Polygalaceae,,Chamaebuxus,,"pulchra",,"","Hassk.",Synonym,,L,WCSP (in review),,690192-1,"Pl. Jav. Rar.","294","","1848",kew-2573204
kew-2714583,A,Polygalaceae,,Chamaebuxus,,"vayredae",,"","(Costa) Willk.",Synonym,,M,WCSP (in review),,,"Icon. Descr. Pl. Nov.","1: 33","","1853",kew-2572138
kew-2714584,A,Polygalaceae,,Chamaebuxus,,"venenosa",,"","Hassk.",Unresolved,,L,WCSP (in review),,690194-1,"Pl. Jav. Rar.","294","","1848",
kew-2714585,A,Polygalaceae,,Chamaebuxus,,"vulgaris",,"","Schur",Synonym,,M,WCSP (in review),,690195-1,"Enum. Pl. Transsilv.","90","","1866",kew-2566629
kew-2714586,A,Polygalaceae,,Chamaebuxus,,"webbiana",,"","(Coss.) Stapf",Synonym,,L,WCSP (in review),,690196-1,"Bot. Mag.","149: t. 9009","","1924",kew-2571863
