ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-100356022,P,Pteridaceae,,Cheilosoria,,"allosuroides",,"","(Mett.) Trevis.",Synonym,,M,TRO,100356022,17068300-1,"Atti Reale Ist. Veneto Sci. Lett. Arti","3: 579","579","1877",tro-26621480
tro-26620354,P,Pteridaceae,,Cheilosoria,,"belangeri",,"","(Bory in Belang.) Ching & Shing",Accepted,,M,TRO,26620354,,"Gloss. Terms & Names of Ferns","39","39","1982",
tro-26626125,P,Pteridaceae,,Cheilosoria,,"chusana",,"","(Hook.) Ching",Accepted,,M,TRO,26626125,17514520-1,"J. Arnold Arbor.","64(1): 19","19","1983",
tro-26619893,P,Pteridaceae,,Cheilosoria,,"fragilis",,"","(Hook.) Ching & Shing",Accepted,,M,TRO,26619893,,"Gloss. Terms & Names of Ferns","39","39","1982",
tro-26619904,P,Pteridaceae,,Cheilosoria,,"hancockii",,"","(Baker) Ching & Shing",Accepted,,M,TRO,26619904,,"Glos. Terms & Names of Ferns","39","39","1982",
tro-26619905,P,Pteridaceae,,Cheilosoria,,"insignis",,"","(Ching) Ching & Shing",Synonym,,M,TRO,26619905,,"Glos. Terms & Names of Ferns","39","39","1982",tro-26619902
ifn-2289,P,Pteridaceae,,Cheilosoria,,"javensis",,"","Trevis.",Unresolved,,L,IPNI,17068310-1,17068310-1,"Atti Ist. Veneto","V. 3. 580. 1879","","1879",
ifn-2290,P,Pteridaceae,,Cheilosoria,,"kunzei",,"","Trevis.",Unresolved,,L,IPNI,17068320-1,17068320-1,"Atti Ist. Veneto","V. 3. 580. 1877.","","1877",
tro-26619896,P,Pteridaceae,,Cheilosoria,,"mysurensis",,"","(Wall. ex Hook.) Ching & K.H. Shing",Accepted,,M,TRO,26619896,,"Fl. Fujianica","1: 84","84","1985",
tro-100377402,P,Pteridaceae,,Cheilosoria,,"patula",,"","(Baker) P.S. Wang",Accepted,,M,TRO,100377402,1030605-2,"Pterid. Fl. Guizhou","188","188","2001",
tro-26619910,P,Pteridaceae,,Cheilosoria,,"tenuifolia",,"","(Burm. f.) Trevis.",Accepted,,M,TRO,26619910,17068330-1,"Atti dell' Istit. Veneto","5(3): 579","579","1877",
