ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
ild-35414,A,Leguminosae,,Chesneya,,"acaulis",,"","(Baker) Popov",Accepted,,H,ILDIS,35414,,"","","","",
ild-35413,A,Leguminosae,,Chesneya,,"afghanica",,"","Rech.f. & Koie",Accepted,,H,ILDIS,35413,,"","","","",
ild-54550,A,Leguminosae,,Chesneya,,"antoninae",,"","Rassulova & Sharipova",Accepted,,H,ILDIS,54550,,"","","","",
ild-35412,A,Leguminosae,,Chesneya,,"astragalina",,"","Jaub. & Spach",Accepted,,H,ILDIS,35412,,"","","","",
ild-54551,A,Leguminosae,,Chesneya,,"badachschanica",,"","Boriss.",Accepted,,H,ILDIS,54551,,"","","","",
ild-54552,A,Leguminosae,,Chesneya,,"borissovae",,"","Pavlov",Accepted,,H,ILDIS,54552,,"","","","",
kew-2717962,A,Leguminosae,,Chesneya,,"borissovii",,"","Pavlov",Unresolved,,L,WCSP (in review),,486131-1,"Vestn. Akad. Nauk Kazakhsk. S.S.R.","3(60): 28","","1950",
ild-54553,A,Leguminosae,,Chesneya,,"botschantzevii",,"","R.M.Vinogr.",Accepted,,H,ILDIS,54553,,"","","","",
ild-44772,A,Leguminosae,,Chesneya,,"crassipes",,"","Boriss.",Accepted,,H,ILDIS,44772,,"","","","",
ild-35415,A,Leguminosae,,Chesneya,,"cuneata",,"","(Benth.) Ali",Accepted,,H,ILDIS,35415,,"","","","",
ild-54554,A,Leguminosae,,Chesneya,,"darvasica",,"","Boriss.",Accepted,,H,ILDIS,54554,,"","","","",
kew-2717967,A,Leguminosae,,Chesneya,,"daucoides",,"","Bertol.",Unresolved,,L,WCSP (in review),,840337-1,"Novi Comment. Acad. Sci. Inst. Bononiensis","5: 427","","1842",
ild-51284,A,Leguminosae,,Chesneya,,"depressa",,"","(Oliv.) Popov",Accepted,,H,ILDIS,51284,,"","","","",
ild-54555,A,Leguminosae,,Chesneya,,"dshungarica",,"","Golosk.",Accepted,,H,ILDIS,54555,,"","","","",
kew-2717970,A,Leguminosae,,Chesneya,,"elegans",,"","Fomine",Unresolved,,L,WCSP (in review),,,"V?stn. Tiflissk. Bot. Sada","1: 6","","1905",
kew-2717971,A,Leguminosae,,Chesneya,,"euphratensis",,"","Lindl.",Unresolved,,L,WCSP (in review),,486138-1,"Chesn. Narrat. Euph.","439","","1868",
ild-54557,A,Leguminosae,,Chesneya,,"ferganensis",,"","Korsh.",Accepted,,H,ILDIS,54557,,"","","","",
ild-54578,A,Leguminosae,,Chesneya,,"ferganensis",var.,"villosa","Boriss.",Synonym,,L,ILDIS,54578,,"","","","",ild-54577
ild-44769,A,Leguminosae,,Chesneya,,"gansuensis",,"","Y.X.Liou",Accepted,,H,ILDIS,44769,,"","","","",
ild-35410,A,Leguminosae,,Chesneya,,"gaubaeana",,"","Bornm.",Accepted,,H,ILDIS,35410,,"","","","",
ild-36668,A,Leguminosae,,Chesneya,,"gaubeana",,"","sensu Parsa",Synonym,,H,ILDIS,36668,,"","","","",ild-35410
ild-54560,A,Leguminosae,,Chesneya,,"gracilis",,"","(Boriss.) Kamelin",Accepted,,H,ILDIS,54560,,"","","","",
ild-54561,A,Leguminosae,,Chesneya,,"grubovii",,"","Yakovlev",Accepted,,H,ILDIS,54561,,"","","","",
ild-54562,A,Leguminosae,,Chesneya,,"hissarica",,"","Boriss.",Accepted,,H,ILDIS,54562,,"","","","",
tro-50140246,A,Leguminosae,,Chesneya,,"intermedia",,"","(Yakovlev) Zi G. Qian",Accepted,,M,TRO,50140246,1004772-1,"Acta Bot. Yunnan.","20(4): 401","401","1998",
tro-50168262,A,Leguminosae,,Chesneya,,"isfaransis",,"","Turak.",Unresolved,,L,TRO,50168262,,"Dokl. AN Tadžik. SSR","33(6): 415","415","1990",
ild-54563,A,Leguminosae,,Chesneya,,"isfarensis",,"","Tarakulov",Accepted,,H,ILDIS,54563,,"","","","",
ild-54564,A,Leguminosae,,Chesneya,,"karatavica",,"","Kamelin",Accepted,,H,ILDIS,54564,,"","","","",
ild-54565,A,Leguminosae,,Chesneya,,"kopetdagensis",,"","Boriss.",Synonym,Spelling variant,H,ILDIS,54565,,"","","","",ild-35409
ild-35409,A,Leguminosae,,Chesneya,,"kopetdaghensis",,"","Boriss.",Accepted,,H,ILDIS,35409,,"","","","",
ild-35408,A,Leguminosae,,Chesneya,,"kotschyi",,"","Boiss.",Accepted,,H,ILDIS,35408,,"","","","",
kew-2717984,A,Leguminosae,,Chesneya,,"kschtutica",,"","Rassulova & B.A.Sharipova",Unresolved,,L,WCSP (in review),,896084-1,"in Fl. Tadzhikskoi SSR","5: 630","","1978",
ild-54566,A,Leguminosae,,Chesneya,,"kschutica",,"","Rassulova & Sharipova",Accepted,,H,ILDIS,54566,,"","","","",
ild-54567,A,Leguminosae,,Chesneya,,"latefoliolata",,"","Rassulova & Sharipova",Accepted,,H,ILDIS,54567,,"","","","",
kew-2717985,A,Leguminosae,,Chesneya,,"latefoliolatus",,"","Rassulova & B.A.Sharipova",Unresolved,,L,WCSP (in review),,939020-1,"Izv. Akad. Nauk Tadzhiksk. SSR, Otd. Biol. Nauk","3(116): 71","","1989",
ild-54568,A,Leguminosae,,Chesneya,,"linczevskyi",,"","Boriss.",Accepted,,H,ILDIS,54568,,"","","","",
ild-36666,A,Leguminosae,,Chesneya,,"macranica",,"","Rech.f. & Esfand.",Synonym,Spelling variant,H,ILDIS,36666,,"","","","",ild-35407
tro-13067125,A,Leguminosae,,Chesneya,,"macrantha",,"","Cheng f. ex P. C. Li",Synonym,,M,TRO,13067125,897354-1,"Acta Phytotax. Sin.","19(2): 237","237","1981",tro-13076541
tro-13076541,A,Leguminosae,,Chesneya,,"macrantha",,"","S.H. Cheng ex H.C. Fu",Accepted,,M,TRO,13076541,,"Fl. Intramongol.","3: 180, 291, pl. 91, f. 1–6","180","1977",
ild-36667,A,Leguminosae,,Chesneya,,"makranica",,"","Rech.f. & Esfand.",Synonym,,H,ILDIS,36667,,"","","","",ild-35407
ild-36676,A,Leguminosae,,Chesneya,,"microphylla",,"","Vahl",Synonym,,H,ILDIS,36676,,"","","","",ild-35416
ild-44768,A,Leguminosae,,Chesneya,,"mongolica",,"","Maxim.",Accepted,,H,ILDIS,44768,,"","","","",
ild-54569,A,Leguminosae,,Chesneya,,"neplii",,"","Boriss.",Accepted,,H,ILDIS,54569,,"","","","",
ild-44776,A,Leguminosae,,Chesneya,,"nubigena",,"","(D.Don) Ali",Synonym,,H,ILDIS,44776,,"","","","",ild-51339
ild-51347,A,Leguminosae,,Chesneya,,"nubigena",,"","(""uct.,p.p. non (D.Don"") Ali",Misapplied,,H,ILDIS,51347,,"","","","",ild-51344
ild-36674,A,Leguminosae,,Chesneya,,"olivierii",,"","Jaub. & Spach",Synonym,,H,ILDIS,36674,,"","","","",ild-35416
ild-35407,A,Leguminosae,,Chesneya,,"parviflora",,"","Jaub. & Spach",Accepted,,H,ILDIS,35407,,"","","","",
tro-50140245,A,Leguminosae,,Chesneya,,"paucifoliolata",,"","(Yakovlev) Zi G. Qian",Accepted,,M,TRO,50140245,1004771-1,"Acta Bot. Yunnan.","20(4): 400","400","1998",
kew-2717998,A,Leguminosae,,Chesneya,,"pavlovii",,"","Kamelin & Gubanov",Unresolved,,L,WCSP (in review),,901698-1,"Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol.","n.s., 88(6): 81","","1983",
ild-44774,A,Leguminosae,,Chesneya,,"polystichoides",,"","(Hand.-Mazz.) Ali",Accepted,,H,ILDIS,44774,,"","","","",
ild-51348,A,Leguminosae,,Chesneya,,"polystichoides",subsp.,"bhutanica","H.Ohashi",Synonym,,L,ILDIS,51348,,"","","","",ild-51344
kew-2718001,A,Leguminosae,,Chesneya,,"popovii",,"","Kamelin & Yakovlev",Unresolved,,L,WCSP (in review),,486154-1,"Bot. Zhurn. (Moscow & Leningrad)","65: 871","","1980",
tro-50206071,A,Leguminosae,,Chesneya,,"potaninii",,"","(Yakovlev) Govaerts",Accepted,,M,TRO,50206071,1009749-1,"World Checkl. Seed Pl.","3(1): 14","14","1999",
ild-44781,A,Leguminosae,,Chesneya,,"purpurea",,"","P.C.Li",Synonym,,H,ILDIS,44781,,"","","","",ild-51344
ild-54570,A,Leguminosae,,Chesneya,,"quinata",,"","Al.Fed.",Accepted,,H,ILDIS,54570,,"","","","",
ild-35416,A,Leguminosae,,Chesneya,,"rytidosperma",,"","Jaub. & Spach",Accepted,,H,ILDIS,35416,,"","","","",
ild-44782,A,Leguminosae,,Chesneya,,"spinosa",,"","P.C.Li",Accepted,,H,ILDIS,44782,,"","","","",
kew-2718008,A,Leguminosae,,Chesneya,,"staintonii",,"","Kamelin & Yakovlev",Unresolved,,L,WCSP (in review),,486157-1,"Bot. Zhurn. (Moscow & Leningrad)","65: 871","","1980",
ild-35417,A,Leguminosae,,Chesneya,,"tadzhikistana",,"","Boriss.",Accepted,,H,ILDIS,35417,,"","","","",
ild-35418,A,Leguminosae,,Chesneya,,"ternata",,"","(Korsh.) Popov",Accepted,,H,ILDIS,35418,,"","","","",
ild-54573,A,Leguminosae,,Chesneya,,"tribuloides",,"","Nevski",Accepted,,H,ILDIS,54573,,"","","","",
ild-54575,A,Leguminosae,,Chesneya,,"trijuga",,"","Boriss.",Accepted,,H,ILDIS,54575,,"","","","",
ild-54576,A,Leguminosae,,Chesneya,,"turkestanica",,"","Franch.",Accepted,,H,ILDIS,54576,,"","","","",
ild-35419,A,Leguminosae,,Chesneya,,"vaginalis",,"","Jaub. & Spach",Unresolved,,L,ILDIS,35419,,"","","","",
ild-36608,A,Leguminosae,,Chesneya,,"vaginalis",,"","sensu Rawi",Accepted,,H,ILDIS,36608,,"","","","",
ild-36675,A,Leguminosae,,Chesneya,,"velutina",,"","Jaub. & Spach",Synonym,,H,ILDIS,36675,,"","","","",ild-35416
tro-13056417,A,Leguminosae,,Chesneya,,"vesculifera",,"","Towns.",Unresolved,,L,TRO,13056417,,"Kew Bull.","21(2): 293","293","1967",
ild-36677,A,Leguminosae,,Chesneya,,"vesiculifera",,"","C.C.Towns.",Synonym,,H,ILDIS,36677,,"","","","",ild-35417
ild-54577,A,Leguminosae,,Chesneya,,"villosa",,"","(Boriss.) Kamelin & R.M.Vinogr.",Accepted,,H,ILDIS,54577,,"","","","",
ild-35420,A,Leguminosae,,Chesneya,,"volkii",,"","Rech.f.",Accepted,,H,ILDIS,35420,,"","","","",
tro-50140237,A,Leguminosae,,Chesneya,,"yunnanensis",,"","(Yakovlev) Zi G. Qian",Accepted,,M,TRO,50140237,1004770-1,"Acta Bot. Yunnan.","20(4): 400","400","1998",
