ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2719098,A,Gentianaceae,,Chlora,,"acuminata",,"","W.D.J.Koch & Ziz",Synonym,,M,WCSP (in review),,366910-1,"Cat. Pl.","20","","1814",kew-2676913
tro-13801448,A,Gentianaceae,,Chlora,,"acuminata",,"","Koch & Ziz",Synonym,,M,TRO,13801448,,"","","","",kew-2676913
kew-2719099,A,Gentianaceae,,Chlora,,"affinis",,"","Willk.",Synonym,,M,WCSP (in review),,366911-1,"Bot. Zeitung (Berlin)","5: 874","","1847",kew-2676918
kew-2719100,A,Gentianaceae,,Chlora,,"balearica",,"","Sennen",Unresolved,,L,WCSP (in review),,366912-1,"Bol. Soc. Ibér. Ci. Nat.","29: 40","","1930",
kew-2719101,A,Gentianaceae,,Chlora,,"citrina",,"","Boiss. & Reut.",Synonym,,M,WCSP (in review),,366913-1,"Pugill. Pl. Afr. Bor. Hispan.","77","","1852",kew-2676913
kew-2719102,A,Gentianaceae,,Chlora,,"crenulata",,"","Salzm. ex Griseb.",Synonym,,M,WCSP (in review),,366914-1,"Gen. Sp. Gent.","118","","1838",kew-2676918
kew-2719103,A,Gentianaceae,,Chlora,,"dodecandra",,"","L.",Unresolved,,L,WCSP (in review),,366915-1,"Syst. Nat. ed. 12","2: 267","","1767",
kew-2719104,A,Gentianaceae,,Chlora,,"dubia",,"","Lam.",Synonym,,M,WCSP (in review),,366916-1,"Tabl. Encycl.","2: 434","","1819",kew-2676918
kew-2719105,A,Gentianaceae,,Chlora,,"exaltata",,"","Griseb.",Unresolved,,L,WCSP (in review),,366917-1,"Gen. Sp. Gent.","118","","1838",
kew-2719106,A,Gentianaceae,,Chlora,,"grandiflora",,"","Viv.",Synonym,,M,WCSP (in review),,,"Fl. Cors. Prodr.","App. Alt.: 4","","1830",kew-2676917
kew-2719107,A,Gentianaceae,,Chlora,,"hybrida",,"","Tratt.",Unresolved,,L,WCSP (in review),,,"Arch. Gewächsk. Leopold Trattinick","5: t. 229","","1818",
kew-2719108,A,Gentianaceae,,Chlora,,"imperfoliata",,"","L.f.",Synonym,,M,WCSP (in review),,366921-1,"Suppl. Pl.","218","","1782",kew-2676918
kew-2883697,A,Gentianaceae,,Chlora,,"imperfoliata",var.,"lanceolata","(W.D.J.Koch & Ziz) Griseb.",Synonym,,L,WCSP (in review),,,"Gen. Sp. Gent.","118","","1839",kew-2676918
kew-2719109,A,Gentianaceae,,Chlora,,"intermedia",,"","Ten.",Synonym,,M,WCSP (in review),,366922-1,"Syll. Pl. Fl. Neapol.","565","","1831",kew-2676923
kew-2719110,A,Gentianaceae,,Chlora,,"lanceolata",,"","W.D.J.Koch & Ziz",Synonym,,M,WCSP (in review),,366923-1,"Cat. Pl.","20","","1814",kew-2676918
kew-2719111,A,Gentianaceae,,Chlora,,"longifolia",,"","Lam.",Unresolved,,L,WCSP (in review),,366924-1,"Tabl. Encycl.","2: 434","","1819",
kew-2719112,A,Gentianaceae,,Chlora,,"mascariensis",,"","Desf. ex Steud.",Synonym,,M,WCSP (in review),,,"Nomencl. Bot.","190","","1821",kew-2676920
kew-2719113,A,Gentianaceae,,Chlora,,"perfoliata",,"","(L.) L.",Synonym,,M,WCSP (in review),,366927-1,"Syst. Nat. ed. 12","2: 267","","1767",kew-2676920
kew-2883698,A,Gentianaceae,,Chlora,,"perfoliata",var.,"acuminata","Griseb.",Synonym,,L,WCSP (in review),,,"Gen. Sp. Gent.","117","","1839",kew-2676920
kew-2883699,A,Gentianaceae,,Chlora,,"perfoliata",var.,"sessilifolia","Griseb.",Synonym,,L,WCSP (in review),,,"Gen. Sp. Gent.","117","","1839",kew-2676920
kew-2719114,A,Gentianaceae,,Chlora,,"quadrifolia",,"","L.",Unresolved,,L,WCSP (in review),,366928-1,"Syst. Nat. ed. 12","2: 267","","1767",
kew-2719115,A,Gentianaceae,,Chlora,,"serotina",,"","Rchb.",Synonym,,M,WCSP (in review),,,"Iconogr. Bot. Pl. Crit.","3: 6","","1825",kew-2676913
tro-13801428,A,Gentianaceae,,Chlora,,"serotina",,"","Koch ex Reichenb.",Synonym,,M,TRO,13801428,,"","","","",kew-2676913
kew-2719116,A,Gentianaceae,,Chlora,,"sessilifolia",,"","Desv.",Synonym,,M,WCSP (in review),,366931-1,"Trav. Soc. Amat.","1: 74","","1807",kew-2676918
kew-2719117,A,Gentianaceae,,Chlora,,"sessilis",,"","(L.) Willd.",Synonym,,L,WCSP (in review),,366932-1,"Sp. Pl.","2: 341","","1799",kew-2821533
kew-2719118,A,Gentianaceae,,Chlora,,"sicula",,"","Tineo ex Guss.",Synonym,,M,WCSP (in review),,,"Fl. Sicul. Syn.","2: 819","","1844",kew-2676920
kew-2719119,A,Gentianaceae,,Chlora,,"triphylla",,"","Badarò",Unresolved,,L,WCSP (in review),,366934-1,"Giorn. Fis.","II, 9: 166","","1826",
