ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2719314,A,Menispermaceae,,Chondrodendron,,"aemulum",,"","Miers",Synonym,,M,WCSP (in review),,,"Ann. Mag. Nat. Hist.","III, 19: 192","","1867",kew-2719331
kew-2719315,A,Menispermaceae,,Chondrodendron,,"bioccai",,"","Lusina",Synonym,,M,WCSP (in review),,,"Revista Mus. Paul. Univ. São Paulo","n.s., 8: 227","","1954",kew-2748838
kew-2719316,A,Menispermaceae,,Chondrodendron,,"candicans",,"","(Rich. ex DC.) Sandwith",Synonym,,M,WCSP (in review),,57130-2,"Bull. Misc. Inform. Kew","1930: 342","","1930",kew-2748834
kew-2719317,A,Menispermaceae,,Chondrodendron,,"cinerascens",,"","Miers",Synonym,,M,WCSP (in review),,,"Ann. Mag. Nat. Hist.","III, 19: 192","","1867",kew-2719331
kew-2719318,A,Menispermaceae,,Chondrodendron,,"convolvulaceum",,"","Poepp. & Endl.",Synonym,,M,WCSP (in review),,,"Nov. Gen. Sp. Pl.","2: 65","","1838",kew-2772708
kew-2719319,A,Menispermaceae,,Chondrodendron,,"cretosum",,"","Miers",Synonym,,M,WCSP (in review),,,"Ann. Mag. Nat. Hist.","III, 19: 192","","1867",kew-2719336
kew-2719320,A,Menispermaceae,,Chondrodendron,,"filipendulum",,"","(Mart.) Diels",Synonym,,M,WCSP (in review),,57132-2,"Pflanzenr.","IV, 94: 81","","1910",kew-2449488
kew-2719321,A,Menispermaceae,,Chondrodendron,,"hederifolium",,"","Miers",Unresolved,,L,WCSP (in review),,,"Ann. Mag. Nat. Hist.","II, 7: 44","","1851",
kew-2719322,A,Menispermaceae,,Chondrodendron,,"hypoleucum",,"","Standl.",Synonym,,M,WCSP (in review),,57133-2,"Contr. Arnold Arbor.","5: 65","","1933",kew-2719336
kew-2719323,A,Menispermaceae,,Chondrodendron,,"iquitanum",,"","Diels",Accepted,,M,WCSP (in review),,57134-2,"Notizbl. Bot. Gart. Berlin-Dahlem","9: 997","","1926",
kew-2719324,A,Menispermaceae,,Chondrodendron,,"latifolium",,"","Diels",Synonym,,M,WCSP (in review),,57135-2,"Pflanzenr.","IV, 94: 81","","1910",kew-2719327
kew-2719325,A,Menispermaceae,,Chondrodendron,,"limaciifolium",,"","(Diels) Moldenke",Accepted,,M,WCSP (in review),,57136-2,"Brittonia","3: 20","","1938",
kew-2719326,A,Menispermaceae,,Chondrodendron,,"macrophyllum",,"","Hiern",Synonym,,M,WCSP (in review),,,"Cat. Afr. Pl.","1: 16","","1896",kew-2516824
kew-2719327,A,Menispermaceae,,Chondrodendron,,"microphyllum",,"","(Eichler) Moldenke",Accepted,,M,WCSP (in review),,57137-2,"Brittonia","3: 11","","1938",
kew-2719328,A,Menispermaceae,,Chondrodendron,,"nemophilum",,"","Miers",Synonym,,M,WCSP (in review),,,"Contr. Bot.","3: 319","","1871",kew-2719331
kew-2719329,A,Menispermaceae,,Chondrodendron,,"obscurum",,"","Miers",Synonym,,M,WCSP (in review),,,"Contr. Bot.","3: 314","","1871",kew-2719331
kew-2719330,A,Menispermaceae,,Chondrodendron,,"ovatum",,"","Miers",Synonym,,M,WCSP (in review),,,"Ann. Mag. Nat. Hist.","III, 19: 192","","1867",kew-2719331
kew-2719331,A,Menispermaceae,,Chondrodendron,,"platyphyllum",,"","(A.St.-Hil.) Miers",Accepted,,M,WCSP (in review),,1058133-2,"Ann. Mag. Nat. Hist.","III, 19: 192","","1867",
kew-2719332,A,Menispermaceae,,Chondrodendron,,"polyanthum",,"","(Diels) Diels",Synonym,,M,WCSP (in review),,57138-2,"Pflanzenr.","IV, 94: 78","","1910",kew-2748838
kew-2719333,A,Menispermaceae,,Chondrodendron,,"scabrum",,"","Miers",Synonym,,M,WCSP (in review),,,"Ann. Mag. Nat. Hist.","II, 7: 44","","1851",kew-2719336
kew-2719334,A,Menispermaceae,,Chondrodendron,,"tamoides",,"","(DC.) Miers",Synonym,,M,WCSP (in review),,,"Ann. Mag. Nat. Hist.","II, 7: 44","","1851",kew-2397271
kew-2719335,A,Menispermaceae,,Chondrodendron,,"tomentocarpum",,"","(Rusby) Moldenke",Accepted,,M,WCSP (in review),,57139-2,"Brittonia","3: 2","","1938",
kew-2719336,A,Menispermaceae,,Chondrodendron,,"tomentosum",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),,,"Syst. Veg. Fl. Peruv. Chil.","261","","1798",
kew-2719337,A,Menispermaceae,,Chondrodendron,,"toxicoferum",,"","(Wedd.) Krukoff & Moldenke",Synonym,,M,WCSP (in review),,57140-2,"Brittonia","3: 338","","1939",kew-2748838
