ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-302642,A,Amaryllidaceae,,Clinanthus,,"callacallensis",,"","(Ravenna) Meerow",Accepted,,H,WCSP,302642,1019085-1,"Syst. Bot.","25: 723","","2000",
kew-302643,A,Amaryllidaceae,,Clinanthus,,"campodensis",,"","(Ravenna) Meerow",Accepted,,H,WCSP,302643,1019086-1,"Syst. Bot.","25: 723","","2000",
kew-302644,A,Amaryllidaceae,,Clinanthus,,"caracensis",,"","(Ravenna) Meerow",Accepted,,H,WCSP,302644,1019087-1,"Syst. Bot.","25: 723","","2000",
kew-302645,A,Amaryllidaceae,,Clinanthus,,"chihuanhuayu",,"","(Cárdenas) Meerow",Accepted,,H,WCSP,302645,1106877-2,"Syst. Bot.","25: 723","","2000",
kew-302646,A,Amaryllidaceae,,Clinanthus,,"coccineus",,"","(Ruiz & Pav.) Meerow",Accepted,,H,WCSP,302646,1019089-1,"Syst. Bot.","25: 723","","2000",
kew-302647,A,Amaryllidaceae,,Clinanthus,,"croceus",,"","(Savigny) Meerow",Accepted,,H,WCSP,302647,1059817-2,"Syst. Bot.","25: 723","","2000",
kew-302648,A,Amaryllidaceae,,Clinanthus,,"elwesii",,"","(Baker) Meerow",Accepted,,H,WCSP,302648,1170440-2,"Syst. Bot.","25: 723","","2000",
kew-302649,A,Amaryllidaceae,,Clinanthus,,"flammidus",,"","(Ravenna) Meerow",Accepted,,H,WCSP,302649,1019092-1,"Syst. Bot.","25: 723","","2000",
kew-302650,A,Amaryllidaceae,,Clinanthus,,"fulvus",,"","(Herb.) Meerow",Accepted,,H,WCSP,302650,1019093-1,"Syst. Bot.","25: 723","","2000",
kew-302651,A,Amaryllidaceae,,Clinanthus,,"glareosus",,"","(Ravenna) Meerow",Accepted,,H,WCSP,302651,1019094-1,"Syst. Bot.","25: 723","","2000",
kew-302652,A,Amaryllidaceae,,Clinanthus,,"humilis",,"","(Herb.) Meerow",Accepted,,H,WCSP,302652,1019095-1,"Syst. Bot.","25: 723","","2000",
kew-302653,A,Amaryllidaceae,,Clinanthus,,"imasumacc",,"","(Vargas) Meerow",Accepted,,H,WCSP,302653,1213043-2,"Syst. Bot.","25: 723","","2000",
kew-302654,A,Amaryllidaceae,,Clinanthus,,"incarnatus",,"","(Kunth) Meerow",Accepted,,H,WCSP,302654,1019097-1,"Syst. Bot.","25: 723","","2000",
kew-302655,A,Amaryllidaceae,,Clinanthus,,"incarum",,"","(Kraenzl.) Meerow",Accepted,,H,WCSP,302655,1019098-1,"Syst. Bot.","25: 723","","2000",
kew-276285,A,Amaryllidaceae,,Clinanthus,,"luteus",,"","Herb.",Accepted,,H,WCSP,276285,63623-1,"Appendix","40","","1821",
kew-302656,A,Amaryllidaceae,,Clinanthus,,"macleanicus",,"","(Herb.) Meerow",Accepted,,H,WCSP,302656,1019099-1,"Syst. Bot.","25: 723","","2000",
kew-302657,A,Amaryllidaceae,,Clinanthus,,"microstephium",,"","(Ravenna) Meerow",Accepted,,H,WCSP,302657,1019100-1,"Syst. Bot.","25: 723","","2000",
kew-302658,A,Amaryllidaceae,,Clinanthus,,"mirabilis",,"","(Ravenna) Meerow",Accepted,,H,WCSP,302658,1019101-1,"Syst. Bot.","25: 723","","2000",
kew-302659,A,Amaryllidaceae,,Clinanthus,,"recurvatus",,"","(Ruiz & Pav.) Meerow",Accepted,,H,WCSP,302659,1019102-1,"Syst. Bot.","25: 723","","2000",
kew-302660,A,Amaryllidaceae,,Clinanthus,,"sunchubambae",,"","(Ravenna) Meerow",Accepted,,H,WCSP,302660,1019103-1,"Syst. Bot.","25: 723","","2000",
kew-302661,A,Amaryllidaceae,,Clinanthus,,"variegatus",,"","(Ruiz & Pav.) Meerow",Accepted,,H,WCSP,302661,1019104-1,"Syst. Bot.","25: 723","","2000",
kew-302662,A,Amaryllidaceae,,Clinanthus,,"viridiflorus",,"","(Ruiz & Pav.) Meerow",Accepted,,H,WCSP,302662,1019105-1,"Syst. Bot.","25: 724","","2000",
