ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35210862,B,Lejeuneaceae,,Cololejeunea,,"abnormis",,"","Mizut.",Unresolved,,L,TRO,35210862,,"J. Hattori Bot. Lab.","33: 260. f. 23","260","1970",
tro-35213243,B,Lejeuneaceae,,Cololejeunea,,"acuminata",,"","Mizut.",Unresolved,,L,TRO,35213243,,"J. Hattori Bot. Lab.","33: 261. f. 24","261","1970",
tro-35213488,B,Lejeuneaceae,,Cololejeunea,,"adhaesiva",,"","(Mitt.) R.M. Schust.",Accepted,,M,TRO,35213488,,"Beih. Nova Hedwigia","9: 177","177","1963",
tro-35216352,B,Lejeuneaceae,,Cololejeunea,,"adhaevisa",,"","(Mitt.) Steph.",Synonym,,M,TRO,35216352,,"Pflanzenw. Ost-Afrikas","C: 65","65","1895",tro-35213488
tro-35203443,B,Lejeuneaceae,,Cololejeunea,,"adnata",,"","Tixier",Accepted,,M,TRO,35203443,,"Bryophyt. Biblioth.","27: 65. f. 29","194","1977",
tro-35213472,B,Lejeuneaceae,,Cololejeunea,,"africana",,"","(Stephani) R.M. Schust.",Accepted,,M,TRO,35213472,,"Beih. Nova Hedwigia","9: 173","173","1963",
tro-35208657,B,Lejeuneaceae,,Cololejeunea,,"albodentata",,"","P.C. Chen & P.C. Wu",Accepted,,M,TRO,35208657,,"Acta Phytotax. Sin.","9: 252. f. 18","252","1964",
tro-100377138,B,Lejeuneaceae,,Cololejeunea,,"altimontana",,"","Pócs",Accepted,,M,TRO,100377138,,"Acta Bryol. Asiat.","4: 78","78","2011",
tro-35202199,B,Lejeuneaceae,,Cololejeunea,,"amaniensis",,"","Pocs",Accepted,,M,TRO,35202199,,"Acta Bot. Hung.","31: 120. pl. I–II. f. 41","120","1985",
tro-35203039,B,Lejeuneaceae,,Cololejeunea,,"ambeliensis",,"","Tixier",Accepted,,M,TRO,35203039,,"Bryophyt. Biblioth.","27: 142. f. 72","142","1985",
tro-35211276,B,Lejeuneaceae,,Cololejeunea,,"amieuensis",,"","Tixier",Accepted,,M,TRO,35211276,,"Nova Hedwigia","31: 748. f. 15","748","1979",
tro-35208658,B,Lejeuneaceae,,Cololejeunea,,"amoena",,"","Benedix",Accepted,,M,TRO,35208658,,"Feddes Repert. Spec. Nov. Regni Veg. Beih.","134: 25. pl. 3: c; 5","25","1953",
tro-35204654,B,Lejeuneaceae,,Cololejeunea,,"amphibola",,"","B. Thiers",Accepted,,M,TRO,35204654,,"Beih. Nova Hedwigia","90: 130. pl. 7","130","1988",
tro-35203465,B,Lejeuneaceae,,Cololejeunea,,"andapania",,"","Tixier",Accepted,,M,TRO,35203465,,"Bull. Trimestriel Acad. Malgache","55: 178. f. 3","178","1977",
tro-35213599,B,Lejeuneaceae,,Cololejeunea,,"androgyna",,"","Benedix",Accepted,,M,TRO,35213599,,"Feddes Repert. Spec. Nov. Regni Veg. Beih.","134: 68. pl. 23, 24: e","68","1953",
