ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2733902,A,Rutaceae,,Conchocarpus,,"acuminatus",,"","(Pilg.) Kallunki & Pirani",Accepted,,M,WCSP (in review),,1001921-1,"Kew Bull.","53: 275","","1998",
kew-2733903,A,Rutaceae,,Conchocarpus,,"adenantherus",,"","(Rizzini) Kallunki & Pirani",Accepted,,M,WCSP (in review),,1001922-1,"Kew Bull.","53: 275","","1998",
kew-2733904,A,Rutaceae,,Conchocarpus,,"bellus",,"","Kallunki",Accepted,,M,WCSP (in review),,1001923-1,"Kew Bull.","53: 275","","1998",
kew-2733905,A,Rutaceae,,Conchocarpus,,"cauliflorus",,"","Pirani",Accepted,,M,WCSP (in review),,1001924-1,"Kew Bull.","53: 276","","1998",
kew-2733906,A,Rutaceae,,Conchocarpus,,"concinnus",,"","Kallunki",Accepted,,M,WCSP (in review),,1001925-1,"Kew Bull.","53: 278","","1998",
kew-2733907,A,Rutaceae,,Conchocarpus,,"cuneifolius",,"","Nees & Mart.",Accepted,,M,WCSP (in review),,106879-2,"Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.","11: 162","","1823",
tro-50126738,A,Rutaceae,,Conchocarpus,,"cuneifolius",var.,"cuneifolius","",Synonym,,L,TRO,50126738,,"","","","",kew-2733907
kew-2733909,A,Rutaceae,,Conchocarpus,,"cyrtanthus",,"","Kallunki",Accepted,,M,WCSP (in review),,1001927-1,"Kew Bull.","53: 285","","1998",
kew-2733910,A,Rutaceae,,Conchocarpus,,"dasyanthus",,"","Kallunki",Accepted,,M,WCSP (in review),,1001928-1,"Kew Bull.","53: 286","","1998",
kew-2733911,A,Rutaceae,,Conchocarpus,,"diadematus",,"","Pirani",Accepted,,M,WCSP (in review),,1001929-1,"Kew Bull.","53: 290","","1998",
kew-2733912,A,Rutaceae,,Conchocarpus,,"elegans",,"","(A.St.-Hil.) Kallunki & Pirani",Accepted,,M,WCSP (in review),,1001930-1,"Kew Bull.","53: 291","","1998",
kew-2733913,A,Rutaceae,,Conchocarpus,,"fanshawei",,"","(Sandwith) Kallunki & Pirani",Accepted,,M,WCSP (in review),,1001931-1,"Kew Bull.","53: 292","","1998",
kew-2733914,A,Rutaceae,,Conchocarpus,,"fissicalyx",,"","Pirani",Accepted,,M,WCSP (in review),,1001932-1,"Kew Bull.","53: 292","","1998",
kew-2733915,A,Rutaceae,,Conchocarpus,,"fontanesianus",,"","(A.St.-Hil.) Kallunki & Pirani",Accepted,,M,WCSP (in review),,1001933-1,"Kew Bull.","53: 294","","1998",
kew-2733916,A,Rutaceae,,Conchocarpus,,"furcatus",,"","Kallunki",Accepted,,M,WCSP (in review),,1001934-1,"Kew Bull.","53: 294","","1998",
kew-2733917,A,Rutaceae,,Conchocarpus,,"gaudichaudianus",,"","(A.St.-Hil.) Kallunki & Pirani",Accepted,,M,WCSP (in review),,1001935-1,"Kew Bull.","53: 295","","1998",
tro-50126754,A,Rutaceae,,Conchocarpus,,"gaudichaudianus",subsp.,"gaudichaudianus","",Synonym,,L,TRO,50126754,,"","","","",kew-2733917
kew-2733919,A,Rutaceae,,Conchocarpus,,"grandiflorus",,"","(Engl.) Kallunki & Pirani",Accepted,,M,WCSP (in review),,1001937-1,"Kew Bull.","53: 299","","1998",
kew-2733920,A,Rutaceae,,Conchocarpus,,"grandis",,"","Kallunki",Accepted,,M,WCSP (in review),,1001938-1,"Kew Bull.","53: 299","","1998",
kew-2733921,A,Rutaceae,,Conchocarpus,,"guyanensis",,"","(Pulle) Kallunki & Pirani",Accepted,,M,WCSP (in review),,1001939-1,"Kew Bull.","53: 300","","1998",
