ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2737533,A,Apiaceae,,Coriandrum,,"americanum",,"","Nutt. ex DC.",Synonym,,M,WCSP (in review),,840747-1,"Prodr.","4: 250","","1830",kew-2675864
tro-1703304,A,Apiaceae,,Coriandrum,,"aquilegiifolium",,"","All.",Synonym,,M,TRO,1703304,,"","","","",kew-2402448
kew-2737534,A,Apiaceae,,Coriandrum,,"cicuta",,"","Crantz",Synonym,,M,WCSP (in review),,,"Stirp. Austr. Fasc.","3: 100","","1762",kew-2734165
kew-2737535,A,Apiaceae,,Coriandrum,,"cicuta",,"","Roth",Synonym,,M,WCSP (in review),,840748-1,"Tent. Fl. Germ.","1: 130","","1788",kew-2720775
kew-2737536,A,Apiaceae,,Coriandrum,,"cynapium",,"","Crantz",Synonym,,M,WCSP (in review),,,"Stirp. Austr. Fasc.","3: 99","","1762",kew-2624785
kew-2737537,A,Apiaceae,,Coriandrum,,"didymum",,"","Stokes",Synonym,,M,WCSP (in review),,840751-1,"Bot. Mat. Med.","2: 121","","1812",kew-2675876
tro-1702123,A,Apiaceae,,Coriandrum,,"digitatum",,"","DC.",Unresolved,,L,TRO,1702123,,"","","","",
kew-2737538,A,Apiaceae,,Coriandrum,,"diversifolium",,"","Gilib.",Synonym,Invalid,M,WCSP (in review),,840752-1,"Fl. Lit. Inch.","2: 26","","1782",kew-2737546
kew-2737539,A,Apiaceae,,Coriandrum,,"globosum",,"","Salisb.",Synonym,,M,WCSP (in review),,840753-1,"Prodr. Stirp. Chap. Allerton","166","","1796",kew-2737546
kew-2737540,A,Apiaceae,,Coriandrum,,"latifolium",,"","(L.) Crantz",Synonym,,M,WCSP (in review),,,"Stirp. Austr. Fasc.","3: 101","","1762",kew-2473946
kew-2737541,A,Apiaceae,,Coriandrum,,"maculatum",,"","(L.) Roth",Synonym,,M,WCSP (in review),,840755-1,"Tent. Fl. Germ.","1: 130","","1788",kew-2734165
kew-2737542,A,Apiaceae,,Coriandrum,,"majus",,"","Gouan",Synonym,,M,WCSP (in review),,840756-1,"Hortus Monsp.","145","","1762",kew-2737546
kew-2737543,A,Apiaceae,,Coriandrum,,"majus",,"","Garsault",Synonym,Invalid,M,WCSP (in review),,,"Fig. Pl. Méd.","t. 232","","1764",kew-2737546
tro-1702601,A,Apiaceae,,Coriandrum,,"maritimum",,"","L.",Unresolved,,L,TRO,1702601,,"","","","",
kew-2737544,A,Apiaceae,,Coriandrum,,"melphitense",,"","Ten. & Guss.",Unresolved,,L,WCSP (in review),,840758-1,"Index Seminum (NAP)","1837: 3","","1837",
kew-2737545,A,Apiaceae,,Coriandrum,,"radians",,"","(M.Bieb.) Prantl",Synonym,,M,WCSP (in review),,840759-1,"Exkurs.-Fl. Bayern","292","","1884",kew-2675875
kew-2737546,A,Apiaceae,,Coriandrum,,"sativum",,"","L.",Accepted,,M,WCSP (in review),,840760-1,"Sp. Pl.","256","","1753",
kew-2737547,A,Apiaceae,,Coriandrum,,"sativum",var.,"afghanicum","Stolet.",Synonym,,L,WCSP (in review),,,"Sborn. Nauchn. Trudov Prikl. Bot. Genet. Selekts.","133: 26","","1990",kew-2737546
