ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-51797,A,Rubiaceae,,Crusea,,"acuminata",,"","E.Mey.",Synonym,Invalid,H,WCSP,51797,747989-1,"Zwei Pflanzengeogr. Dokum.","176","","1830",kew-46639
kew-51798,A,Rubiaceae,,Crusea,,"allococca",,"","A.Gray",Synonym,Illegitimate,H,WCSP,51798,747990-1,"Proc. Amer. Acad. Arts","19: 78","","1883",kew-178506
kew-51799,A,Rubiaceae,,Crusea,,"andersoniorum",,"","Lorence",Accepted,,H,WCSP,51799,994874-1,"Novon","7: 57","","1997",
kew-51800,A,Rubiaceae,,Crusea,,"aphylla",,"","A.Heller",Unresolved,Spelling variant,L,WCSP,51800,747991-1,"Bot. Explor. S. Texas","80","","1895",
kew-51801,A,Rubiaceae,,Crusea,,"aspera",,"","Bartl.",Synonym,,H,WCSP,51801,747992-1,"Linnaea","14: 124","","1840",kew-51822
kew-51802,A,Rubiaceae,,Crusea,,"brachyphylla",,"","Schltdl. & Cham.",Synonym,,H,WCSP,51802,747993-1,"Linnaea","5: 165","","1830",kew-51828
kew-51803,A,Rubiaceae,,Crusea,,"brachyphylla",f.,"microcephala","Loes.",Synonym,,L,WCSP,51803,71174-2,"Verh. Bot. Vereins Prov. Brandenburg","65: 115","","1923",kew-51828
kew-51804,A,Rubiaceae,,Crusea,,"calcicola",,"","Greenm.",Accepted,,H,WCSP,51804,71175-2,"Proc. Amer. Acad. Arts","32: 305","","1897",
kew-51805,A,Rubiaceae,,Crusea,,"calocephala",,"","DC.",Accepted,,H,WCSP,51805,747995-1,"Prodr.","4: 567","","1830",
kew-51806,A,Rubiaceae,,Crusea,,"chiapensis",,"","Brandegee",Synonym,,H,WCSP,51806,71176-2,"Univ. Calif. Publ. Bot.","6: 374","","1917",kew-51828
