ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2604071,A,Apocynaceae,,Cryptolepis,,"africana",,"","(Bullock) Venter & R.L.Verh.",Accepted,,M,WCSP (in review),,77076194-1,"S. African J. Bot.","73: 42","","2007",
kew-2746350,A,Apocynaceae,,Cryptolepis,,"albicans",,"","Jum. & H.Perrier",Accepted,,M,WCSP (in review),,95907-1,"Ann. Mus. Colon. Marseille","II, 6: 179","","1908",
kew-2746351,A,Apocynaceae,,Cryptolepis,,"angolensis",,"","Welw. ex Hiern",Accepted,,M,WCSP (in review),,95908-1,"Cat. Afr. Pl.","1: 677","","1898",
kew-2746352,A,Apocynaceae,,Cryptolepis,,"apiculata",,"","K.Schum.",Accepted,,M,WCSP (in review),,,"Pflanzenw. Ost-Afrikas","C: 320","","1895",
kew-2746353,A,Apocynaceae,,Cryptolepis,,"arbuscula",,"","(Radcl.-Sm.) Venter",Accepted,,M,WCSP (in review),,998080-1,"Taxon","46: 713","","1997",
kew-2746354,A,Apocynaceae,,Cryptolepis,,"baumii",,"","N.E.Br.",Accepted,,M,WCSP (in review),,95913-1,"Fl. Trop. Afr.","4(1): 247","","1902",
kew-2746355,A,Apocynaceae,,Cryptolepis,,"baumii",,"","Schltr.",Unresolved,,L,WCSP (in review),,95912-1,"Kunene-Sambesi Exped.","340","","1903",
kew-2606853,A,Apocynaceae,,Cryptolepis,,"bifida",,"","L.Joubert & Venter",Synonym,Illegitimate,M,WCSP (in review),,,"Bot. J. Linn. Soc.","157: 344","","2008",kew-2895908
kew-2746356,A,Apocynaceae,,Cryptolepis,,"bifida",,"","(Blume) P.I.Forst.",Unresolved,,L,WCSP (in review),,973060-1,"Austrobaileya","4: 69","","1993",
kew-2746357,A,Apocynaceae,,Cryptolepis,,"brazzaei",,"","Baill.",Accepted,,M,WCSP (in review),,,"Bull. Mens. Soc. Linn. Paris","2: 803","","1889",
kew-2746358,A,Apocynaceae,,Cryptolepis,,"buchananii",,"","Roem. & Schult.",Synonym,,L,WCSP (in review),,95915-1,"Syst. Veg.","4: 409","","1819",kew-2746366
kew-2746359,A,Apocynaceae,,Cryptolepis,,"buxifolia",,"","Chiov.",Accepted,,M,WCSP (in review),,95916-1,"Racc. Bot. Miss. Consol. Kenya","80","","1935",
kew-2746360,A,Apocynaceae,,Cryptolepis,,"capensis",,"","Schltr.",Accepted,,M,WCSP (in review),,95917-1,"Verh. Bot. Vereins Prov. Brandenburg","35: 47","","1893",
kew-2746361,A,Apocynaceae,,Cryptolepis,,"cryptolepioides",,"","(Schltr.) Bullock",Accepted,,M,WCSP (in review),,95918-1,"Kew Bull.","10: 281","","1955",
kew-2746362,A,Apocynaceae,,Cryptolepis,,"debeerstii",,"","De Wild.",Unresolved,,L,WCSP (in review),,,"Ann. Mus. Congo Belge, Bot.","V, 1: 180","","1905",
kew-2746363,A,Apocynaceae,,Cryptolepis,,"decidua",,"","(Planch. ex Hook.f. & Benth.) N.E.Br.",Accepted,,M,WCSP (in review),,95920-1,"Fl. Trop. Afr.","4(1): 243","","1902",
kew-2746364,A,Apocynaceae,,Cryptolepis,,"decidua",var.,"gillettii","(Hutch. & E.A.Bruce) Bullock",Synonym,,L,WCSP (in review),,,"Kew Bull.","8: 361","","1953",kew-2746373
kew-2746365,A,Apocynaceae,,Cryptolepis,,"delagoensis",,"","Schltr.",Accepted,,M,WCSP (in review),,95921-1,"Bot. Jahrb. Syst.","38: 26","","1905",
kew-2746366,A,Apocynaceae,,Cryptolepis,,"dubia",,"","(Burm.f.) M.R.Almeida",Accepted,,L,WCSP (in review),,20008967-1,"Fl. Maharashtra","3A: 221","","2001",
kew-2746367,A,Apocynaceae,,Cryptolepis,,"eburnea",,"","(Pichon) Venter",Accepted,,M,WCSP (in review),,20003286-1,"Ann. Missouri Bot. Gard.","88: 564","","2001",
kew-2746368,A,Apocynaceae,,Cryptolepis,,"edithae",,"","(Hance) Benth. & Hook.f. ex Maxim.",Synonym,,L,WCSP (in review),,,"Gen. Pl.","2: 741","","1876",kew-2746410
kew-2746369,A,Apocynaceae,,Cryptolepis,,"elegans",,"","Wall. ex G.Don",Synonym,,L,WCSP (in review),,95924-1,"Gen. Hist.","4: 82","","1837",kew-2746410
kew-2746370,A,Apocynaceae,,Cryptolepis,,"elegans",var.,"ciliata","Costantin",Synonym,,L,WCSP (in review),,,"","","","",kew-2746410
kew-2746371,A,Apocynaceae,,Cryptolepis,,"elliotii",,"","Schltr.",Accepted,,M,WCSP (in review),,95925-1,"J. Bot.","33: 300","","1895",
kew-2746372,A,Apocynaceae,,Cryptolepis,,"filiformis",,"","Wall.",Synonym,Invalid,M,WCSP (in review),,95926-1,"Numer. List","4458","","1831",kew-2664787
kew-2746373,A,Apocynaceae,,Cryptolepis,,"gillettii",,"","Hutch. & E.A.Bruce",Accepted,,M,WCSP (in review),,95927-1,"Bull. Misc. Inform. Kew","1941: 144","","1941",
kew-2746374,A,Apocynaceae,,Cryptolepis,,"gossweileri",,"","S.Moore",Accepted,,M,WCSP (in review),,95928-1,"J. Bot.","47: 214","","1909",
tro-50311397,A,Apocynaceae,,Cryptolepis,,"grandidieri",,"","Baill.",Synonym,,M,TRO,50311397,,"Bull. Mens. Soc. Linn. Paris","2: 84(=804)","84","1889",tro-2603990
kew-2746375,A,Apocynaceae,,Cryptolepis,,"grandiflora",,"","Wight",Accepted,,M,WCSP (in review),,95929-1,"Icon. Pl. Ind. Orient.","t. 831","","1845",
kew-2746376,A,Apocynaceae,,Cryptolepis,,"grayi",,"","P.I.Forst.",Unresolved,,L,WCSP (in review),,940119-1,"Austrobaileya","3: 279","","1990",tro-100373682
