ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2749895,A,Cucurbitaceae,,Cyclanthera,,"achocchilla",,"","Spruce ex Cogn.",Synonym,,M,WCSP (in review),,,"Diagn. Cucurb. Nouv.","2: 73","","1877",kew-2749900
kew-2749896,A,Cucurbitaceae,,Cyclanthera,,"australis",,"","Cogn.",Unresolved,,L,WCSP (in review),,292468-1,"Monogr. Phan.","3: 857","","1881",tro-50087088
kew-2749897,A,Cucurbitaceae,,Cyclanthera,,"biglandulifera",,"","Cogn.",Synonym,,M,WCSP (in review),,292469-1,"Monogr. Phan.","3: 849","","1881",kew-2749982
kew-2749898,A,Cucurbitaceae,,Cyclanthera,,"boliviensis",,"","Mart.Crov.",Synonym,,M,WCSP (in review),,73599-2,"Bol. Soc. Argent. Bot.","2: 174","","1948",kew-2749974
kew-2749899,A,Cucurbitaceae,,Cyclanthera,,"bourgaeana",,"","Naudin",Synonym,,M,WCSP (in review),,292471-1,"Ann. Sci. Nat., Bot.","V, 6: 17","","1866",kew-2749902
kew-2749900,A,Cucurbitaceae,,Cyclanthera,,"brachybotrys",,"","(Poepp. & Endl.) Cogn.",Accepted,,M,WCSP (in review),,,"Diagn. Cucurb. Nouv.","2: 73","","1877",
kew-2879237,A,Cucurbitaceae,,Cyclanthera,,"brachybotrys",var.,"achocchilla","Cogn.",Synonym,,L,WCSP (in review),,,"Diagn. Cucurb. Nouv.","2: 64, 73","","1877",kew-2749900
kew-2879239,A,Cucurbitaceae,,Cyclanthera,,"brachybotrys",var.,"microphylla","Cogn.",Synonym,,L,WCSP (in review),,,"Diagn. Cucurb. Nouv.","2: 64, 74","","1877",kew-2749900
kew-2879241,A,Cucurbitaceae,,Cyclanthera,,"brachybotrys",var.,"triloba","Cogn.",Synonym,,L,WCSP (in review),,,"Diagn. Cucurb. Nouv.","2: 64, 74","","1877",kew-2749900
kew-2749902,A,Cucurbitaceae,,Cyclanthera,,"brachystachya",,"","(DC.) Cogn.",Accepted,,M,WCSP (in review),,,"Diagn. Cucurb. Nouv.","2: 64","","1877",
