ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-26600112,P,Thelypteridaceae,,Cyclogramma,,"auriculata",,"","(J. Sm.) Ching",Accepted,,M,TRO,26600112,17433900-1,"Acta Phytotax. Sin.","8(4): 317","317","1963",
tro-26625219,P,Thelypteridaceae,,Cyclogramma,,"chunii",,"","(Ching) Tagawa",Accepted,,M,TRO,26625219,17383230-1,"Acta Phytotax. Geobot.","7(1): 55","55","1938",
tro-50166075,P,Thelypteridaceae,,Cyclogramma,,"costularisora",,"","Ching ex K.H. Shing",Accepted,,M,TRO,50166075,60456445-2,"Fl. Reipubl. Popularis Sin.","4(1): 110, 322","110","1999",
tro-26600113,P,Thelypteridaceae,,Cyclogramma,,"flexilis",,"","(Christ) Tagawa",Accepted,,M,TRO,26600113,17383240-1,"Acta Phytotax. Geobot.","7(1): 55","55","1938",
ifn-48843,P,Thelypteridaceae,,Cyclogramma,,"himalayensis",,"","Tagawa",Unresolved,,L,IPNI,17383250-1,17383250-1,"Acta Phytotax. Geobot.","7: 55. 1938.","","1938",
ifn-48844,P,Thelypteridaceae,,Cyclogramma,,"khasiensis",,"","Tagawa",Unresolved,,L,IPNI,17383260-1,17383260-1,"Acta Phytotax. Geobot.","7: 56. 1938.","","1938",
tro-26611882,P,Thelypteridaceae,,Cyclogramma,,"leveillei",,"","(Christ) Ching",Accepted,,M,TRO,26611882,17433910-1,"Acta Phytotax. Sin.","8(4): 317","317","1963",
tro-50166076,P,Thelypteridaceae,,Cyclogramma,,"maguanensis",,"","Ching ex K.H. Shing",Accepted,,M,TRO,50166076,60456446-2,"Fl. Reipubl. Popularis Sin.","4(1): 322–323","322","1999",
tro-26625217,P,Thelypteridaceae,,Cyclogramma,,"neoauriculata",,"","(Ching) Tagawa",Accepted,,M,TRO,26625217,17383270-1,"Acta Phytotax. Geobot.","7(1): 55","55","1938",
tro-26623835,P,Thelypteridaceae,,Cyclogramma,,"omeiensis",,"","(Baker) Tagawa",Accepted,,M,TRO,26623835,17383280-1,"Acta Phytotax. Geobot.","7(1): 53–54","53","1938",
tro-26625215,P,Thelypteridaceae,,Cyclogramma,,"simulans",,"","(Ching) Tagawa",Accepted,,M,TRO,26625215,17383290-1,"Acta Phytotax. Geobot.","7(1): 53","53","1938",
ifn-48849,P,Thelypteridaceae,,Cyclogramma,,"squamaestipes",,"","Tagawa",Unresolved,,L,IPNI,17383300-1,17383300-1,"Acta Phytotax. Geobot.","7: 55. 1938.","","1938",
tro-26624504,P,Thelypteridaceae,,Cyclogramma,,"tibetica",,"","Ching & S.K. Wu",Accepted,,M,TRO,26624504,17505780-1,"Fl. Xizang.","1: 157–158, pl. 38, f. 4–7","157","1983",
