ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-406569,A,Poaceae,,Cyrtococcum,,"accrescens",,"","(Trin.) Stapf",Synonym,,H,WCSP,406569,397245-1,"Hooker's Icon. Pl.","31: t. 3096","","1922",kew-406584
kew-406570,A,Poaceae,,Cyrtococcum,,"bosseri",,"","A.Camus",Accepted,,H,WCSP,406570,397246-1,"Bull. Mus. Natl. Hist. Nat.","II, 24: 402","","1952",
kew-406571,A,Poaceae,,Cyrtococcum,,"capitis-york",,"","B.K.Simon",Accepted,,H,WCSP,406571,961521-1,"Austrobaileya","3: 592","","1992",
kew-406572,A,Poaceae,,Cyrtococcum,,"carinatum",,"","(J.Presl & C.Presl) Stapf ex Ridl.",Synonym,,H,WCSP,406572,397247-1,"Fl. Malay Penins.","5: 233","","1925",kew-406583
kew-406573,A,Poaceae,,Cyrtococcum,,"chaetophoron",,"","(Roem. & Schult.) Dandy",Accepted,,H,WCSP,406573,397248-1,"J. Bot.","69: 55","","1931",
kew-406574,A,Poaceae,,Cyrtococcum,,"deccanense",,"","Bor",Accepted,,H,WCSP,406574,397249-1,"Kew Bull.","11: 255","","1956",
kew-406575,A,Poaceae,,Cyrtococcum,,"deltoideum",,"","(Hack.) A.Camus",Accepted,,H,WCSP,406575,397250-1,"Bull. Soc. Bot. France","77: 640","","1931",
kew-406576,A,Poaceae,,Cyrtococcum,,"fuscinode",,"","(Steud.) A.Camus",Accepted,,L,WCSP,406576,397251-1,"Bull. Soc. Bot. France","93: 89","","1946",
kew-406577,A,Poaceae,,Cyrtococcum,,"humbertianum",,"","A.Camus",Accepted,,H,WCSP,406577,397252-1,"Bull. Soc. Bot. France","104: 161","","1957",
kew-406578,A,Poaceae,,Cyrtococcum,,"longipes",,"","(Hook.f.) A.Camus",Accepted,,H,WCSP,406578,397253-1,"Bull. Mus. Natl. Hist. Nat.","27: 118","","1921",
kew-406579,A,Poaceae,,Cyrtococcum,,"multinode",,"","(Lam.) Clayton",Accepted,,H,WCSP,406579,397254-1,"Kew Bull.","33: 22","","1978",
kew-406580,A,Poaceae,,Cyrtococcum,,"muricatum",,"","(Retz.) Bor",Synonym,,H,WCSP,406580,397255-1,"Grass. Burma, Ceylon, India & Pakistan","291","","1960",kew-406583
kew-406581,A,Poaceae,,Cyrtococcum,,"nossibeense",,"","A.Camus",Accepted,,H,WCSP,406581,397256-1,"Bull. Soc. Bot. France","99: 144","","1952",
kew-406582,A,Poaceae,,Cyrtococcum,,"oxyphyllum",,"","(Steud.) Stapf",Accepted,,H,WCSP,406582,397257-1,"Hooker's Icon. Pl.","31: t. 3096","","1922",
kew-406583,A,Poaceae,,Cyrtococcum,,"patens",,"","(L.) A.Camus",Accepted,,H,WCSP,406583,397258-1,"Bull. Mus. Natl. Hist. Nat.","27: 118","","1921",
kew-406584,A,Poaceae,,Cyrtococcum,,"patens",var.,"latifolium","(Honda) Ohwi",Accepted,,L,WCSP,406584,,"Acta Phytotax. Geobot.","11: 47","","1942",
tro-25561810,A,Poaceae,,Cyrtococcum,,"patens",var.,"patens","",Synonym,,L,TRO,25561810,,"","","","",kew-406583
kew-406585,A,Poaceae,,Cyrtococcum,,"patens",var.,"schmidtii","(Hack.) A.Camus",Synonym,,L,WCSP,406585,,"Fl. Indo-Chine","7: 465","","1922",kew-406583
kew-406586,A,Poaceae,,Cyrtococcum,,"patens",var.,"warburgii","(Mez) Reeder",Synonym,,L,WCSP,406586,,"J. Arnold Arbor.","28: 286","","1948",kew-406583
kew-406587,A,Poaceae,,Cyrtococcum,,"pilipes",,"","(Nees & Arn. ex Buse) A.Camus",Synonym,,H,WCSP,406587,397259-1,"Bull. Mus. Natl. Hist. Nat.","27: 118","","1921",kew-406582
kew-406588,A,Poaceae,,Cyrtococcum,,"radicans",,"","(Retz.) Stapf",Synonym,,H,WCSP,406588,397260-1,"Hooker's Icon. Pl.","31: t. 3096","","1922",kew-406583
kew-406589,A,Poaceae,,Cyrtococcum,,"schmidtii",,"","(Hack.) Henrard",Synonym,,H,WCSP,406589,397261-1,"Blumea","3: 436","","1940",kew-406583
kew-406590,A,Poaceae,,Cyrtococcum,,"setigerum",,"","(P.Beauv.) Stapf",Synonym,,H,WCSP,406590,397262-1,"Fl. Trop. Afr.","9: 746","","1920",kew-406573
kew-406591,A,Poaceae,,Cyrtococcum,,"sparsicomum",,"","(Steud.) A.Camus",Synonym,,H,WCSP,406591,397263-1,"Bull. Mus. Natl. Hist. Nat.","27: 118","","1921",kew-430408
kew-406592,A,Poaceae,,Cyrtococcum,,"tamatavense",,"","A.Camus",Accepted,,H,WCSP,406592,397264-1,"Bull. Soc. Bot. France","104: 282","","1957",
kew-406593,A,Poaceae,,Cyrtococcum,,"trigonum",,"","(Retz.) A.Camus",Accepted,,H,WCSP,406593,397265-1,"Bull. Mus. Natl. Hist. Nat.","27: 118","","1921",
kew-406594,A,Poaceae,,Cyrtococcum,,"trigonum",var.,"celebicum","Jansen",Synonym,,L,WCSP,406594,,"Reinwardtia","2: 258","","1953",kew-406593
kew-406595,A,Poaceae,,Cyrtococcum,,"warburgii",,"","(Mez) Stapf",Synonym,,H,WCSP,406595,397266-1,"Hooker's Icon. Pl.","31: t. 3096","","1922",kew-406583
