ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2755032,G,Podocarpaceae,,Dacrycarpus,,"cinctus",,"","(Pilg.) de Laub.",Accepted,,H,WCSP,383478,687943-1,"J. Arnold Arbor.","50: 322","","1969",
kew-2755033,G,Podocarpaceae,,Dacrycarpus,,"compactus",,"","(Wasscher) de Laub.",Accepted,,H,WCSP,383479,687944-1,"J. Arnold Arbor.","50: 336","","1969",
kew-2755034,G,Podocarpaceae,,Dacrycarpus,,"cumingii",,"","(Parl.) de Laub.",Accepted,,H,WCSP,383480,687945-1,"J. Arnold Arbor.","50: 329","","1969",
kew-2755035,G,Podocarpaceae,,Dacrycarpus,,"dacrydiifolius",,"","(Wasscher) Gaussen",Synonym,Invalid,H,WCSP,383481,,"Trav. Lab. Forest. Toulouse","1(2): 148","","1974",kew-2755032
kew-2755036,G,Podocarpaceae,,Dacrycarpus,,"dacrydioides",,"","(A.Rich.) de Laub.",Accepted,,H,WCSP,383482,687947-1,"J. Arnold Arbor.","50: 337","","1969",
kew-2755037,G,Podocarpaceae,,Dacrycarpus,,"expansus",,"","de Laub.",Accepted,,H,WCSP,383483,687948-1,"J. Arnold Arbor.","50: 334","","1969",
kew-2755038,G,Podocarpaceae,,Dacrycarpus,,"imbricatus",,"","(Blume) de Laub.",Accepted,,H,WCSP,383484,687949-1,"J. Arnold Arbor.","50: 317","","1969",
kew-2755039,G,Podocarpaceae,,Dacrycarpus,,"imbricatus",var.,"curvulus","(Miq.) de Laub.",Accepted,,L,WCSP,383485,,"J. Arnold Arbor.","50: 326","","1969",
kew-469226,G,Podocarpaceae,,Dacrycarpus,,"imbricatus",var.,"imbricatus","",Synonym,,L,WCSP,469226,,"Unknown","","","",kew-2755038
kew-2755040,G,Podocarpaceae,,Dacrycarpus,,"imbricatus",var.,"patulus","de Laub.",Synonym,,L,WCSP,383486,,"J. Arnold Arbor.","50: 320","","1969",kew-2755038
kew-2755041,G,Podocarpaceae,,Dacrycarpus,,"imbricatus",var.,"robustus","de Laub.",Accepted,,L,WCSP,383487,,"J. Arnold Arbor.","50: 323","","1969",
kew-2755042,G,Podocarpaceae,,Dacrycarpus,,"kawaii",,"","(Hayata) Gaussen",Synonym,Invalid,H,WCSP,383488,,"Trav. Lab. Forest. Toulouse","1(2): 140","","1974",kew-2755038
kew-2755043,G,Podocarpaceae,,Dacrycarpus,,"kinabaluensis",,"","(Wasscher) de Laub.",Accepted,,H,WCSP,383489,687951-1,"J. Arnold Arbor.","50: 330","","1969",
kew-2755044,G,Podocarpaceae,,Dacrycarpus,,"leptophyllus",,"","(Wasscher) Gaussen",Synonym,Invalid,H,WCSP,383490,,"Trav. Lab. Forest. Toulouse","1(2): 150","","1974",kew-2755079
kew-2755045,G,Podocarpaceae,,Dacrycarpus,,"papuana",,"","(Ridl.) Gaussen",Synonym,Invalid,H,WCSP,383491,,"Trav. Lab. Forest. Toulouse","1(2): 142","","1974",kew-2755041
kew-2755046,G,Podocarpaceae,,Dacrycarpus,,"steupii",,"","(Wasscher) de Laub.",Accepted,,H,WCSP,383492,687954-1,"J. Arnold Arbor.","50: 328","","1969",
kew-2755047,G,Podocarpaceae,,Dacrycarpus,,"vieillardii",,"","(Parl.) de Laub.",Accepted,,H,WCSP,383493,687955-1,"J. Arnold Arbor.","50: 326","","1969",
