ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2755347,A,Gesneriaceae,,Dalbergaria,,"albiflora",,"","(L.P.Kvist & L.E.Skog) Wiehler",Synonym,,M,WCSP (in review),,987107-1,"Gesneriana","1: 121","","1995",kew-2731662
kew-2755348,A,Gesneriaceae,,Dalbergaria,,"albovinosa",,"","M.Freiberg",Unresolved,,L,WCSP (in review),,997295-1,"Phyton (Horn)","37: 134","","1997",tro-100376896
kew-2755349,A,Gesneriaceae,,Dalbergaria,,"ampliata",,"","Wiehler",Synonym,,M,WCSP (in review),,75874-2,"Selbyana","2: 101","","1977",kew-2731666
kew-2755350,A,Gesneriaceae,,Dalbergaria,,"archidonae",,"","(Cuatrec.) Wiehler",Synonym,,M,WCSP (in review),,75875-2,"Phytologia","27: 316","","1973",kew-2731762
kew-2755351,A,Gesneriaceae,,Dalbergaria,,"asteroloma",,"","Wiehler",Synonym,,M,WCSP (in review),,75876-2,"Selbyana","2: 70","","1977",kew-2731676
kew-2755352,A,Gesneriaceae,,Dalbergaria,,"aureonitens",,"","(Hook.) Wiehler",Synonym,,M,WCSP (in review),,75877-2,"Phytologia","27: 316","","1973",kew-2731958
tro-50071908,A,Gesneriaceae,,Dalbergaria,,"capillosa",,"","(L.P. Kvist & L.E. Skog) Wiehler",Synonym,,M,TRO,50071908,,"Gesneriana","1(1): 121","121","1995",kew-2731701
kew-2755353,A,Gesneriaceae,,Dalbergaria,,"cappilosa",,"","(L.P.Kvist & L.E.Skog) Wiehler",Unresolved,,L,WCSP (in review),,987108-1,"Gesneriana","1: 121","","1995",
kew-2755354,A,Gesneriaceae,,Dalbergaria,,"consanguinea",,"","(Hanst.) Wiehler",Synonym,,M,WCSP (in review),,75878-2,"Phytologia","27: 317","","1973",kew-2731724
kew-2755355,A,Gesneriaceae,,Dalbergaria,,"crassa",,"","(C.V.Morton) Wiehler",Synonym,,M,WCSP (in review),,75879-2,"Phytologia","27: 317","","1973",kew-2731735
tro-14000726,A,Gesneriaceae,,Dalbergaria,,"cruenta",,"","(B.D. Morley) Wiehler",Synonym,,M,TRO,14000726,75880-2,"Selbyana","2: 102","102","1977",kew-2731740
kew-2755356,A,Gesneriaceae,,Dalbergaria,,"cubensis",,"","(Urb.) Borhidi",Synonym,,M,WCSP (in review),,912370-1,"Acta Bot. Hung.","29: 189","","1983",kew-2731958
kew-2755357,A,Gesneriaceae,,Dalbergaria,,"darienensis",,"","(C.V.Morton) Wiehler",Synonym,,M,WCSP (in review),,75883-2,"Phytologia","27: 317","","1973",kew-2731726
