ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
ild-51552,A,Leguminosae,,Derris,,"acuminata",,"","Benth.",Accepted,,H,ILDIS,51552,,"","","","",
ild-52975,A,Leguminosae,,Derris,,"acuminata",,"","""sensu auct.,  non Benth.""",Misapplied,,H,ILDIS,52975,,"","","","",ild-52974
ild-51553,A,Leguminosae,,Derris,,"acuminata",var.,"acuminata","",Synonym,,L,ILDIS,51553,,"","","","",ild-51552
ild-52990,A,Leguminosae,,Derris,,"affinis",,"","Benth.",Synonym,,H,ILDIS,52990,,"","","","",ild-4542
ild-43972,A,Leguminosae,,Derris,,"albo-rubra",,"","Hemsl.",Accepted,,H,ILDIS,43972,,"","","","",
ild-16495,A,Leguminosae,,Derris,,"amazonica",,"","Killip",Synonym,,H,ILDIS,16495,,"","","","",ild-19471
kew-2761434,A,Leguminosae,,Derris,,"amherstianus",,"","Thoth.",Unresolved,,L,WCSP (in review),,491264-1,"Bangladesh J. Bot.","4: 59","","1975 publ. 1976",
ild-32267,A,Leguminosae,,Derris,,"amoena",,"","Benth.",Accepted,,H,ILDIS,32267,,"","","","",
ild-46761,A,Leguminosae,,Derris,,"amoena",var.,"amoena","",Synonym,,L,ILDIS,46761,,"","","","",ild-32267
ild-46762,A,Leguminosae,,Derris,,"amoena",var.,"maingayana","Prain",Synonym,,L,ILDIS,46762,,"","","","",ild-51723
ild-51557,A,Leguminosae,,Derris,,"andamanica",,"","Prain",Accepted,,H,ILDIS,51557,,"","","","",
ild-16496,A,Leguminosae,,Derris,,"angulata",,"","(Ducke) Ducke",Accepted,,L,ILDIS,16496,,"","","","",
kew-2761439,A,Leguminosae,,Derris,,"araripensis",,"","(Benth.) N.F.Mattos",Unresolved,,L,WCSP (in review),,996664-1,"Loefgrenia","98: 3","","1989",
ild-53022,A,Leguminosae,,Derris,,"atroviolacea",,"","Elmer",Synonym,,H,ILDIS,53022,,"","","","",ild-53019
ild-51581,A,Leguminosae,,Derris,,"bakeri",,"","Thoth.",Synonym,,H,ILDIS,51581,,"","","","",ild-51580
ild-46763,A,Leguminosae,,Derris,,"balansae",,"","Gagnep.",Accepted,,H,ILDIS,46763,,"","","","",
ild-32541,A,Leguminosae,,Derris,,"benthamii",,"","(Thwaites) Thwaites",Accepted,,H,ILDIS,32541,,"","","","",
ild-51559,A,Leguminosae,,Derris,,"benthamii",var.,"benthamii","",Synonym,,L,ILDIS,51559,,"","","","",ild-32541
ild-51563,A,Leguminosae,,Derris,,"benthamii",var.,"wightii","(Baker) Thoth.",Accepted,,L,ILDIS,51563,,"","","","",
ild-44492,A,Leguminosae,,Derris,,"bonatiana",,"","Pamp.",Synonym,,H,ILDIS,44492,,"","","","",ild-44488
tro-13018213,A,Leguminosae,,Derris,,"brachyptera",,"","(Benth.) Baker",Synonym,,M,TRO,13018213,491273-1,"Fl. Trop. Afr.","2: 246","246","1871",tro-13058094
ild-32542,A,Leguminosae,,Derris,,"brevipes",,"","(Benth.) Baker",Accepted,,H,ILDIS,32542,,"","","","",
ild-51565,A,Leguminosae,,Derris,,"brevipes",var.,"brevipes","",Synonym,,L,ILDIS,51565,,"","","","",ild-32542
ild-43961,A,Leguminosae,,Derris,,"breviramosa",,"","F.C.How",Accepted,,H,ILDIS,43961,,"","","","",
kew-2761451,A,Leguminosae,,Derris,,"campestris",,"","(Mart. ex Benth.) N.F.Mattos",Unresolved,,L,WCSP (in review),,996661-1,"Loefgrenia","98: 2","","1989",
ild-32266,A,Leguminosae,,Derris,,"canarensis",,"","(Dalzell) Baker",Accepted,,H,ILDIS,32266,,"","","","",
ild-52179,A,Leguminosae,,Derris,,"canescens",,"","Elmer",Synonym,,H,ILDIS,52179,,"","","","",ild-52180
ild-52946,A,Leguminosae,,Derris,,"caudata",,"","Backer",Accepted,,H,ILDIS,52946,,"","","","",
ild-43960,A,Leguminosae,,Derris,,"caudatilimba",,"","F.C.How",Accepted,,H,ILDIS,43960,,"","","","",
ild-52953,A,Leguminosae,,Derris,,"cauliflora",,"","Pulle",Synonym,,H,ILDIS,52953,,"","","","",ild-52952
ild-43959,A,Leguminosae,,Derris,,"cavaleriei",,"","Gagnep.",Accepted,,H,ILDIS,43959,,"","","","",
ild-52947,A,Leguminosae,,Derris,,"cebuensis",,"","Merr.",Accepted,,H,ILDIS,52947,,"","","","",
tro-13018216,A,Leguminosae,,Derris,,"chinensis",,"","Benth.",Synonym,,M,TRO,13018216,491284-1,"J. Linn. Soc., Bot.","4(Suppl.): 104","104","1860",tro-13067320
tro-13022528,A,Leguminosae,,Derris,,"claessensi",,"","De Wild.",Unresolved,,L,TRO,13022528,,"Bull. Jard. Bot. État Brux.","7: 225","225","1920",
ild-16497,A,Leguminosae,,Derris,,"confertiflora",,"","(Benth.) J.F.Macbr.",Accepted,,L,ILDIS,16497,,"","","","",
tro-13022485,A,Leguminosae,,Derris,,"congolensis",,"","De Wild.",Synonym,,M,TRO,13022485,491287-1,"Études Fl. Bas- Moyen-Congo","1: 149","149","1904",ild-4549
tro-13022529,A,Leguminosae,,Derris,,"coriacea",,"","De Wild.",Unresolved,,L,TRO,13022529,491288-1,"Bull. Jard. Bot. État Brux.","7: 227","227","1920",
ild-13182,A,Leguminosae,,Derris,,"costaricensis",,"","Donn.Sm.",Synonym,,H,ILDIS,13182,,"","","","",ild-10897
kew-2761463,A,Leguminosae,,Derris,,"costata",,"","(Benth.) N.F.Mattos",Unresolved,,L,WCSP (in review),,996667-1,"Loefgrenia","98: 3","","1989",
tro-13018217,A,Leguminosae,,Derris,,"cumingii",,"","Benth.",Synonym,,M,TRO,13018217,491290-1,"J. Linn. Soc., Bot.","4(Suppl.): 104","104","1860",tro-13067321
ild-32263,A,Leguminosae,,Derris,,"cuneifolia",,"","Benth.",Accepted,,H,ILDIS,32263,,"","","","",
ild-32265,A,Leguminosae,,Derris,,"cuneifolia",var.,"cuneifolia","",Synonym,,L,ILDIS,32265,,"","","","",ild-32263
ild-43982,A,Leguminosae,,Derris,,"cuneifolia",var.,"malaccensis","Benth.",Synonym,,L,ILDIS,43982,,"","","","",ild-4539
tro-13022530,A,Leguminosae,,Derris,,"cylindrica",,"","De Wild.",Unresolved,,L,TRO,13022530,491292-1,"Bull. Jard. Bot. État Brux.","7: 228","228","1920",
ild-4541,A,Leguminosae,,Derris,,"dalbergioides",,"","Baker",Synonym,,H,ILDIS,4541,,"","","","",ild-4540
ild-52949,A,Leguminosae,,Derris,,"danauensis",,"","Backer",Accepted,,H,ILDIS,52949,,"","","","",
kew-2761471,A,Leguminosae,,Derris,,"dasycalyx",,"","(Harms) N.F.Mattos",Unresolved,,L,WCSP (in review),,996669-1,"Loefgrenia","98: 4","","1989",
ild-16498,A,Leguminosae,,Derris,,"denudata",,"","(Benth.) Ducke",Accepted,,L,ILDIS,16498,,"","","","",
tro-13022531,A,Leguminosae,,Derris,,"dewevrei",,"","De Wild.",Unresolved,,L,TRO,13022531,491296-1,"Bull. Jard. Bot. État Brux.","7: 229","229","1920",
ild-46747,A,Leguminosae,,Derris,,"diadelpha",,"","(Blanco) Merr.",Synonym,,L,ILDIS,46747,,"","","","",ild-32279
