ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2766225,A,Caryophyllaceae,,Dichoglottis,,"alsinoides",,"","Walp.",Synonym,,M,WCSP (in review),,154068-1,"Ann. Bot. Syst.","1: 90","","1848",kew-2649158
kew-2766226,A,Caryophyllaceae,,Dichoglottis,,"australis",,"","Schltdl.",Synonym,,M,WCSP (in review),,154069-1,"Linnaea","20: 631","","1847",kew-2836937
kew-2766227,A,Caryophyllaceae,,Dichoglottis,,"bellidifolia",,"","Walp.",Synonym,,M,WCSP (in review),,154070-1,"Repert. Bot. Syst.","5: 78","","1845",kew-2836597
kew-2766228,A,Caryophyllaceae,,Dichoglottis,,"floribunda",,"","Kar. & Kir.",Synonym,,L,WCSP (in review),,154071-1,"Bull. Soc. Imp. Naturalistes Moscou","15: 165","","1842",kew-2836674
kew-2766229,A,Caryophyllaceae,,Dichoglottis,,"frankenioides",,"","Walp.",Synonym,,M,WCSP (in review),,154072-1,"Repert. Bot. Syst.","5: 78","","1845",kew-2678896
kew-2766230,A,Caryophyllaceae,,Dichoglottis,,"hispida",,"","Walp.",Synonym,,M,WCSP (in review),,154073-1,"Repert. Bot. Syst.","5: 78","","1845",kew-2836709
kew-2766231,A,Caryophyllaceae,,Dichoglottis,,"linearifolia",,"","Fisch. & C.A.Mey.",Synonym,,M,WCSP (in review),,154074-1,"Index Seminum (LE)","1: 26","","1835",kew-2836736
kew-2766232,A,Caryophyllaceae,,Dichoglottis,,"muralis",,"","Jaub. & Spach",Synonym,,M,WCSP (in review),,154077-1,"Ill. Pl. Orient.","1: 13","","1842",kew-2836754
kew-2766233,A,Caryophyllaceae,,Dichoglottis,,"scovitsii",,"","Walp.",Unresolved,,L,WCSP (in review),,154078-1,"Repert. Bot. Syst.","5: 78","","1845",
kew-2766234,A,Caryophyllaceae,,Dichoglottis,,"spathulifolia",,"","Fisch. & C.A.Mey. ex Ledeb.",Synonym,,M,WCSP (in review),,154079-1,"Fl. Ross.","1: 290","","1842",kew-2836888
kew-2766235,A,Caryophyllaceae,,Dichoglottis,,"trichopoda",,"","Walp.",Synonym,,M,WCSP (in review),,154080-1,"Repert. Bot. Syst.","5: 78","","1845",kew-2836736
kew-2766236,A,Caryophyllaceae,,Dichoglottis,,"tubulosa",,"","Jaub. & Spach",Synonym,,M,WCSP (in review),,154081-1,"Ill. Pl. Orient.","1: 14","","1842",kew-2836937
