ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2768930,A,Primulaceae,,Dionysia,,"afghanica",,"","Grey-Wilson",Accepted,,M,WCSP (in review),,700815-1,"Kew Bull.","29: 57","","1974",
kew-2768931,A,Primulaceae,,Dionysia,,"archibaldii",,"","Wendelbo",Accepted,,M,WCSP (in review),,700816-1,"Bot. Not.","120: 145","","1967",
kew-2768932,A,Primulaceae,,Dionysia,,"aretioides",,"","(Lehm.) Boiss.",Accepted,,M,WCSP (in review),,700817-1,"Diagn. Pl. Orient.","7: 68","","1846",
kew-2768933,A,Primulaceae,,Dionysia,,"aretioides",var.,"adenophora","Bornm.",Synonym,,L,WCSP (in review),,,"Bull. Herb. Boissier","II, 3: 593","","1903",kew-2768969
kew-2768934,A,Primulaceae,,Dionysia,,"aubrietioides",,"","Jamzad & Mozaff.",Accepted,,M,WCSP (in review),,996010-1,"Iranian J. Bot.","7: 19","","1996",
kew-2768935,A,Primulaceae,,Dionysia,,"aucheri",,"","(Duby) Boiss.",Synonym,,M,WCSP (in review),,700818-1,"Fl. Orient.","4: 19","","1875",kew-2768976
kew-2768936,A,Primulaceae,,Dionysia,,"bachtiarica",,"","Bornm. & Alex.",Synonym,,M,WCSP (in review),,700819-1,"Bull. Herb. Boissier","II, 4: 515","","1904",kew-2768986
kew-2768937,A,Primulaceae,,Dionysia,,"balsamea",,"","Wendelbo & Rech.f.",Accepted,,M,WCSP (in review),,700820-1,"Aarbok Univ. Bergen, Mat.-Naturvitensk. Ser.","19: 7","","1963 publ. 1964",
kew-2768938,A,Primulaceae,,Dionysia,,"bazoftica",,"","Jamzad",Accepted,,M,WCSP (in review),,996011-1,"Iranian J. Bot.","7: 20","","1996",
kew-2768939,A,Primulaceae,,Dionysia,,"bolivarii",,"","Pau",Synonym,,M,WCSP (in review),,700821-1,"Trab. Mus. Ci. Nat., Ser. Bot.","14: 27","","1918",kew-2768943
kew-2768940,A,Primulaceae,,Dionysia,,"bornmuelleri",,"","(Pax) Clay",Accepted,,L,WCSP (in review),,,"Present-Day Rock Garden","194","","1937",
kew-2768941,A,Primulaceae,,Dionysia,,"bryoides",,"","Boiss.",Accepted,,M,WCSP (in review),,,"Diagn. Pl. Orient.","7: 66","","1846",
kew-2768942,A,Primulaceae,,Dionysia,,"bryomorpha",,"","(Lipsky) Ovcz.",Synonym,,M,WCSP (in review),,700825-1,"Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R.","17: 326","","1955",kew-2637416
kew-2768943,A,Primulaceae,,Dionysia,,"caespitosa",,"","Boiss.",Accepted,,M,WCSP (in review),,700826-1,"Diagn. Pl. Orient.","7: 67","","1846",
kew-2768944,A,Primulaceae,,Dionysia,,"caespitosa",subsp.,"bolivarii","(Pau) Grey-Wilson",Synonym,,L,WCSP (in review),,955380-1,"Gen. Dionysia","99","","1989",kew-2768943
kew-2604170,A,Primulaceae,,Dionysia,,"cristagalli",,"","Lidén",Accepted,,M,WCSP (in review),,77083699-1,"Willdenowia","37: 54","","2007",
kew-2768945,A,Primulaceae,,Dionysia,,"curviflora",,"","Bunge",Accepted,,M,WCSP (in review),,700827-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","III, 16: 561","","1871",
kew-2768946,A,Primulaceae,,Dionysia,,"demawendica",,"","Bornm.",Synonym,,M,WCSP (in review),,700828-1,"Beih. Bot. Centralbl.","33(2): 301","","1915",kew-2768932
kew-2768947,A,Primulaceae,,Dionysia,,"denticulata",,"","Wendelbo",Accepted,,M,WCSP (in review),,700829-1,"Aarbok Univ. Bergen, Mat.-Naturvitensk. Ser.","19: 11","","1963 publ. 1964",
kew-2768948,A,Primulaceae,,Dionysia,,"diapensiifolia",,"","Boiss.",Accepted,,M,WCSP (in review),,700830-1,"Diagn. Pl. Orient.","7: 65","","1846",
kew-2768949,A,Primulaceae,,Dionysia,,"drabifolia",,"","Bunge",Synonym,,M,WCSP (in review),,700831-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","III, 16: 558","","1871",kew-2768948
kew-2768950,A,Primulaceae,,Dionysia,,"esfandiarii",,"","Wendelbo",Accepted,,M,WCSP (in review),,700832-1,"Bot. Not.","123: 302","","1970",
kew-2768951,A,Primulaceae,,Dionysia,,"freitagii",,"","Wendelbo",Accepted,,M,WCSP (in review),,700833-1,"Bot. Not.","123: 303","","1970",
kew-2768952,A,Primulaceae,,Dionysia,,"gandzhinae",,"","Kamelin",Accepted,,M,WCSP (in review),,904048-1,"Bot. Zhurn. (Moscow & Leningrad)","69: 1403","","1984",
kew-2768953,A,Primulaceae,,Dionysia,,"gaubae",,"","Bornm.",Accepted,,M,WCSP (in review),,700834-1,"Repert. Spec. Nov. Regni Veg.","41: 179","","1936",
kew-2768954,A,Primulaceae,,Dionysia,,"haussknechtii",,"","Bornm. & Strauss",Accepted,,M,WCSP (in review),,700835-1,"Bull. Herb. Boissier","II, 4: 514","","1904",
