ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-62117,A,Verbenaceae,,Diostea,,"chamaedryfolia",,"","Hook.f.",Synonym,,H,WCSP,62117,862700-1,"Bot. Mag.","126: t. 7695","","1900",kew-372556
kew-62118,A,Verbenaceae,,Diostea,,"cinerascens",,"","(Schauer) Moldenke",Synonym,,H,WCSP,62118,81268-2,"Revista Sudamer. Bot.","5: 1","","1937",kew-463521
kew-62119,A,Verbenaceae,,Diostea,,"filifolia",,"","Miers",Synonym,,H,WCSP,62119,862702-1,"Trans. Linn. Soc. London","27: 106","","1870",kew-105403
kew-62120,A,Verbenaceae,,Diostea,,"infuscata",,"","Miers",Synonym,,H,WCSP,62120,862703-1,"Trans. Linn. Soc. London","27: 107","","1870",kew-372556
kew-62121,A,Verbenaceae,,Diostea,,"juncea",,"","(Gillies & Hook.) Miers",Synonym,,H,WCSP,62121,862705-1,"Trans. Linn. Soc. London","27: 102","","1870",kew-372556
kew-343968,A,Verbenaceae,,Diostea,,"recurvata",,"","Ravenna",Synonym,,H,WCSP,343968,77070610-1,"Onira","10: 37","","2005",kew-372555
kew-62122,A,Verbenaceae,,Diostea,,"scirpea",,"","(Phil.) Miers",Synonym,,H,WCSP,62122,862706-1,"Trans. Linn. Soc. London","27: 107","","1870",kew-463550
kew-62123,A,Verbenaceae,,Diostea,,"scoparia",,"","(Gillies & Hook.) Miers",Synonym,,H,WCSP,62123,862707-1,"Trans. Linn. Soc. London","27: 104","","1870",kew-463550
kew-62124,A,Verbenaceae,,Diostea,,"scoparia",var.,"puberula","(Tronc.) Moldenke",Synonym,,L,WCSP,62124,81269-2,"Phytologia","19: 319","","1970",kew-463550
kew-62125,A,Verbenaceae,,Diostea,,"scoparia",var.,"subulata","Moldenke",Synonym,,L,WCSP,62125,81270-2,"Phytologia","44: 123","","1979",kew-463550
kew-62126,A,Verbenaceae,,Diostea,,"stenophylla",,"","Miers",Synonym,,H,WCSP,62126,862708-1,"Trans. Linn. Soc. London","27: 105","","1870",kew-105402
kew-62127,A,Verbenaceae,,Diostea,,"valdiviana",,"","(Phil.) Miers",Synonym,,H,WCSP,62127,862709-1,"Trans. Linn. Soc. London","27: 107","","1870",kew-372556
