ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2771103,A,Thymelaeaceae,,Diplomorpha,,"albiflora",,"","(Yatabe) Nakai",Unresolved,,L,WCSP (in review),,831556-1,"J. Jap. Bot.","13: 881","","1937",
kew-62498,A,Phyllanthaceae,,Diplomorpha,,"bacciformis",,"","(L.) Kuntze",Synonym,,H,WCSP,62498,344834-1,"Revis. Gen. Pl.","2: 603","","1891",kew-186400
kew-2771104,A,Thymelaeaceae,,Diplomorpha,,"bicornuta",,"","(Hillebr.) A.Heller",Unresolved,,L,WCSP (in review),,831557-1,"Minnesota Bot. Stud.","1: 861","","1896",
kew-2771105,A,Thymelaeaceae,,Diplomorpha,,"buxifolia",,"","(A.Gray) A.Heller",Unresolved,,L,WCSP (in review),,831558-1,"Minnesota Bot. Stud.","1: 861","","1896",
kew-2771106,A,Thymelaeaceae,,Diplomorpha,,"canescens",,"","C.A.Mey.",Unresolved,,L,WCSP (in review),,831559-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","1: 357","","1843",
kew-2771107,A,Thymelaeaceae,,Diplomorpha,,"capitellata",,"","H.Hara",Synonym,,M,WCSP (in review),,831560-1,"J. Jap. Bot.","13: 178","","1937",kew-2757344
kew-2771108,A,Thymelaeaceae,,Diplomorpha,,"chamaedaphne",,"","C.A.Mey.",Unresolved,,L,WCSP (in review),,831561-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","1: 358","","1843",
kew-2771109,A,Thymelaeaceae,,Diplomorpha,,"dolichantha",,"","(Diels) Hamaya",Unresolved,,L,WCSP (in review),,831562-1,"Bull. Tokyo Univ. Forests","55: 61","","1959",
kew-2893709,A,Thymelaeaceae,,Diplomorpha,,"dolichantha",var.,"effusa","(Rehder) Hamaya",Unresolved,,L,WCSP (in review),,,"Acta Horti Gothob.","26: 95","","1963",tro-32000604
kew-2893710,A,Thymelaeaceae,,Diplomorpha,,"dolichantha",var.,"pilosa","(W.C.Cheng) Hamaya",Unresolved,,L,WCSP (in review),,,"Acta Horti Gothob.","26: 94","","1963",
kew-2893711,A,Thymelaeaceae,,Diplomorpha,,"dolichantha",var.,"pubescens","(Domke) Hamaya",Unresolved,,L,WCSP (in review),,,"Acta Horti Gothob.","26: 93","","1963",
kew-2771110,A,Thymelaeaceae,,Diplomorpha,,"ellipsocarpa",,"","(Maxim.) Nakai",Unresolved,,L,WCSP (in review),,831564-1,"J. Jap. Bot.","13: 881","","1937",
kew-2771111,A,Thymelaeaceae,,Diplomorpha,,"elongata",,"","(A.Gray) A.Heller",Unresolved,,L,WCSP (in review),,831565-1,"Minnesota Bot. Stud.","1: 859","","1896",
kew-2893712,A,Thymelaeaceae,,Diplomorpha,,"elongata",var.,"recurva","(Hildebr.) A.Heller",Unresolved,,L,WCSP (in review),,,"Minnesota Bot. Stud.","1: 859","","1897",tro-32000123
kew-2771112,A,Thymelaeaceae,,Diplomorpha,,"ganpi",,"","(Siebold & Zucc.) Nakai",Unresolved,,L,WCSP (in review),,831566-1,"J. Jap. Bot.","13: 881","","1937",
kew-2771113,A,Thymelaeaceae,,Diplomorpha,,"hanalei",,"","(Wawra) A.Heller",Synonym,,M,WCSP (in review),,831567-1,"Minnesota Bot. Stud.","1: 861","","1896",kew-2466960
kew-62499,A,Phyllanthaceae,,Diplomorpha,,"herbacea",,"","Griff.",Synonym,,H,WCSP,62499,344835-1,"Not. Pl. Asiat.","4: 479","","1854",kew-186400
kew-2771114,A,Thymelaeaceae,,Diplomorpha,,"japonica",,"","Endl.",Unresolved,,L,WCSP (in review),,831568-1,"Gen. Pl.","Suppl. 4(2): 66","","1848",
kew-2771115,A,Thymelaeaceae,,Diplomorpha,,"kudoi",,"","(Makino) Masam.",Unresolved,,L,WCSP (in review),,831569-1,"Trans. Nat. Hist. Soc. Taiwan","23: 205","","1933",
kew-2771116,A,Thymelaeaceae,,Diplomorpha,,"mononectaria",,"","(Hayata) Nakai",Unresolved,,L,WCSP (in review),,831570-1,"J. Jap. Bot.","13: 882","","1937",
kew-2771117,A,Thymelaeaceae,,Diplomorpha,,"oahuensis",,"","(A.Gray) A.Heller",Unresolved,,L,WCSP (in review),,831571-1,"Minnesota Bot. Stud.","1: 860","","1896",
kew-2771118,A,Thymelaeaceae,,Diplomorpha,,"ohsumiensis",,"","(Hatus.) Hamaya",Unresolved,,L,WCSP (in review),,831572-1,"Bull. Tokyo Univ. Forests","55: 60","","1959",
kew-2771119,A,Thymelaeaceae,,Diplomorpha,,"pauciflora",,"","(Franch. & Sav.) Nakai",Unresolved,,L,WCSP (in review),,831573-1,"J. Jap. Bot.","13: 882","","1937",
kew-2771121,A,Thymelaeaceae,,Diplomorpha,,"phillyreifolia",,"","(A.Gray) A.Heller",Unresolved,,L,WCSP (in review),,831574-1,"Minnesota Bot. Stud.","1: 861","","1896",
kew-2771122,A,Thymelaeaceae,,Diplomorpha,,"phymatoglossa",,"","(Koidz.) Nakai",Unresolved,,L,WCSP (in review),,831575-1,"J. Jap. Bot.","13: 882","","1937",
tro-50319803,A,Thymelaeaceae,,Diplomorpha,×,"ramulosa",,"","Hamaya",Accepted,,M,TRO,50319803,831576-1,"Bull. Tokyo Univ. Forest.","55: 62","62","1959",
kew-2771124,A,Thymelaeaceae,,Diplomorpha,,"sandwicensis",,"","(Meisn.) A.Heller",Synonym,,M,WCSP (in review),,831577-1,"Minnesota Bot. Stud.","1: 861","","1896",tro-32000133
kew-2771125,A,Thymelaeaceae,,Diplomorpha,,"sikokiana",,"","(Franch. & Sav.) Honda",Unresolved,,L,WCSP (in review),,,"Tennenkinenbutu-Tyosa-Hokoku, Syokubutu","10: 21","","1930",
tro-50319817,A,Thymelaeaceae,,Diplomorpha,,"sikokiana",,"","(Franch. & Sav.) Nakai",Synonym,,M,TRO,50319817,,"J. Jap. Bot.","13(12): 882","882","1937",tro-50319190
kew-2771126,A,Thymelaeaceae,,Diplomorpha,,"sikokumontana",,"","Akasawa",Unresolved,,L,WCSP (in review),,980396-1,"Bull. Kochi Women's Univ., Ser. Nat. Sci.","25: 4","","1977",
kew-2771127,A,Thymelaeaceae,,Diplomorpha,,"trichotoma",,"","(Thunb.) Nakai",Unresolved,,L,WCSP (in review),,831579-1,"Fl. Sylv. Kor.","17: 39","","1928",tro-50175671
kew-2771128,A,Thymelaeaceae,,Diplomorpha,,"uva-ursi",,"","(A.Gray) A.Heller",Unresolved,,L,WCSP (in review),,831580-1,"Minnesota Bot. Stud.","1: 861","","1896",
kew-2771129,A,Thymelaeaceae,,Diplomorpha,,"villosa",,"","(Hillebr.) A.Heller",Unresolved,,L,WCSP (in review),,831581-1,"Minnesota Bot. Stud.","1: 861","","1896",
kew-2771130,A,Thymelaeaceae,,Diplomorpha,,"virgata",,"","(Meisn.) C.A.Mey.",Unresolved,,L,WCSP (in review),,831582-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","1: 357","","1843",
kew-2771131,A,Thymelaeaceae,,Diplomorpha,,"viridiflora",,"","(Meisn.) C.A.Mey.",Unresolved,,L,WCSP (in review),,831583-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","1: 358","","1843",
kew-2771132,A,Thymelaeaceae,,Diplomorpha,,"yakushimensis",,"","(Makino) Masam.",Unresolved,,L,WCSP (in review),,831584-1,"Trans. Nat. Hist. Soc. Taiwan","23: 205","","1933",
