ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-12801247,A,Phyllanthaceae,,Discocarpus,,"bahiensis",,"","Müll. Arg.",Unresolved,,L,TRO,12801247,,"","","","",
kew-63037,A,Phyllanthaceae,,Discocarpus,,"brasiliensis",,"","Klotzsch",Synonym,,H,WCSP,63037,344836-1,"Arch. Naturgesch.","7: 201","","1841",kew-63039
kew-63038,A,Peraceae,,Discocarpus,,"duckeanus",,"","Jabl.",Synonym,,H,WCSP,63038,82106-2,"Mem. New York Bot. Gard.","17: 85","","1967",kew-37343
kew-63039,A,Phyllanthaceae,,Discocarpus,,"essequeboensis",,"","Klotzsch",Accepted,,H,WCSP,63039,344838-1,"Arch. Naturgesch.","7: 201","","1841",
kew-63040,A,Phyllanthaceae,,Discocarpus,,"gentryi",,"","S.M.Hayden",Accepted,,H,WCSP,63040,306673-2,"Ann. Missouri Bot. Gard.","83: 159","","1996",
kew-63041,A,Phyllanthaceae,,Discocarpus,,"hirtus",,"","(L.f.) Pax & K.Hoffm.",Synonym,,H,WCSP,63041,82208-2,"Pflanzenr.","IV, 147, XV: 204","","1922",kew-106757
kew-63042,A,Peraceae,,Discocarpus,,"mazarunensis",,"","Croizat",Synonym,,H,WCSP,63042,82209-2,"Bull. Torrey Bot. Club","75: 400","","1948",kew-37365
kew-63043,A,Urticaceae,,Discocarpus,,"mexicanus",,"","Liebm.",Synonym,,H,WCSP,63043,851495-1,"Skr. Vidensk.-Selsk. Christiana, Math.-Naturvidensk. Kl.","5: 309","","1851",kew-2772937
kew-63044,A,Urticaceae,,Discocarpus,,"nicaraguensis",,"","Liebm.",Synonym,,H,WCSP,63044,851496-1,"Skr. Vidensk.-Selsk. Christiana, Math.-Naturvidensk. Kl.","5: 309","","1851",kew-2772937
kew-332630,A,Phyllanthaceae,,Discocarpus,,"pedicellatus",,"","Fiaschi & Cordeiro",Accepted,,H,WCSP,332630,60440164-2,"Brittonia","57: 248","","2005",
kew-63045,A,Phyllanthaceae,,Discocarpus,,"spruceanus",,"","Müll.Arg.",Accepted,,H,WCSP,63045,306882-2,"Linnaea","32: 78","","1863",
