ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
gcc-49201,A,Compositae,,Distephanus,,"angolensis",,"","(O.Hoffm.) H.Rob. & B.Kahn",Accepted,,M,TICA,A4AE2704-A8D3-4699-83EE-5B1BA83935D6,,"","","498","1986",
gcc-109835,A,Compositae,,Distephanus,,"angulifolius",,"","(DC.) H.Rob. & B.Kahn",Accepted,,M,TICA,BB731129-7F29-476F-AEB6-AF91552AFE8E,,"","","499","1986",
gcc-142936,A,Compositae,,Distephanus,,"anisochaetoides",,"","(Sond.) H.Rob. & B.Kahn",Accepted,,M,TICA,6EEC2984-E5F3-4653-AA39-FAC7FC6973C7,,"","","499","1986",
gcc-34878,A,Compositae,,Distephanus,,"antandroy",,"","(Humbert) H.Rob. & B.Kahn",Accepted,,M,TICA,878AA4B6-AB2B-462E-988B-40A995CC5CC1,,"","","499","1986",
gcc-151257,A,Compositae,,Distephanus,,"biafrae",,"","(Oliv. & Hiern) H.Rob.",Accepted,,M,TICA,72B63335-F4B6-4372-BD4B-80EB065452E8,77104586-1,"Phytologia 91(3): 535. 2009.","","535","2009",
gcc-27275,A,Compositae,,Distephanus,,"capitatus",,"","DC.",Synonym,,M,TICA,6852F393-B901-4888-8E73-3273A469746B,201861-1,"","","74","1836",gcc-110413
gcc-92574,A,Compositae,,Distephanus,,"cloiselii",,"","(Moore) H.Rob. & B.Kahn",Accepted,,M,TICA,37248AE9-461D-4500-8816-88E52C99DFC9,,"","","499","1986",
gcc-6114,A,Compositae,,Distephanus,,"divaricatus",,"","(Steetz) H.Rob. & B.Kahn",Accepted,,M,TICA,A8A032BB-F2CB-4866-814E-0B5F0A7048C8,,"","","499","1986",
gcc-26169,A,Compositae,,Distephanus,,"eriophyllus",,"","(Drake) H.Rob. & B.Kahn",Accepted,,M,TICA,99F79B83-1A47-4ACB-9AD8-30644DAEC2A0,,"","","499","1986",
gcc-93661,A,Compositae,,Distephanus,,"forrestii",,"","(Anthony) H.Rob. & B.Kahn",Accepted,,M,TICA,14930878-177E-4FE4-A345-8B2D649548EF,,"","","499","1986",
gcc-145921,A,Compositae,,Distephanus,,"garnieriana",,"","(Klatt) H.Rob. & B.Kahn",Accepted,,M,TICA,B4D1A1C3-0C60-4196-8EE8-0D868EBA5486,,"Proc. Biol. Soc. Wash. 99(3): 499. 1986","","499","1986",
gcc-7782,A,Compositae,,Distephanus,,"garnierianus",,"","(Klatt) H.Rob. & B.Kahn",Accepted,,M,TICA,F52AC4E5-200A-4DBA-8615-0E78D099CD5C,,"","","499","1986",
gcc-151164,A,Compositae,,Distephanus,,"gazmi",,"","N.Kilian & A.G.Mill.",Accepted,,M,TICA,C768B88B-FF00-4F98-980F-7F230BA68120,,"Willdenowia 30: 84. 2000","","84","2000",
gcc-87819,A,Compositae,,Distephanus,,"glandulicinctus",,"","(Humbert) H.Rob. & B.Kahn",Accepted,,M,TICA,C1E61F48-72E8-41D8-9385-7E1598682991,,"","","499","1986",
gcc-125197,A,Compositae,,Distephanus,,"glutinosus",,"","(DC.) H.Rob. & B.Kahn",Accepted,,M,TICA,CE92E056-0E05-4899-8497-D2807AAA9094,,"","","499","1986",
gcc-50660,A,Compositae,,Distephanus,,"henryi",,"","(Dunn) H.Rob.",Accepted,,M,TICA,90D30A30-1E98-4105-B283-5DEF23D17E97,1010950-1,"","","238","1999",
gcc-21611,A,Compositae,,Distephanus,,"lastellei",,"","(Drake) H.Rob. & B.Kahn",Accepted,,M,TICA,5B44D0B0-7D7F-4E7A-8BBE-27F41B05661F,,"","","499","1986",
gcc-5362,A,Compositae,,Distephanus,,"mahafaly",,"","(Humbert) H.Rob. & B.Kahn",Accepted,,M,TICA,8A0F9783-9EE3-43B1-91B0-0A01727EFCEE,,"","","499","1986",
gcc-80484,A,Compositae,,Distephanus,,"majungensis",,"","(Humbert) H.Rob. & B.Kahn",Accepted,,M,TICA,4189197C-9094-4415-BE6A-6DAE5834280F,,"","","499","1986",
gcc-26684,A,Compositae,,Distephanus,,"malacophytus",,"","(Baker) H.Rob. & B.Kahn",Accepted,,M,TICA,E925BFFF-BDE2-4FB3-952F-314BA489EF55,,"","","499","1986",
gcc-137628,A,Compositae,,Distephanus,,"manambolensis",,"","(Humbert) H.Rob. & B.Kahn",Accepted,,M,TICA,A0C45E6E-4995-4720-A84A-EED90A7B44A3,,"","","500","1986",
gcc-87561,A,Compositae,,Distephanus,,"mangokensis",,"","(Humbert) H.Rob. & B.Kahn",Accepted,,M,TICA,5E9D9CBB-7AAD-4457-94C6-7D9010D10724,,"","","500","1986",
gcc-152730,A,Compositae,,Distephanus,,"nummulariifolius",,"","(Klatt) H.Rob. & B.Kahn",Accepted,,L,TICA,01F1AB4E-8080-414C-AEA3-9F8E83D90150,943532-1,"Proc. Biol. Soc. Wash. 99(3): 500. 1986","","500","1986",
gcc-130196,A,Compositae,,Distephanus,,"ochroleucus",,"","(Baker) H.Rob. & B.Kahn",Accepted,,M,TICA,B09B61E3-1D21-442F-9255-DDFDA1B28D55,,"","","500","1986",
gcc-90099,A,Compositae,,Distephanus,,"plumosus",,"","(O.Hoffm.) Mesfin",Accepted,,L,TICA,F1488CD4-6D98-4CB1-8DAD-8332522EDDDA,969599-1,"","","11","1992",
gcc-150755,A,Compositae,,Distephanus,,"polygalaefolia",,"","(Less.) H.Rob. & B.Kahn",Accepted,,M,TICA,CEF61CDF-C36A-4D8F-90BE-75968BB4C1C6,,"Proc. Biol. Soc. Wash. 99(3): 500. 1986","","500","1986",
