ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2778046,A,Urticaceae,,Droguetia,,"ambigua",,"","Wedd.",Accepted,,M,WCSP (in review),,851671-1,"Ann. Sci. Nat., Bot.","IV, 1: 211","","1854",
kew-2778047,A,Urticaceae,,Droguetia,,"burchellii",,"","N.E.Br.",Synonym,,M,WCSP (in review),,851672-1,"Fl. Cap.","5(2): 561","","1925",kew-2778056
kew-2778048,A,Urticaceae,,Droguetia,,"cuneata",,"","H.Buek",Synonym,,M,WCSP (in review),,851673-1,"Gen. Sp. Candoll.","4: 122","","1874",kew-2778046
kew-2778049,A,Urticaceae,,Droguetia,,"debilis",,"","Rendle",Accepted,,M,WCSP (in review),,851674-1,"J. Bot.","55: 203","","1917",
kew-2778050,A,Urticaceae,,Droguetia,,"diffusa",,"","Wedd.",Synonym,,M,WCSP (in review),,851675-1,"Ann. Sci. Nat., Bot.","IV, 1: 211","","1854",kew-2778055
kew-2778051,A,Urticaceae,,Droguetia,,"elliptica",,"","Gaudich.",Synonym,,M,WCSP (in review),,851676-1,"Voy. Uranie","505","","1830",kew-2778059
kew-2894341,A,Urticaceae,,Droguetia,,"elliptica",var.,"hildebrandtii","Baill.",Synonym,,L,WCSP (in review),,,"Bull. Mens. Soc. Linn. Paris","1: 484","","1885",kew-2778053
kew-2778052,A,Urticaceae,,Droguetia,,"gaudichaudiana",,"","Marais",Accepted,,M,WCSP (in review),,899750-1,"Kew Bull.","37: 273","","1982",
kew-2778053,A,Urticaceae,,Droguetia,,"hildebrandtii",,"","Friis & Wilmot-Dear",Accepted,,M,WCSP (in review),,931800-1,"Nordic J. Bot.","7: 126","","1987",
kew-2778054,A,Urticaceae,,Droguetia,,"humbertii",,"","Leandri",Accepted,,M,WCSP (in review),,851677-1,"Ann. Mus. Colon. Marseille","VI, 7-8: 73","","1950",
kew-2778055,A,Urticaceae,,Droguetia,,"iners",,"","(Forssk.) Schweinf.",Accepted,,M,WCSP (in review),,851678-1,"Bull. Herb. Boissier","4(App. 2): 146","","1896",
kew-2778056,A,Urticaceae,,Droguetia,,"iners",subsp.,"burchellii","(N.E.Br.) Friis & Wilmot-Dear",Accepted,,L,WCSP (in review),,953417-1,"Nordic J. Bot.","7: 126","","1987",
tro-33400855,A,Urticaceae,,Droguetia,,"iners",subsp.,"iners","",Synonym,,L,TRO,33400855,,"","","","",kew-2778055
kew-2778058,A,Urticaceae,,Droguetia,,"iners",subsp.,"urticoides","(Wight) Friis & Wilmot-Dear",Accepted,,L,WCSP (in review),,953416-1,"Nordic J. Bot.","7: 126","","1987",
kew-2778059,A,Urticaceae,,Droguetia,,"leptostachys",,"","(Pers.) Wedd.",Accepted,,M,WCSP (in review),,851679-1,"Prodr.","16(1): 235","","1869",
kew-2894342,A,Urticaceae,,Droguetia,,"leptostachys",var.,"hildebrandtii","(Baill.) Leandri",Synonym,,L,WCSP (in review),,,"Ann. Mus. Colon. Marseille","VII, 8: 74","","1950",kew-2778053
tro-50006356,A,Urticaceae,,Droguetia,,"leptostachys",var.,"leptostachys","",Synonym,,L,TRO,50006356,,"","","","",kew-2778059
kew-2778060,A,Urticaceae,,Droguetia,,"ovata",,"","Gaudich.",Synonym,,M,WCSP (in review),,851680-1,"Voy. Uranie","505","","1830",kew-2778059
kew-2778061,A,Urticaceae,,Droguetia,,"pauciflora",,"","Wedd.",Synonym,,M,WCSP (in review),,851682-1,"Prodr.","16(1): 235","","1869",kew-2778055
kew-2778062,A,Urticaceae,,Droguetia,,"thouarsiana",,"","Gaudich.",Synonym,,M,WCSP (in review),,,"Voy. Bonite, Bot.","3: t. 87","","1844",kew-2778059
kew-2778063,A,Urticaceae,,Droguetia,,"thunbergii",,"","N.E.Br.",Synonym,,M,WCSP (in review),,851684-1,"Bull. Misc. Inform. Kew","1913: 80","","1913",kew-2778056
kew-2778064,A,Urticaceae,,Droguetia,,"umbricola",,"","Engl.",Synonym,,M,WCSP (in review),,851685-1,"Pflanzenw. Ost-Afrikas","C: 164","","1895",kew-2767778
kew-2778065,A,Urticaceae,,Droguetia,,"urticifolia",,"","Wedd.",Synonym,Illegitimate,M,WCSP (in review),,851686-1,"Prodr.","16(1): 235","","1869",kew-2778046
kew-2778066,A,Urticaceae,,Droguetia,,"urticoides",,"","(Wight) Wedd.",Synonym,,M,WCSP (in review),,851687-1,"Ann. Sci. Nat., Bot.","IV, 1: 211","","1854",kew-2778058
kew-2778067,A,Urticaceae,,Droguetia,,"woodii",,"","N.E.Br.",Synonym,,M,WCSP (in review),,851688-1,"Fl. Cap.","5(2): 560","","1926",kew-2778055
