ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2779642,A,Acanthaceae,,Dyschoriste,,"actinotricha",,"","Chiov.",Synonym,,M,WCSP (in review),,48085-1,"Fl. Somala","2: 348","","1932",kew-2604233
kew-2779643,A,Acanthaceae,,Dyschoriste,,"adscendens",,"","(Hochst. ex Nees) Kuntze",Accepted,,M,WCSP (in review),,48086-1,"Revis. Gen. Pl.","2: 485","","1891",
kew-2779644,A,Acanthaceae,,Dyschoriste,,"affinis",,"","(Lindau) S.Moore",Synonym,,M,WCSP (in review),,,"","","","",kew-2779358
kew-2779645,A,Acanthaceae,,Dyschoriste,,"alba",,"","S.Moore",Accepted,,M,WCSP (in review),,48087-1,"J. Bot.","45: 89","","1907",
kew-2779646,A,Acanthaceae,,Dyschoriste,,"albiflora",,"","Lindau",Accepted,,M,WCSP (in review),,48088-1,"Bot. Jahrb. Syst.","57: 21","","1920",
kew-2779647,A,Acanthaceae,,Dyschoriste,,"amoena",,"","(Nees) Kuntze",Synonym,,M,WCSP (in review),,86362-2,"Revis. Gen. Pl.","2: 485","","1891",kew-2779709
kew-2779648,A,Acanthaceae,,Dyschoriste,,"angusta",,"","(A.Gray) Small",Accepted,,M,WCSP (in review),,86363-2,"Fl. Miami","168","","1913",
kew-2779649,A,Acanthaceae,,Dyschoriste,,"augustifolia",,"","(Hemsl.) Kuntze",Accepted,,M,WCSP (in review),,86364-2,"Revis. Gen. Pl.","2: 485","","1891",
kew-2779650,A,Acanthaceae,,Dyschoriste,,"axillaris",,"","Wassh. & J.R.I.Wood",Accepted,,M,WCSP (in review),,327427-2,"Brittonia","55: 11","","2003",
kew-2779651,A,Acanthaceae,,Dyschoriste,,"bayatensis",,"","(Urb.) Urb.",Accepted,,L,WCSP (in review),,86365-2,"Ark. Bot.","24A(4): 35","","1932",
kew-2779652,A,Acanthaceae,,Dyschoriste,,"bayensis",,"","Thulin",Accepted,,M,WCSP (in review),,77071690-1,"Nordic J. Bot.","23: 519","","2005",
kew-2779653,A,Acanthaceae,,Dyschoriste,,"bilabiata",,"","(Seem.) Kuntze",Synonym,,M,WCSP (in review),,86366-2,"Revis. Gen. Pl.","2: 486","","1891",kew-2779695
kew-2779654,A,Acanthaceae,,Dyschoriste,,"biloba",,"","Hochst.",Synonym,,M,WCSP (in review),,48094-1,"Flora","28: 72","","1845",kew-2664335
kew-2779655,A,Acanthaceae,,Dyschoriste,,"boliviana",,"","Wassh. & J.R.I.Wood",Accepted,,M,WCSP (in review),,327428-2,"Brittonia","55: 13","","2003",
kew-2779656,A,Acanthaceae,,Dyschoriste,,"broiloi",,"","Pic.Serm.",Accepted,,M,WCSP (in review),,48095-1,"Miss. Stud. Lago Tana","7(1): 256","","1951",
kew-2779657,A,Acanthaceae,,Dyschoriste,,"buchenavii",,"","Vatke",Synonym,,M,WCSP (in review),,,"Abh. Naturwiss. Vereins Bremen","9: 151","","1885",kew-2779783
kew-2779658,A,Acanthaceae,,Dyschoriste,,"burchellii",,"","(Nees) Kuntze",Synonym,,M,WCSP (in review),,48096-1,"Revis. Gen. Pl.","2: 485","","1891",kew-2714350
kew-2779659,A,Acanthaceae,,Dyschoriste,,"candida",,"","Brandegee",Unresolved,,L,WCSP (in review),,86367-2,"Zoe","5: 242","","1908",tro-50074307
kew-2779660,A,Acanthaceae,,Dyschoriste,,"capitata",,"","(Oerst.) Kuntze",Accepted,,M,WCSP (in review),,86368-2,"Revis. Gen. Pl.","2: 486","","1891",
kew-2779661,A,Acanthaceae,,Dyschoriste,,"capricornis",,"","C.B.Clarke",Accepted,,M,WCSP (in review),,48099-1,"Fl. Trop. Afr.","5: 76","","1899",
