ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-372842,A,Orchidaceae,,Epiphorella,,"dalzielii",,"","(Summerh.) Mytnik & Szlach.",Synonym,,H,WCSP,372842,77091556-1,"Richardiana","8: 15","","2008",kew-162768
kew-372832,A,Orchidaceae,,Epiphorella,,"elastica",,"","(Lindl.) Mytnik & Szlach.",Synonym,,H,WCSP,372832,77091557-1,"Richardiana","8: 15","","2008",kew-162781
kew-372831,A,Orchidaceae,,Epiphorella,,"expansa",,"","(Ridl.) Mytnik & Szlach.",Synonym,,H,WCSP,372831,77091558-1,"Richardiana","8: 16","","2008",kew-162794
kew-372830,A,Orchidaceae,,Epiphorella,,"geniculata",,"","(Summerh.) Mytnik & Szlach.",Synonym,,H,WCSP,372830,77091559-1,"Richardiana","8: 16","","2008",kew-162812
kew-372811,A,Orchidaceae,,Epiphorella,,"monolenis",,"","(Summerh.) Mytnik & Szlach.",Synonym,,H,WCSP,372811,77091560-1,"Richardiana","8: 16","","2008",kew-162933
kew-372816,A,Orchidaceae,,Epiphorella,,"pobeguinii",,"","(Finet) Mytnik & Szlach.",Synonym,,H,WCSP,372816,77091561-1,"Richardiana","8: 16","","2008",kew-162978
kew-372835,A,Orchidaceae,,Epiphorella,,"pseudodisa",,"","(Kraenzl.) Mytnik & Szlach.",Synonym,,H,WCSP,372835,77091562-1,"Richardiana","8: 16","","2008",kew-162991
kew-372814,A,Orchidaceae,,Epiphorella,,"reflexa",,"","(Lindl.) Mytnik & Szlach.",Synonym,,H,WCSP,372814,77091563-1,"Richardiana","8: 16","","2008",kew-163004
kew-372812,A,Orchidaceae,,Epiphorella,,"saccata",,"","(Finet) Mytnik & Szlach.",Synonym,,H,WCSP,372812,77091564-1,"Richardiana","8: 16","","2008",kew-163023
kew-372829,A,Orchidaceae,,Epiphorella,,"songaniensis",,"","(G.Will.) Mytnik & Szlach.",Synonym,,H,WCSP,372829,77091565-1,"Richardiana","8: 16","","2008",kew-163038
kew-372840,A,Orchidaceae,,Epiphorella,,"victoriae",,"","(Kraenzl.) Mytnik & Szlach.",Synonym,,H,WCSP,372840,77091566-1,"Richardiana","8: 16","","2008",kew-163082
