ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2809246,A,Cucurbitaceae,,Fevillea,,"albiflora",,"","Cogn.",Synonym,,M,WCSP (in review),,104109-2,"Fl. Bras.","6(4): 118","","1878",kew-2809274
kew-2809247,A,Cucurbitaceae,,Fevillea,,"albiflora",var.,"glaziovii","Cogn.",Synonym,,L,WCSP (in review),,104110-2,"Bull. Acad. Roy. Sci. Belgique","III, 14: 364","","1887",kew-2809274
kew-2809248,A,Cucurbitaceae,,Fevillea,,"amazonica",,"","(Cogn.) C.Jeffrey",Synonym,,L,WCSP (in review),,104421-2,"Kew Bull.","16: 199","","1962",kew-2809264
kew-2899502,A,Cucurbitaceae,,Fevillea,,"anomalosperma",,"","M.Nee",Accepted,,M,WCSP (in review),,,"Syst. Bot.","34: 706","","2009",
tro-9200222,A,Cucurbitaceae,,Fevillea,,"auriculata",,"","Harms",Unresolved,,L,TRO,9200222,,"","","","",
kew-2809249,A,Cucurbitaceae,,Fevillea,,"bahiensis",,"","G.L.Rob. & Wunderlin",Accepted,,M,WCSP (in review),,60441349-2,"Sida","21: 1977","","2005",
kew-2809250,A,Cucurbitaceae,,Fevillea,,"cordifolia",,"","L.",Accepted,,M,WCSP (in review),,104422-2,"Sp. Pl.","1013","","1753",
kew-2809251,A,Cucurbitaceae,,Fevillea,,"cordifolia",,"","Vell.",Synonym,Illegitimate,M,WCSP (in review),,292707-1,"Fl. Flumin.","10: t. 102","","1831",kew-2809274
kew-2809252,A,Cucurbitaceae,,Fevillea,,"cordifolia",var.,"hederacea","(Poir.) Cogn.",Synonym,,L,WCSP (in review),,104423-2,"Monogr. Phan.","3: 943","","1881",kew-2809250
kew-2809254,A,Cucurbitaceae,,Fevillea,,"deltoidea",,"","Cogn.",Unresolved,,L,WCSP (in review),,292709-1,"Fl. Bras.","6(4): 119","","1878",
kew-2809255,A,Cucurbitaceae,,Fevillea,,"harmsii",,"","(Kuntze) K.Schum.",Synonym,,M,WCSP (in review),,104112-2,"Just's Bot. Jahresber.","26(1): 383","","1898",kew-2809265
kew-2809256,A,Cucurbitaceae,,Fevillea,,"hederacea",,"","Poir.",Synonym,,M,WCSP (in review),,292711-1,"Encycl.","4: 419","","1798",kew-2809250
kew-2809257,A,Cucurbitaceae,,Fevillea,,"javilla",,"","Kunth",Synonym,,M,WCSP (in review),,292712-1,"Nov. Gen. Sp.","2: 124","","1817",kew-2809250
kew-2809258,A,Cucurbitaceae,,Fevillea,,"karstenii",,"","Cogn.",Synonym,,M,WCSP (in review),,292713-1,"Monogr. Phan.","3: 943","","1881",kew-2809250
kew-2809259,A,Cucurbitaceae,,Fevillea,,"marcgravii",,"","Guib.",Synonym,,M,WCSP (in review),,292714-1,"Hist. Nat. Drog. Simpl.","ed. 4, 3: 244","","",kew-2809274
kew-2809260,A,Cucurbitaceae,,Fevillea,,"monosperma",,"","Vell.",Unresolved,,L,WCSP (in review),,104426-2,"Fl. Flumin.","10: t. 103","","1831",tro-9201246
kew-2809261,A,Cucurbitaceae,,Fevillea,,"moorei",,"","Hook.f.",Synonym,,M,WCSP (in review),,292716-1,"Bot. Mag.","104: t. 6356","","1878",kew-2809250
tro-100363586,A,Cucurbitaceae,,Fevillea,,"narae",,"","A. Estrada & D. Santam.",Accepted,,M,TRO,100363586,77113773-1,"J. Bot. Res. Inst. Texas","4(1): 45–49, f. 1A–H, 2A–I, 3","45","2010",
kew-2809262,A,Cucurbitaceae,,Fevillea,,"passiflora",,"","Vell.",Accepted,,M,WCSP (in review),,292717-1,"Fl. Flumin.","10: t. 104","","1831",
kew-2809263,A,Cucurbitaceae,,Fevillea,,"pedata",,"","Sm.",Synonym,,M,WCSP (in review),,,"Bot. Mag.","53: t. 2681","","1826",kew-2434678
kew-2809264,A,Cucurbitaceae,,Fevillea,,"pedatifolia",,"","(Cogn.) C.Jeffrey",Accepted,,L,WCSP (in review),,104428-2,"Kew Bull.","16: 199","","1962",
kew-2809265,A,Cucurbitaceae,,Fevillea,,"pergamentacea",,"","Cogn. ex Kuntze",Accepted,,M,WCSP (in review),,,"Revis. Gen. Pl.","3(2): 104","","1898",
tro-50126401,A,Cucurbitaceae,,Fevillea,,"pergamentacea",,"","(Kuntze) Cogn.",Unresolved,,L,TRO,50126401,,"Pflanzenr.","275 I(Heft 66): 8","8","1916",
kew-2809266,A,Cucurbitaceae,,Fevillea,,"peruviana",,"","(Huber) C.Jeffrey",Synonym,,L,WCSP (in review),,104430-2,"Kew Bull.","16: 200","","1962",kew-2809264
kew-2809267,A,Cucurbitaceae,,Fevillea,,"punctata",,"","(L.) Poir.",Synonym,,M,WCSP (in review),,292722-1,"Encycl.","4: 418","","1798",kew-2809250
kew-2809268,A,Cucurbitaceae,,Fevillea,,"scandens",,"","L.",Synonym,,M,WCSP (in review),,292723-1,"Sp. Pl. ed. 2","1457","","1763",kew-2809250
kew-2809269,A,Cucurbitaceae,,Fevillea,,"simplicifolia",,"","(Harms) C.Jeffrey",Synonym,,L,WCSP (in review),,104431-2,"Kew Bull.","16: 200","","1962",kew-2809264
kew-2809270,A,Cucurbitaceae,,Fevillea,,"tamnifolia",,"","Kunth",Synonym,,M,WCSP (in review),,292725-1,"Nov. Gen. Sp.","7: 175","","1825",kew-2489725
kew-2809271,A,Cucurbitaceae,,Fevillea,,"tomentosa",,"","Gardner",Synonym,,M,WCSP (in review),,292726-1,"London J. Bot.","2: 355","","1843",kew-2809274
kew-2809272,A,Cucurbitaceae,,Fevillea,,"triangularis",,"","M.Roem.",Synonym,,M,WCSP (in review),,292727-1,"Fam. Nat. Syn. Monogr.","2: 114","","1846",kew-2809274
kew-2809273,A,Cucurbitaceae,,Fevillea,,"triloba",,"","Sessé & Moc.",Synonym,,M,WCSP (in review),,104433-2,"Fl. Mexic.","ed. 2: 231","","1894",kew-2809250
kew-2809274,A,Cucurbitaceae,,Fevillea,,"trilobata",,"","L.",Accepted,,M,WCSP (in review),,104434-2,"Sp. Pl.","1014","","1753",
kew-2809275,A,Cucurbitaceae,,Fevillea,,"trilobata",,"","Reichard",Synonym,Illegitimate,M,WCSP (in review),,,"Syst. Veg.","4: 253","","1819",kew-2809250
kew-2809276,A,Cucurbitaceae,,Fevillea,,"trilobata",var.,"glaziovii","Cogn.",Synonym,,L,WCSP (in review),,104114-2,"Bull. Soc. Bot. France","56(3d): 321","","1909",kew-2809274
kew-2809277,A,Cucurbitaceae,,Fevillea,,"trilobata",var.,"longipedicellata","Cogn.",Synonym,,L,WCSP (in review),,104435-2,"Fl. Bras.","6(4): 118","","1878",kew-2809274
kew-2809278,A,Cucurbitaceae,,Fevillea,,"trilobata",var.,"subintegrifolia","Cogn.",Synonym,,L,WCSP (in review),,104436-2,"Fl. Bras.","6(4): 118","","1878",kew-2809274
kew-2809279,A,Cucurbitaceae,,Fevillea,,"trilobata",var.,"subuniflora","Cogn.",Synonym,,L,WCSP (in review),,104437-2,"Fl. Bras.","6(4): 118","","1878",kew-2809274
kew-2809280,A,Cucurbitaceae,,Fevillea,,"trilobata",var.,"tomentosa","Cogn.",Synonym,,L,WCSP (in review),,104438-2,"Fl. Bras.","6(4): 118","","1878",kew-2809274
kew-2809281,A,Cucurbitaceae,,Fevillea,,"triphylla",,"","Griseb.",Synonym,,M,WCSP (in review),,292731-1,"Abh. Königl. Ges. Wiss. Göttingen","24: 136","","1879",kew-2489934
kew-2809282,A,Cucurbitaceae,,Fevillea,,"uncipetala",,"","Kuhlm.",Synonym,,M,WCSP (in review),,104439-2,"Arch. Jard. Bot. Rio de Janeiro","4: 365","","1925",kew-2809250
