ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-333883,A,Orchidaceae,,Flickingeria,,"abhaycharanii",,"","Phukan & A.A.Mao",Synonym,,H,WCSP,333883,77066991-1,"Orchid Rev.","113: 22","","2005",kew-465759
kew-246150,A,Orchidaceae,,Flickingeria,,"agamensis",,"","(J.J.Sm.) J.B.Comber",Synonym,,H,WCSP,246150,20004058-1,"Orchids of Sumatra","694","","2001",kew-57006
kew-84493,A,Orchidaceae,,Flickingeria,,"albopurpurea",,"","Seidenf.",Synonym,,H,WCSP,84493,635182-1,"Dansk Bot. Ark.","34: 48","","1980",kew-465758
kew-84494,A,Orchidaceae,,Flickingeria,,"angulata",,"","(Blume) A.D.Hawkes",Synonym,,H,WCSP,84494,,"Orquídea (Rio de Janeiro)","27: 301","","1965",kew-459958
kew-84495,A,Orchidaceae,,Flickingeria,,"angustifolia",,"","(Blume) A.D.Hawkes",Synonym,,H,WCSP,84495,,"Orquídea (Rio de Janeiro)","27: 301","","1965",kew-57067
kew-84496,A,Orchidaceae,,Flickingeria,,"annamensis",,"","(A.D.Hawkes) A.D.Hawkes",Synonym,,H,WCSP,84496,,"Orquídea (Rio de Janeiro)","27: 301","","1965",kew-57067
kew-84497,A,Orchidaceae,,Flickingeria,,"appendiculata",,"","(Blume) A.D.Hawkes",Synonym,,H,WCSP,84497,,"Orquídea (Rio de Janeiro)","27: 302","","1965",kew-57091
kew-84498,A,Orchidaceae,,Flickingeria,,"aureiloba",,"","(J.J.Sm.) J.J.Wood",Synonym,,H,WCSP,84498,910663-1,"Orchadian","7: 145","","1982",kew-57145
kew-84499,A,Orchidaceae,,Flickingeria,,"bancana",,"","(J.J.Sm.) A.D.Hawkes",Synonym,,H,WCSP,84499,,"Orquídea (Rio de Janeiro)","27: 302","","1965",kew-57163
kew-84500,A,Orchidaceae,,Flickingeria,,"bicarinata",,"","(Ames & C.Schweinf.) A.D.Hawkes",Synonym,,H,WCSP,84500,,"Orquídea (Rio de Janeiro)","27: 302","","1965",kew-57188
kew-84501,A,Orchidaceae,,Flickingeria,,"bicolor",,"","Z.H.Tsi & S.C.Chen",Synonym,,H,WCSP,84501,982923-1,"Acta Phytotax. Sin.","33: 204","","1995",kew-469029
kew-84502,A,Orchidaceae,,Flickingeria,,"bicostata",,"","(J.J.Sm.) A.D.Hawkes",Synonym,,H,WCSP,84502,,"Orquídea (Rio de Janeiro)","27: 302","","1965",kew-57194
kew-84503,A,Orchidaceae,,Flickingeria,,"bifida",,"","(Ridl.) A.D.Hawkes",Synonym,,H,WCSP,84503,,"Orquídea (Rio de Janeiro)","27: 302","","1965",kew-57091
kew-84504,A,Orchidaceae,,Flickingeria,,"binnendijkii",,"","(Rchb.f.) A.D.Hawkes",Synonym,,H,WCSP,84504,,"Orquídea (Rio de Janeiro)","27: 302","","1965",kew-58729
kew-84505,A,Orchidaceae,,Flickingeria,,"calocephala",,"","Z.H.Tsi & S.C.Chen",Synonym,,H,WCSP,84505,982921-1,"Acta Phytotax. Sin.","33: 203","","1995",kew-465756
kew-84506,A,Orchidaceae,,Flickingeria,,"calopogon",,"","(Rchb.f.) A.D.Hawkes",Synonym,,H,WCSP,84506,,"Orquídea (Rio de Janeiro)","27: 302","","1965",kew-57302
kew-84507,A,Orchidaceae,,Flickingeria,,"candoonensis",,"","(Ames) Fessel & Lückel",Synonym,,H,WCSP,84507,1004384-1,"Orchidee (Hamburg)","49: 252","","1998",kew-57316
kew-246151,A,Orchidaceae,,Flickingeria,,"celebensis",,"","(J.J.Sm.) S.Thomas, Schuit. & de Vogel",Synonym,,H,WCSP,246151,20005999-1,"Lindleyana","17: 34","","2002",kew-57351
