ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
ild-11825,A,Leguminosae,,Galactia,,"acapulcensis",,"","Rose",Accepted,,H,ILDIS,11825,,"","","","",
ild-13670,A,Leguminosae,,Galactia,,"acuminata",,"","Standl.",Synonym,,H,ILDIS,13670,,"","","","",ild-11505
tro-13007263,A,Leguminosae,,Galactia,,"acuminata",,"","Steyerm.",Accepted,,M,TRO,13007263,495354-1,"Publ. Field Mus. Nat. Hist., Bot. Ser.","22(3): 144–145","144","1940",
kew-2815809,A,Leguminosae,,Galactia,,"acunana",,"","Borhidi & O.Muñiz",Unresolved,,L,WCSP (in review),,106543-2,"Acta Bot. Acad. Sci. Hung.","17: 7","","1971 publ. 1972",
ild-11826,A,Leguminosae,,Galactia,,"albiflora",,"","Urb.",Accepted,,H,ILDIS,11826,,"","","","",
ild-19741,A,Leguminosae,,Galactia,,"angustifolia",,"","Kunth",Synonym,,H,ILDIS,19741,495357-1,"","","","",ild-19742
ild-19753,A,Leguminosae,,Galactia,,"angustifolia",,"","Spreng.",Synonym,,H,ILDIS,19753,,"","","","",ild-16838
tro-13007265,A,Leguminosae,,Galactia,,"angustifolia",var.,"monophylla","Griseb.",Synonym,,L,TRO,13007265,106546-2,"Cat. Pl. Cub.","75","75","1866",ild-16842
ild-38918,A,Leguminosae,,Galactia,,"anisopoda",,"","Ohwi",Synonym,,H,ILDIS,38918,,"","","","",ild-38915
ild-11827,A,Leguminosae,,Galactia,,"anomala",,"","Lundell",Accepted,,H,ILDIS,11827,,"","","","",
ild-11828,A,Leguminosae,,Galactia,,"argentea",,"","Brandegee",Accepted,,L,ILDIS,11828,,"","","","",
ild-2757,A,Leguminosae,,Galactia,,"argentifolia",,"","S.Moore",Accepted,,H,ILDIS,2757,,"","","","",
ild-32140,A,Leguminosae,,Galactia,,"argentina",,"","Brandegee",Synonym,Spelling variant,L,ILDIS,32140,,"","","","",ild-11828
tro-13007269,A,Leguminosae,,Galactia,,"argentina",,"","(Griseb.) Kuntze",Synonym,,M,TRO,13007269,106550-2,"Revis. Gen. Pl.","3(3): 64","64","1898",ild-12046
ild-33851,A,Leguminosae,,Galactia,,"aschersoniana",,"","Taub.",Synonym,,H,ILDIS,33851,,"","","","",ild-12047
ild-11829,A,Leguminosae,,Galactia,,"augustii",,"","Harms",Accepted,,H,ILDIS,11829,,"","","","",
ild-25918,A,Leguminosae,,Galactia,,"augustii",var.,"augustii","",Synonym,,L,ILDIS,25918,,"","","","",ild-11829
