ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-344187,A,Apocynaceae,,Galactophora,,"angustifolia",,"","J.F.Morales",Accepted,,H,WCSP,344187,,"Sida","21: 2060","","2005",
kew-85111,A,Apocynaceae,,Galactophora,,"calycina",,"","(Huber ex Ducke) Woodson",Synonym,,H,WCSP,85111,106750-2,"Ann. Missouri Bot. Gard.","19: 50","","1932",kew-85113
kew-85112,A,Apocynaceae,,Galactophora,,"colellana",,"","Morillo",Accepted,,H,WCSP,85112,277280-2,"Anales Jard. Bot. Madrid","48: 27","","1990",
kew-85113,A,Apocynaceae,,Galactophora,,"crassifolia",,"","(Müll.Arg.) Woodson",Accepted,,H,WCSP,85113,106751-2,"Ann. Missouri Bot. Gard.","19: 50","","1932",
kew-85114,A,Apocynaceae,,Galactophora,,"magnifica",,"","Woodson",Synonym,,H,WCSP,85114,106752-2,"Ann. Missouri Bot. Gard.","19: 382","","1932",kew-85113
kew-85115,A,Apocynaceae,,Galactophora,,"petiolata",,"","Markgr.",Synonym,,H,WCSP,85115,106753-2,"Notizbl. Bot. Gart. Berlin-Dahlem","14: 129","","1938",kew-85116
kew-85116,A,Apocynaceae,,Galactophora,,"pulchella",,"","Woodson",Accepted,,H,WCSP,85116,106754-2,"Ann. Missouri Bot. Gard.","19: 51","","1932",
kew-85117,A,Apocynaceae,,Galactophora,,"pumila",,"","Monach.",Accepted,,H,WCSP,85117,106755-2,"Mem. New York Bot. Gard.","10(1): 126","","1958",
kew-85118,A,Apocynaceae,,Galactophora,,"schomburgkiana",,"","Woodson",Accepted,,H,WCSP,85118,106756-2,"Ann. Missouri Bot. Gard.","19: 50","","1932",
kew-85119,A,Apocynaceae,,Galactophora,,"schomburgkiana",var.,"megaphylla","Monach.",Synonym,,L,WCSP,85119,106757-2,"Mem. New York Bot. Gard.","10(1): 127","","1958",kew-85118
tro-1804839,A,Apocynaceae,,Galactophora,,"schomburgkiana",var.,"schomburgkiana","",Synonym,,L,TRO,1804839,,"","","","1958",kew-85118
