ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2816176,A,Myricaceae,,Gale,,"belgica",,"","Dumort.",Synonym,,M,WCSP (in review),,585463-1,"Fl. Belg.","10","","1827",kew-2500739
kew-2816177,A,Myricaceae,,Gale,,"californica",,"","(Cham. & Schltdl.) Greene",Unresolved,,L,WCSP (in review),,585464-1,"Man. Bot. San Francisco","298","","1894",kew-2500771
kew-2816178,A,Myricaceae,,Gale,,"commune",,"","J.Presl",Synonym,,M,WCSP (in review),,585465-1,"Wobecný Rostl.","2: 1416","","1846",kew-2500739
kew-2816179,A,Myricaceae,,Gale,,"hartwegii",,"","(S.Watson) Chev.",Unresolved,,L,WCSP (in review),,106786-2,"Mém. Soc. Sci. Nat. Cherbourg","32: 191","","1889",
kew-2816180,A,Myricaceae,,Gale,,"japonica",,"","Chev.",Unresolved,,L,WCSP (in review),,585467-1,"Mém. Soc. Sci. Nat. Cherbourg","32: 189","","1889",
kew-2816181,A,Myricaceae,,Gale,,"palustris",,"","Chev.",Synonym,,M,WCSP (in review),,106787-2,"Mém. Soc. Sci. Nat. Cherbourg","32: 177","","1889",kew-2500739
kew-2816182,A,Myricaceae,,Gale,,"palustris",var.,"crenata","A.Chev.",Synonym,,L,WCSP (in review),,106788-2,"Mém. Soc. Sci. Nat. Cherbourg","32: 184","","1901",kew-2500739
kew-2816183,A,Myricaceae,,Gale,,"palustris",var.,"denticulata","A.Chev.",Synonym,,L,WCSP (in review),,106789-2,"Mém. Soc. Sci. Nat. Cherbourg","32: 184","","1901",kew-2500739
kew-2816184,A,Myricaceae,,Gale,,"palustris",var.,"lusitanica","A.Chev.",Synonym,,L,WCSP (in review),,106790-2,"Mém. Soc. Sci. Nat. Cherbourg","32: 186","","1901",kew-2500739
kew-2816185,A,Myricaceae,,Gale,,"palustris",var.,"subglabra","A.Chev.",Synonym,,L,WCSP (in review),,106791-2,"Mém. Soc. Sci. Nat. Cherbourg","32: 185","","1901",kew-2500739
tro-21700106,A,Myricaceae,,Gale,,"palustris",var.,"tomentosa","(C. DC.) A. Chev.",Synonym,,L,TRO,21700106,,"","","","",kew-2500739
kew-2816186,A,Myricaceae,,Gale,,"portugalensis",,"","Chev.",Synonym,,M,WCSP (in review),,585469-1,"Mém. Soc. Sci. Nat. Cherbourg","32: 187","","1889",kew-2500739
kew-2816187,A,Myricaceae,,Gale,,"uliginosa",,"","Spach",Synonym,,M,WCSP (in review),,585470-1,"Hist. Nat. Vég.","11: 259","","1841",kew-2500739
