ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-85203,A,Pandaceae,,Galearia,,"affinis",,"","(R.Br.) Miq.",Synonym,,H,WCSP,85203,349129-1,"Fl. Ned. Ind.","1(2): 430","","1859",kew-85219
kew-85204,A,Pandaceae,,Galearia,,"angustifolia",,"","Miq.",Synonym,,H,WCSP,85204,349130-1,"Fl. Ned. Ind., Eerste Bijv.","470","","1861",kew-85219
kew-85205,A,Pandaceae,,Galearia,,"aristifera",,"","Miq.",Accepted,,H,WCSP,85205,349131-1,"Fl. Ned. Ind., Eerste Bijv.","471","","1861",
tro-13049880,A,Pandaceae,,Galearia,,"bonanni",,"","C. Presl",Unresolved,,L,TRO,13049880,495576-1,"Symb. Bot.","1: 50","50","1830",
ild-47120,A,Leguminosae,,Galearia,,"bonannii",,"","(C.Presl) C.Presl",Synonym,,H,ILDIS,47120,,"","","","",ild-9266
kew-85207,A,Pandaceae,,Galearia,,"caudata",,"","Forman",Synonym,,H,WCSP,85207,349132-1,"Kew Bull.","14: 316","","1960",kew-85219
kew-85208,A,Pandaceae,,Galearia,,"celebica",,"","Koord.",Accepted,,H,WCSP,85208,349133-1,"Meded. Lands Plantentuin","19: 584, 626","","1898",
kew-85210,A,Pandaceae,,Galearia,,"celebica",var.,"pubescens","Forman",Synonym,,L,WCSP,85210,,"Kew Bull.","14: 315","","1960",kew-85208
tro-13049881,A,Pandaceae,,Galearia,,"cupani",,"","C. Presl",Unresolved,,L,TRO,13049881,495577-1,"Symb. Bot.","1: 50","50","1830",
kew-85212,A,Pandaceae,,Galearia,,"dolichobotrys",,"","Merr.",Synonym,,H,WCSP,85212,349134-1,"Philipp. J. Sci.","29: 384","","1926",kew-85219
kew-85213,A,Pandaceae,,Galearia,,"dongnaiensis",,"","Pierre ex Gagnep.",Synonym,,H,WCSP,85213,349135-1,"Bull. Soc. Bot. France","71: 1025","","1924 publ. 1925",kew-85219
kew-85214,A,Pandaceae,,Galearia,,"elliptica",,"","Miq.",Synonym,,H,WCSP,85214,349136-1,"Fl. Ned. Ind., Eerste Bijv.","469","","1861",kew-85219
kew-85215,A,Pandaceae,,Galearia,,"filiformis",,"","(Blume) Boerl.",Accepted,,H,WCSP,85215,,"Handl. Fl. Ned. Ind.","3: 282","","1890",
kew-85216,A,Pandaceae,,Galearia,,"finlaysoniana",,"","(R.Br.) Miq.",Synonym,,H,WCSP,85216,,"Fl. Ned. Ind.","1(2): 429","","1859",kew-85219
ild-47129,A,Leguminosae,,Galearia,,"fragifera",,"","(L.) C.Presl",Synonym,,H,ILDIS,47129,,"","","","",ild-8079
tro-13073730,A,Leguminosae,,Galearia,,"fragifera",,"","Bobrov",Synonym,,M,TRO,13073730,,"","","","",ild-8079
kew-85219,A,Pandaceae,,Galearia,,"fulva",,"","(Tul.) Miq.",Accepted,,H,WCSP,85219,349139-1,"Fl. Ned. Ind.","1(2): 430","","1859",
kew-85220,A,Pandaceae,,Galearia,,"fusca",,"","Ridl.",Synonym,,H,WCSP,85220,349140-1,"Fl. Malay Penins.","3: 257","","1924",kew-85219
kew-85221,A,Pandaceae,,Galearia,,"helferi",,"","Hook.f.",Synonym,,H,WCSP,85221,349141-1,"Fl. Brit. India","5: 378","","1887",kew-85219
kew-85222,A,Pandaceae,,Galearia,,"jackiana",,"","(R.Br.) Miq.",Synonym,,H,WCSP,85222,349142-1,"Fl. Ned. Ind.","1(2): 430","","1859",kew-85219
kew-85223,A,Pandaceae,,Galearia,,"lancifolia",,"","Ridl.",Synonym,,H,WCSP,85223,349143-1,"Bull. Misc. Inform. Kew","1926: 476","","1926",kew-85219
kew-85224,A,Pandaceae,,Galearia,,"leptostachya",,"","Pax",Synonym,,H,WCSP,85224,,"Pflanzenr.","IV, 147, III: 102","","1911",kew-85205
kew-85225,A,Pandaceae,,Galearia,,"lindlaeana",,"","(Tul.) Hook.f.",Synonym,,H,WCSP,85225,,"Fl. Brit. India","5: 379","","1887",kew-85219
kew-85226,A,Pandaceae,,Galearia,,"maingayi",,"","Hook.f.",Accepted,,H,WCSP,85226,349146-1,"Fl. Brit. India","5: 377","","1887",
kew-85227,A,Pandaceae,,Galearia,,"minor",,"","Gage",Synonym,,H,WCSP,85227,349147-1,"Rec. Bot. Surv. India","9: 234","","1922",kew-85219
kew-85228,A,Pandaceae,,Galearia,,"modesta",,"","(Boiss.) Soják",Unresolved,,L,WCSP (in review),,495580-1,"Cas. Nár. Mus., Odd. Prír.","148: 78","","1979 publ. 1980",
kew-85229,A,Pandaceae,,Galearia,,"pedicellata",,"","(R.Br.) Miq.",Synonym,Illegitimate,H,WCSP,85229,,"Fl. Ned. Ind.","1(2): 430","","1859",kew-85219
kew-85230,A,Pandaceae,,Galearia,,"pedicellata",,"","Zoll. & Moritzi",Synonym,,H,WCSP,85230,349148-1,"Syst. Verz.","19","","1846",kew-85215
kew-85231,A,Pandaceae,,Galearia,,"philippinensis",,"","Merr.",Synonym,,H,WCSP,85231,349149-1,"Philipp. J. Sci., C","9: 482","","1914 publ. 1915",kew-85219
kew-85232,A,Pandaceae,,Galearia,,"phlebocarpa",,"","(R.Br.) Miq.",Synonym,,H,WCSP,85232,349150-1,"Fl. Ned. Ind.","1(2): 429","","1859",kew-85219
kew-85233,A,Pandaceae,,Galearia,,"physodes",,"","(Steven ex M.Bieb.) Soják",Unresolved,,L,WCSP (in review),,495581-1,"Cas. Nár. Mus., Odd. Prír.","148: 78","","1979 publ. 1980",
tro-13073731,A,Leguminosae,,Galearia,,"raddeana",,"","Bobrov",Synonym,,M,TRO,13073731,,"","","","",ild-47134
ild-47136,A,Leguminosae,,Galearia,,"resupinata",,"","(L.) C.Presl",Synonym,,H,ILDIS,47136,,"","","","",ild-8136
kew-85237,A,Pandaceae,,Galearia,,"ridleyi",,"","Gage",Synonym,,H,WCSP,85237,349151-1,"Rec. Bot. Surv. India","9: 235","","1922",kew-85219
