ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-85288,A,Orchidaceae,,Galeola,,"affinis",,"","J.J.Sm.",Synonym,,H,WCSP,85288,635320-1,"Bull. Jard. Bot. Buitenzorg","II, 9: 7","","1913",kew-166572
kew-85289,A,Orchidaceae,,Galeola,,"altissima",,"","(Blume) Rchb.f.",Synonym,,H,WCSP,85289,635321-1,"Xenia Orchid.","2: 77","","1865",kew-72254
kew-85290,A,Orchidaceae,,Galeola,,"altissima",,"","F.Muell.",Synonym,,H,WCSP,85290,635322-1,"Fragm.","7: 135","","1871",kew-166574
kew-85291,A,Orchidaceae,,Galeola,,"cassythoides",,"","(A.Cunn. ex Lindl.) Rchb.f.",Synonym,,H,WCSP,85291,635323-1,"Xenia Orchid.","2: 77","","1865",kew-72256
kew-85292,A,Orchidaceae,,Galeola,,"cathcartii",,"","Hook.f.",Accepted,,H,WCSP,85292,635324-1,"Fl. Brit. India","6: 89","","1890",
kew-85293,A,Orchidaceae,,Galeola,,"faberi",,"","Rolfe",Accepted,,H,WCSP,85293,635325-1,"Bull. Misc. Inform. Kew","1896: 200","","1896",
kew-85294,A,Orchidaceae,,Galeola,,"falconeri",,"","Hook.f.",Accepted,,H,WCSP,85294,635326-1,"Fl. Brit. India","6: 88","","1890",
kew-85295,A,Orchidaceae,,Galeola,,"foliata",,"","(F.Muell.) F.Muell.",Synonym,,H,WCSP,85295,,"Fragm.","8: 31","","1872",kew-166574
kew-85296,A,Orchidaceae,,Galeola,,"gracilis",,"","Schltr.",Synonym,,H,WCSP,85296,635328-1,"Repert. Spec. Nov. Regni Veg. Beih.","1: 28","","1911",kew-166575
kew-85297,A,Orchidaceae,,Galeola,,"humblotii",,"","Rchb.f.",Accepted,,H,WCSP,85297,635329-1,"Flora","68: 378","","1885",
