ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-89017,A,Myrtaceae,,Genetyllis,,"affinis",,"","Turcz.",Synonym,,H,WCSP,89017,596509-1,"Bull. Soc. Imp. Naturalistes Moscou","20(1): 155","","1847",kew-56487
kew-89018,A,Myrtaceae,,Genetyllis,,"agathosmoides",,"","Turcz.",Synonym,,H,WCSP,89018,596510-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","10: 322","","1852",kew-56544
kew-89019,A,Myrtaceae,,Genetyllis,,"alpestris",,"","Lindl.",Synonym,,H,WCSP,89019,596512-1,"Three Exped. Australia","2: 178","","1838",kew-32794
kew-89020,A,Myrtaceae,,Genetyllis,,"citriodora",,"","Endl.",Synonym,,H,WCSP,89020,596513-1,"Enum. Pl.","47","","1837",kew-56483
kew-89021,A,Myrtaceae,,Genetyllis,,"diosmoides",,"","DC.",Synonym,,H,WCSP,89021,596514-1,"Prodr.","3: 209","","1828",kew-56487
kew-89022,A,Myrtaceae,,Genetyllis,,"drummondii",,"","Turcz.",Synonym,,H,WCSP,89022,596515-1,"Bull. Soc. Imp. Naturalistes Moscou","20(1): 155","","1847",kew-38319
kew-89023,A,Myrtaceae,,Genetyllis,,"fimbriata",,"","Kippist",Synonym,,H,WCSP,89023,596516-1,"J. Proc. Linn. Soc., Bot.","1: 49","","1857",kew-56534
kew-89024,A,Myrtaceae,,Genetyllis,,"helichrysoides",,"","Meisn.",Synonym,,H,WCSP,89024,596518-1,"J. Proc. Linn. Soc., Bot.","1: 37","","1857",kew-56499
kew-89025,A,Myrtaceae,,Genetyllis,,"hookeriana",,"","Meisn.",Synonym,,H,WCSP,89025,596519-1,"J. Proc. Linn. Soc., Bot.","1: 37","","1857",kew-56503
kew-89026,A,Myrtaceae,,Genetyllis,,"hypericifolia",,"","Turcz.",Synonym,,H,WCSP,89026,596520-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","10: 323","","1852",kew-56503
kew-89027,A,Myrtaceae,,Genetyllis,,"leiostyla",,"","Turcz.",Synonym,,H,WCSP,89027,596521-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","10: 323","","1852",kew-56506
kew-89028,A,Myrtaceae,,Genetyllis,,"macrostegia",,"","Turcz.",Synonym,,H,WCSP,89028,596523-1,"Bull. Soc. Imp. Naturalistes Moscou","22(2): 18","","1849",kew-56509
kew-89029,A,Myrtaceae,,Genetyllis,,"macrostegia",,"","Hook.",Synonym,Illegitimate,H,WCSP,89029,596522-1,"Bot. Mag.","81: t. 4860","","1855",kew-56503
kew-89030,A,Myrtaceae,,Genetyllis,,"meisneri",,"","Kippist",Synonym,,H,WCSP,89030,596524-1,"J. Proc. Linn. Soc., Bot.","1: 49","","1857",kew-56518
kew-89031,A,Myrtaceae,,Genetyllis,,"micropetala",,"","F.Muell.",Synonym,,H,WCSP,89031,596525-1,"Fragm.","1: 12","","1858",kew-56514
kew-89032,A,Myrtaceae,,Genetyllis,,"oederoides",,"","Turcz.",Synonym,,H,WCSP,89032,596526-1,"Bull. Soc. Imp. Naturalistes Moscou","22(2): 18","","1849",kew-56516
kew-89033,A,Myrtaceae,,Genetyllis,,"oxylepis",,"","Turcz.",Synonym,,H,WCSP,89033,596527-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","10: 234","","1852",kew-56518
