ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-89915,A,Verbenaceae,,Glandularia,,"alejandrana",,"","B.L.Turner",Accepted,,H,WCSP,89915,1014571-1,"Lundellia","2: 57","","1999",
kew-89916,A,Verbenaceae,,Glandularia,,"amoena",,"","(Paxton) Umber",Accepted,,H,WCSP,89916,110601-2,"Syst. Bot.","4: 101","","1979",
kew-467264,A,Verbenaceae,,Glandularia,,"andalgalensis",,"","(Moldenke) P.Peralta",Accepted,,H,WCSP,467264,77116698-1,"Ann. Missouri Bot. Gard.","98: 364","","2011",
kew-467291,A,Verbenaceae,,Glandularia,,"andina",,"","(Griseb.) P.Peralta",Synonym,,H,WCSP,467291,77116699-1,"Ann. Missouri Bot. Gard.","98: 365","","2011",kew-89988
kew-466069,A,Verbenaceae,,Glandularia,,"angustilobata",,"","(Moldenke) P.Peralta & V.Thode",Accepted,,H,WCSP,466069,60456541-2,"Rodriguésia","61: S30","","2010",
kew-89917,A,Verbenaceae,,Glandularia,,"araucana",,"","(Phil.) Botta",Accepted,,H,WCSP,89917,979409-1,"Parodiana","8: 26","","1993",
kew-89918,A,Verbenaceae,,Glandularia,,"aristigera",,"","(S.Moore) Tronc.",Accepted,,H,WCSP,89918,110602-2,"Parodiana","14: 636","","1968",
kew-89919,A,Verbenaceae,,Glandularia,,"atacamensis",,"","(Reiche) J.M.Watson & A.E.Hoffm.",Accepted,,H,WCSP,89919,1007976-1,"Pl. Altoandinas Fl. Silv. Chile","150","","1998",
kew-89920,A,Verbenaceae,,Glandularia,,"aurantiaca",,"","(Speg.) Botta",Accepted,,H,WCSP,89920,979410-1,"Parodiana","8: 29","","1993",
tro-50099375,A,Verbenaceae,,Glandularia,,"aurantiaca",var.,"aurantiaca","",Synonym,,L,TRO,50099375,,"","","","",kew-89920
