ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
ifn-27338,P,Gleicheniaceae,,Gleichenia,,"abscida",,"","Rodway",Unresolved,,L,IPNI,17331850-1,17331850-1,"Tasmanian Flora","289. 1903.","","1903",
ifn-27339,P,Gleicheniaceae,,Gleichenia,,"acutifolia",,"","Hook.",Unresolved,,L,IPNI,17106700-1,17106700-1,"Sp. Fil.","1. 7 t. 8 A. 1844","","1844",
ifn-27340,P,Gleicheniaceae,,Gleichenia,,"aequilaterale",,"","Jenman",Unresolved,,L,IPNI,110734-2,110734-2,"Ferns Brit. W. Ind.","353","","1909",
tro-26624266,P,Gleicheniaceae,,Gleichenia,,"aequilateralis",,"","Jenman",Synonym,,M,TRO,26624266,,"Ferns Brit. W. Ind.","353","353","1909",tro-26614020
tro-26606171,P,Gleicheniaceae,,Gleichenia,,"affinis",,"","Kuhn",Synonym,,M,TRO,26606171,17106710-1,"Linnaea","36: 167","167","1869",tro-26606175
tro-26620274,P,Gleicheniaceae,,Gleichenia,,"affinis",var.,"bogotensis","Hieron.",Synonym,,L,TRO,26620274,110736-2,"Hedwigia","48: 286","286","1909",tro-26606175
tro-100001995,P,Gleicheniaceae,,Gleichenia,,"affinis",var.,"glabra","Kuhn",Synonym,,L,TRO,100001995,110737-2,"Linnaea","36: 168","168","1869",tro-26606175
tro-50278297,P,Gleicheniaceae,,Gleichenia,,"affinis",var.,"packensis","Hieron.",Synonym,,L,TRO,50278297,110738-2,"Hedwigia","48: 286","286","1909",tro-26606175
tro-50042216,P,Gleicheniaceae,,Gleichenia,,"alpina",,"","R. Br.",Accepted,,M,TRO,50042216,17106720-1,"Prodr.","161","161","1810",
tro-50175567,P,Gleicheniaceae,,Gleichenia,,"alstonii",,"","Holttum",Unresolved,,L,TRO,50175567,17394360-1,"Reinwardtia","4: 267","267","1957",
tro-50175576,P,Gleicheniaceae,,Gleichenia,,"amboinensis",,"","Alderw.",Synonym,,M,TRO,50175576,17251570-1,"Bull. Dép. Agric. Indes Néerl.","18: 3","3","1908",tro-50175577
tro-26620273,P,Gleicheniaceae,,Gleichenia,,"amoena",,"","Alderw.",Synonym,,M,TRO,26620273,17331870-1,"Bull. Jard. Bot. Buitenzorg, sér. 2,","23: 12","12","1916",tro-50175573
tro-26608879,P,Gleicheniaceae,,Gleichenia,,"angusta",,"","(Klotzsch ex Sturm) Maxon ex Lellinger",Synonym,,M,TRO,26608879,110739-2,"Amer. Fern J.","74: 57","57","1984",tro-26606174
tro-50175471,P,Gleicheniaceae,,Gleichenia,,"angustiloba",,"","Holttum",Unresolved,,L,TRO,50175471,17394370-1,"Reinwardtia","4: 263","263","1957",
ifn-27353,P,Gleicheniaceae,,Gleichenia,,"arachnoidea",,"","A.Cunn.; Col.",Unresolved,,L,IPNI,17106730-1,17106730-1,"Tasm. Jour.","2. 162. 1844","","1844",
ifn-27354,P,Gleicheniaceae,,Gleichenia,,"arachnoides",,"","Mett.",Unresolved,,L,IPNI,17106740-1,17106740-1,"Ann. Mus. Bot. Lugduno-Batavi","1. 47. 1863","","1863",
tro-50108700,P,Gleicheniaceae,,Gleichenia,,"argentea",,"","Kaulf.",Synonym,,M,TRO,50108700,17106750-1,"Enum. Filic.","36","36","1824",tro-26600373
ifn-27356,P,Gleicheniaceae,,Gleichenia,,"attenuata",,"","Wall.",Unresolved,,L,IPNI,17106760-1,17106760-1,"Numer. List [Wallich]","n. 156","","1829 (1828)",
tro-26617021,P,Gleicheniaceae,,Gleichenia,,"axialis",,"","Christ",Synonym,,M,TRO,26617021,110740-2,"Bull. Herb. Boissier, sér. 2,","5(1): 14","14","1905",tro-26614906
tro-26606140,P,Gleicheniaceae,,Gleichenia,,"bancroftii",,"","Hook.",Synonym,,M,TRO,26606140,110741-2,"Sp. Fil.","1: 5, t. 4A","5","1844",tro-26606144
ifn-27360,P,Gleicheniaceae,,Gleichenia,,"barbula",,"","C.Chr.",Unresolved,,L,IPNI,17394380-1,17394380-1,"Dansk Bot. Ark.","9(3): 67. 1937.","","1937",
tro-26620275,P,Gleicheniaceae,,Gleichenia,,"bibreae",,"","Mett. ex Kuhn",Synonym,,M,TRO,26620275,17106790-1,"Linnaea","36(1): 166","166","1869",tro-50315246
tro-26617028,P,Gleicheniaceae,,Gleichenia,,"bicolor",,"","Christ",Synonym,,M,TRO,26617028,110744-2,"Bull. Herb. Boissier, sér. 2,","6(4): 279, t. 9","279","1906",tro-26614019
tro-26602019,P,Gleicheniaceae,,Gleichenia,,"bifida",,"","(Willd.) Spreng.",Synonym,,M,TRO,26602019,17106800-1,"Syst. Veg.","4: 27","27","1827",tro-26606157
tro-50082677,P,Gleicheniaceae,,Gleichenia,,"bifida",var.,"nigropaleacea","(Sturm) Rosenst.",Synonym,,L,TRO,50082677,,"Hedwigia","46: 60","60","1906",tro-50082655
