ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2830278,A,Apocynaceae,,Gonostemon,,"acuminatus",,"","(Masson) P.V.Heath",Unresolved,,L,WCSP (in review),,963879-1,"Calyx","1: 18","","1992",
kew-2830280,A,Apocynaceae,,Gonostemon,,"arenosus",,"","(C.A.Luckh.) P.V.Heath",Unresolved,,L,WCSP (in review),,963887-1,"Calyx","1: 19","","1992",
kew-2830281,A,Apocynaceae,,Gonostemon,,"asterias",,"","(Masson) P.V.Heath",Unresolved,,L,WCSP (in review),,963866-1,"Calyx","1: 17","","1992",
kew-2830283,A,Apocynaceae,,Gonostemon,,"asterias",var.,"lucidus","(DC.) P.V.Heath",Unresolved,,L,WCSP (in review),,970476-1,"Calyx","3: 8","","1993",
kew-2830284,A,Apocynaceae,,Gonostemon,,"baylisii",,"","(L.C.Leach) P.V.Heath",Unresolved,,L,WCSP (in review),,963869-1,"Calyx","1: 18","","1992",
kew-2830285,A,Apocynaceae,,Gonostemon,,"clavicorona",,"","(Verd.) P.V.Heath",Unresolved,,L,WCSP (in review),,963874-1,"Calyx","1: 18","","1992",
kew-2830286,A,Apocynaceae,,Gonostemon,,"concinnus",,"","(Masson) P.V.Heath",Unresolved,,L,WCSP (in review),,963891-1,"Calyx","1: 19","","1992",
kew-2830287,A,Apocynaceae,,Gonostemon,,"deflexus",,"","(Jacq.) P.V.Heath",Unresolved,,L,WCSP (in review),,963876-1,"Calyx","1: 18","","1992",
kew-2830288,A,Apocynaceae,,Gonostemon,,"deflexus",var.,"atropurpureus","(A.Berger) P.V.Heath",Unresolved,,L,WCSP (in review),,970479-1,"Calyx","3: 8","","1993",
kew-2830289,A,Apocynaceae,,Gonostemon,,"divaricatus",,"","Haw.",Unresolved,,L,WCSP (in review),,98039-1,"Syn. Pl. Succ.","27","","1812",
kew-2830290,A,Apocynaceae,,Gonostemon,,"erectiflorus",,"","(N.E.Br.) P.V.Heath",Unresolved,,L,WCSP (in review),,963895-1,"Calyx","1: 19","","1992",
tro-50188836,A,Apocynaceae,,Gonostemon,,"fissirostris",,"","(Jacq.) P.V. Heath",Accepted,,M,TRO,50188836,,"Calyx","3(1): 9","9","1993",
kew-2830292,A,Apocynaceae,,Gonostemon,,"flavopurpureus",,"","(Marloth) P.V.Heath",Unresolved,,L,WCSP (in review),,963880-1,"Calyx","1: 18","","1992",
kew-2830293,A,Apocynaceae,,Gonostemon,,"flavopurpureus",var.,"fleckii","(A.Berger & Schltr.) P.V.Heath",Unresolved,,L,WCSP (in review),,970482-1,"Calyx","3: 8","","1993",
kew-2830294,A,Apocynaceae,,Gonostemon,,"fuscopurpureus",,"","(N.E.Br.) P.V.Heath",Unresolved,,L,WCSP (in review),,969696-1,"Calyx","3: 8","","1993",
kew-2830295,A,Apocynaceae,,Gonostemon,,"gariepensis",,"","(Pillans) P.V.Heath",Unresolved,,L,WCSP (in review),,963860-1,"Calyx","1: 17","","1992",
kew-2830296,A,Apocynaceae,,Gonostemon,,"gettliffei",,"","(Pott) P.V.Heath",Unresolved,,L,WCSP (in review),,,"Calyx","1: 17","","1992",
kew-2830297,A,Apocynaceae,,Gonostemon,×,"giessii",,"","P.V.Heath",Unresolved,,L,WCSP (in review),,961208-1,"Calyx","1: 20","","1992",
kew-2830298,A,Apocynaceae,,Gonostemon,,"giganteus",,"","(N.E.Br.) P.V.Heath",Synonym,,M,WCSP (in review),,963855-1,"Calyx","1: 17","","1992",kew-2472742
kew-2830300,A,Apocynaceae,,Gonostemon,,"giganteus",var.,"nobilis","(Hook.f.) P.V.Heath",Synonym,,L,WCSP (in review),,970456-1,"Calyx","3: 7","","1993",kew-2472691
kew-2830303,A,Apocynaceae,,Gonostemon,,"glabricaulis",,"","(N.E.Br.) P.V.Heath",Unresolved,,L,WCSP (in review),,963864-1,"Calyx","1: 17","","1992",
kew-2830305,A,Apocynaceae,,Gonostemon,,"glanduliflorus",,"","(Masson) P.V.Heath",Unresolved,,L,WCSP (in review),,963896-1,"Calyx","1: 19","","1992",
kew-2830306,A,Apocynaceae,,Gonostemon,,"glanduliflorus",var.,"emarginatus","(N.E.Br.) P.V.Heath",Unresolved,,L,WCSP (in review),,970487-1,"Calyx","3: 9","","1993",
kew-2830307,A,Apocynaceae,,Gonostemon,,"grandiflorus",,"","(Masson) P.V.Heath",Unresolved,,L,WCSP (in review),,963858-1,"Calyx","1: 17","","1992",
tro-50188770,A,Apocynaceae,,Gonostemon,,"grandiflorus",,"","(N.E. Br.) Fisch. & C.A. Mey. ex C.A. Mey.",Accepted,,M,TRO,50188770,,"","14: 31, 7","3","1993",
kew-2830308,A,Apocynaceae,,Gonostemon,,"grandiflorus",var.,"ambiguus","(Masson) P.V.Heath",Unresolved,,L,WCSP (in review),,970488-1,"Calyx","3: 9","","1993",
