ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2831580,A,Brassicaceae,,Graellsia,,"chitralensis",,"","O.E.Schulz",Accepted,,M,WCSP (in review),,284520-1,"Notizbl. Bot. Gart. Berlin-Dahlem","9: 1085","","1927",
kew-2831581,A,Brassicaceae,,Graellsia,,"davisiana",,"","Poulter",Accepted,,M,WCSP (in review),,284521-1,"Notes Roy. Bot. Gard. Edinburgh","22: 91","","1956",
kew-2831582,A,Brassicaceae,,Graellsia,,"graellsiifolia",,"","(Lipsky) Poulter",Accepted,,M,WCSP (in review),,284522-1,"Notes Roy. Bot. Gard. Edinburgh","22: 92","","1956",
kew-2831583,A,Brassicaceae,,Graellsia,,"hederifolia",,"","(Coss.) R.D.Hyam & Jury",Accepted,,M,WCSP (in review),,947599-1,"Bot. J. Linn. Soc.","102: 21","","1990",
kew-2831584,A,Brassicaceae,,Graellsia,,"hederifolia",subsp.,"cossonii","(O.E.Schulz) R.D.Hyam & Jury",Accepted,,L,WCSP (in review),,956048-1,"Bot. J. Linn. Soc.","102: 21","","1990",
tro-100356975,A,Brassicaceae,,Graellsia,,"hederifolia",subsp.,"hederifolia","",Accepted,,L,TRO,100356975,,"","","","",
kew-2831585,A,Brassicaceae,,Graellsia,,"hissarica",,"","Junussov",Accepted,,M,WCSP (in review),,896503-1,"Dokl. Akad. Nauk Tadzhiksk. S.S.R.","23(3): 165","","1980",
kew-2831586,A,Brassicaceae,,Graellsia,,"integrifolia",,"","(Rech.f.) Rech.f.",Accepted,,M,WCSP (in review),,284523-1,"Phyton (Horn)","3: 58","","1951",
kew-2831587,A,Brassicaceae,,Graellsia,,"saxifragifolia",,"","(DC.) Boiss.",Accepted,,M,WCSP (in review),,284524-1,"Ann. Sci. Nat., Bot.","II, 17: 173","","1842",
tro-4103203,A,Brassicaceae,,Graellsia,,"saxifragifolia",subsp.,"saxifragifolia","",Synonym,,L,TRO,4103203,,"","","","",kew-2831587
kew-2831589,A,Brassicaceae,,Graellsia,,"stylosa",,"","(Boiss. & Hohen.) Poulter",Accepted,,M,WCSP (in review),,284525-1,"Notes Roy. Bot. Gard. Edinburgh","22: 92","","1956",
tro-50196718,A,Brassicaceae,,Graellsia,,"stylosa",,"","Boiss. & Hohen. ex Boiss.",Unresolved,,L,TRO,50196718,,"","","","",
